model_name,d_in,d_out,prec,model_file
dense_16_28_10b,16,28,10,pregen_latency_models/dense_16_28_10b.h5
dense_16_28_12b,16,28,12,pregen_latency_models/dense_16_28_12b.h5
dense_16_28_14b,16,28,14,pregen_latency_models/dense_16_28_14b.h5
dense_16_28_16b,16,28,16,pregen_latency_models/dense_16_28_16b.h5
dense_16_30_2b,16,30,2,pregen_latency_models/dense_16_30_2b.h5
dense_16_30_4b,16,30,4,pregen_latency_models/dense_16_30_4b.h5
dense_16_30_6b,16,30,6,pregen_latency_models/dense_16_30_6b.h5
dense_16_30_8b,16,30,8,pregen_latency_models/dense_16_30_8b.h5
dense_16_30_10b,16,30,10,pregen_latency_models/dense_16_30_10b.h5
dense_16_30_12b,16,30,12,pregen_latency_models/dense_16_30_12b.h5
dense_16_30_14b,16,30,14,pregen_latency_models/dense_16_30_14b.h5
dense_16_30_16b,16,30,16,pregen_latency_models/dense_16_30_16b.h5
dense_16_32_2b,16,32,2,pregen_latency_models/dense_16_32_2b.h5
dense_16_32_4b,16,32,4,pregen_latency_models/dense_16_32_4b.h5
dense_16_32_6b,16,32,6,pregen_latency_models/dense_16_32_6b.h5
dense_16_32_8b,16,32,8,pregen_latency_models/dense_16_32_8b.h5
dense_16_32_10b,16,32,10,pregen_latency_models/dense_16_32_10b.h5
dense_16_32_12b,16,32,12,pregen_latency_models/dense_16_32_12b.h5
dense_16_32_14b,16,32,14,pregen_latency_models/dense_16_32_14b.h5
dense_16_32_16b,16,32,16,pregen_latency_models/dense_16_32_16b.h5
dense_16_34_2b,16,34,2,pregen_latency_models/dense_16_34_2b.h5
dense_16_34_4b,16,34,4,pregen_latency_models/dense_16_34_4b.h5
dense_16_34_6b,16,34,6,pregen_latency_models/dense_16_34_6b.h5
dense_16_34_8b,16,34,8,pregen_latency_models/dense_16_34_8b.h5
dense_16_34_10b,16,34,10,pregen_latency_models/dense_16_34_10b.h5
dense_16_34_12b,16,34,12,pregen_latency_models/dense_16_34_12b.h5
dense_16_34_14b,16,34,14,pregen_latency_models/dense_16_34_14b.h5
dense_16_34_16b,16,34,16,pregen_latency_models/dense_16_34_16b.h5
dense_16_36_2b,16,36,2,pregen_latency_models/dense_16_36_2b.h5
dense_16_36_4b,16,36,4,pregen_latency_models/dense_16_36_4b.h5
