model_name,d_in,d_out,prec,model_file
dense_36_38_10b,36,38,10,pregen_latency_models/dense_36_38_10b.h5
dense_36_38_12b,36,38,12,pregen_latency_models/dense_36_38_12b.h5
dense_36_38_14b,36,38,14,pregen_latency_models/dense_36_38_14b.h5
dense_36_38_16b,36,38,16,pregen_latency_models/dense_36_38_16b.h5
dense_36_40_2b,36,40,2,pregen_latency_models/dense_36_40_2b.h5
dense_36_40_4b,36,40,4,pregen_latency_models/dense_36_40_4b.h5
dense_36_40_6b,36,40,6,pregen_latency_models/dense_36_40_6b.h5
dense_36_40_8b,36,40,8,pregen_latency_models/dense_36_40_8b.h5
dense_36_40_10b,36,40,10,pregen_latency_models/dense_36_40_10b.h5
dense_36_40_12b,36,40,12,pregen_latency_models/dense_36_40_12b.h5
dense_36_40_14b,36,40,14,pregen_latency_models/dense_36_40_14b.h5
dense_36_40_16b,36,40,16,pregen_latency_models/dense_36_40_16b.h5
dense_36_42_2b,36,42,2,pregen_latency_models/dense_36_42_2b.h5
dense_36_42_4b,36,42,4,pregen_latency_models/dense_36_42_4b.h5
dense_36_42_6b,36,42,6,pregen_latency_models/dense_36_42_6b.h5
dense_36_42_8b,36,42,8,pregen_latency_models/dense_36_42_8b.h5
dense_36_42_10b,36,42,10,pregen_latency_models/dense_36_42_10b.h5
dense_36_42_12b,36,42,12,pregen_latency_models/dense_36_42_12b.h5
dense_36_42_14b,36,42,14,pregen_latency_models/dense_36_42_14b.h5
dense_36_42_16b,36,42,16,pregen_latency_models/dense_36_42_16b.h5
dense_36_44_2b,36,44,2,pregen_latency_models/dense_36_44_2b.h5
dense_36_44_4b,36,44,4,pregen_latency_models/dense_36_44_4b.h5
dense_36_44_6b,36,44,6,pregen_latency_models/dense_36_44_6b.h5
dense_36_44_8b,36,44,8,pregen_latency_models/dense_36_44_8b.h5
dense_36_44_10b,36,44,10,pregen_latency_models/dense_36_44_10b.h5
dense_36_44_12b,36,44,12,pregen_latency_models/dense_36_44_12b.h5
dense_36_44_14b,36,44,14,pregen_latency_models/dense_36_44_14b.h5
dense_36_44_16b,36,44,16,pregen_latency_models/dense_36_44_16b.h5
dense_36_46_2b,36,46,2,pregen_latency_models/dense_36_46_2b.h5
dense_36_46_4b,36,46,4,pregen_latency_models/dense_36_46_4b.h5
dense_36_46_6b,36,46,6,pregen_latency_models/dense_36_46_6b.h5
dense_36_46_8b,36,46,8,pregen_latency_models/dense_36_46_8b.h5
dense_36_46_10b,36,46,10,pregen_latency_models/dense_36_46_10b.h5
dense_36_46_12b,36,46,12,pregen_latency_models/dense_36_46_12b.h5
dense_36_46_14b,36,46,14,pregen_latency_models/dense_36_46_14b.h5
dense_36_46_16b,36,46,16,pregen_latency_models/dense_36_46_16b.h5
dense_36_48_2b,36,48,2,pregen_latency_models/dense_36_48_2b.h5
dense_36_48_4b,36,48,4,pregen_latency_models/dense_36_48_4b.h5
dense_36_48_6b,36,48,6,pregen_latency_models/dense_36_48_6b.h5
dense_36_48_8b,36,48,8,pregen_latency_models/dense_36_48_8b.h5
dense_36_48_10b,36,48,10,pregen_latency_models/dense_36_48_10b.h5
dense_36_48_12b,36,48,12,pregen_latency_models/dense_36_48_12b.h5
dense_36_48_14b,36,48,14,pregen_latency_models/dense_36_48_14b.h5
