model_name,d_in,d_out,prec,model_file
dense_18_14_10b,18,14,10,pregen_latency_models/dense_18_14_10b.h5
dense_18_14_12b,18,14,12,pregen_latency_models/dense_18_14_12b.h5
dense_18_14_14b,18,14,14,pregen_latency_models/dense_18_14_14b.h5
dense_18_14_16b,18,14,16,pregen_latency_models/dense_18_14_16b.h5
dense_18_16_2b,18,16,2,pregen_latency_models/dense_18_16_2b.h5
dense_18_16_4b,18,16,4,pregen_latency_models/dense_18_16_4b.h5
dense_18_16_6b,18,16,6,pregen_latency_models/dense_18_16_6b.h5
dense_18_16_8b,18,16,8,pregen_latency_models/dense_18_16_8b.h5
dense_18_16_10b,18,16,10,pregen_latency_models/dense_18_16_10b.h5
dense_18_16_12b,18,16,12,pregen_latency_models/dense_18_16_12b.h5
dense_18_16_14b,18,16,14,pregen_latency_models/dense_18_16_14b.h5
dense_18_16_16b,18,16,16,pregen_latency_models/dense_18_16_16b.h5
dense_18_18_2b,18,18,2,pregen_latency_models/dense_18_18_2b.h5
dense_18_18_4b,18,18,4,pregen_latency_models/dense_18_18_4b.h5
dense_18_18_6b,18,18,6,pregen_latency_models/dense_18_18_6b.h5
dense_18_18_8b,18,18,8,pregen_latency_models/dense_18_18_8b.h5
dense_18_18_10b,18,18,10,pregen_latency_models/dense_18_18_10b.h5
dense_18_18_12b,18,18,12,pregen_latency_models/dense_18_18_12b.h5
dense_18_18_14b,18,18,14,pregen_latency_models/dense_18_18_14b.h5
dense_18_18_16b,18,18,16,pregen_latency_models/dense_18_18_16b.h5
dense_18_20_2b,18,20,2,pregen_latency_models/dense_18_20_2b.h5
dense_18_20_4b,18,20,4,pregen_latency_models/dense_18_20_4b.h5
dense_18_20_6b,18,20,6,pregen_latency_models/dense_18_20_6b.h5
dense_18_20_8b,18,20,8,pregen_latency_models/dense_18_20_8b.h5
dense_18_20_10b,18,20,10,pregen_latency_models/dense_18_20_10b.h5
dense_18_20_12b,18,20,12,pregen_latency_models/dense_18_20_12b.h5
dense_18_20_14b,18,20,14,pregen_latency_models/dense_18_20_14b.h5
dense_18_20_16b,18,20,16,pregen_latency_models/dense_18_20_16b.h5
dense_18_22_2b,18,22,2,pregen_latency_models/dense_18_22_2b.h5
dense_18_22_4b,18,22,4,pregen_latency_models/dense_18_22_4b.h5
dense_18_22_6b,18,22,6,pregen_latency_models/dense_18_22_6b.h5
dense_18_22_8b,18,22,8,pregen_latency_models/dense_18_22_8b.h5
dense_18_22_10b,18,22,10,pregen_latency_models/dense_18_22_10b.h5
dense_18_22_12b,18,22,12,pregen_latency_models/dense_18_22_12b.h5
dense_18_22_14b,18,22,14,pregen_latency_models/dense_18_22_14b.h5
dense_18_22_16b,18,22,16,pregen_latency_models/dense_18_22_16b.h5
dense_18_24_2b,18,24,2,pregen_latency_models/dense_18_24_2b.h5
dense_18_24_4b,18,24,4,pregen_latency_models/dense_18_24_4b.h5
dense_18_24_6b,18,24,6,pregen_latency_models/dense_18_24_6b.h5
dense_18_24_8b,18,24,8,pregen_latency_models/dense_18_24_8b.h5
dense_18_24_10b,18,24,10,pregen_latency_models/dense_18_24_10b.h5
dense_18_24_12b,18,24,12,pregen_latency_models/dense_18_24_12b.h5
dense_18_24_14b,18,24,14,pregen_latency_models/dense_18_24_14b.h5
dense_18_24_16b,18,24,16,pregen_latency_models/dense_18_24_16b.h5
dense_18_26_2b,18,26,2,pregen_latency_models/dense_18_26_2b.h5
dense_18_26_4b,18,26,4,pregen_latency_models/dense_18_26_4b.h5
dense_18_26_6b,18,26,6,pregen_latency_models/dense_18_26_6b.h5
