model_name,d_in,d_out,prec,model_file
dense_38_24_10b,38,24,10,pregen_latency_models/dense_38_24_10b.h5
dense_38_24_12b,38,24,12,pregen_latency_models/dense_38_24_12b.h5
dense_38_24_14b,38,24,14,pregen_latency_models/dense_38_24_14b.h5
dense_38_24_16b,38,24,16,pregen_latency_models/dense_38_24_16b.h5
dense_38_26_2b,38,26,2,pregen_latency_models/dense_38_26_2b.h5
dense_38_26_4b,38,26,4,pregen_latency_models/dense_38_26_4b.h5
dense_38_26_6b,38,26,6,pregen_latency_models/dense_38_26_6b.h5
dense_38_26_8b,38,26,8,pregen_latency_models/dense_38_26_8b.h5
dense_38_26_10b,38,26,10,pregen_latency_models/dense_38_26_10b.h5
dense_38_26_12b,38,26,12,pregen_latency_models/dense_38_26_12b.h5
dense_38_26_14b,38,26,14,pregen_latency_models/dense_38_26_14b.h5
dense_38_26_16b,38,26,16,pregen_latency_models/dense_38_26_16b.h5
dense_38_28_2b,38,28,2,pregen_latency_models/dense_38_28_2b.h5
dense_38_28_4b,38,28,4,pregen_latency_models/dense_38_28_4b.h5
dense_38_28_6b,38,28,6,pregen_latency_models/dense_38_28_6b.h5
dense_38_28_8b,38,28,8,pregen_latency_models/dense_38_28_8b.h5
dense_38_28_10b,38,28,10,pregen_latency_models/dense_38_28_10b.h5
dense_38_28_12b,38,28,12,pregen_latency_models/dense_38_28_12b.h5
dense_38_28_14b,38,28,14,pregen_latency_models/dense_38_28_14b.h5
dense_38_28_16b,38,28,16,pregen_latency_models/dense_38_28_16b.h5
dense_38_30_2b,38,30,2,pregen_latency_models/dense_38_30_2b.h5
dense_38_30_4b,38,30,4,pregen_latency_models/dense_38_30_4b.h5
dense_38_30_6b,38,30,6,pregen_latency_models/dense_38_30_6b.h5
dense_38_30_8b,38,30,8,pregen_latency_models/dense_38_30_8b.h5
dense_38_30_10b,38,30,10,pregen_latency_models/dense_38_30_10b.h5
dense_38_30_12b,38,30,12,pregen_latency_models/dense_38_30_12b.h5
dense_38_30_14b,38,30,14,pregen_latency_models/dense_38_30_14b.h5
dense_38_30_16b,38,30,16,pregen_latency_models/dense_38_30_16b.h5
dense_38_32_2b,38,32,2,pregen_latency_models/dense_38_32_2b.h5
dense_38_32_4b,38,32,4,pregen_latency_models/dense_38_32_4b.h5
dense_38_32_6b,38,32,6,pregen_latency_models/dense_38_32_6b.h5
dense_38_32_8b,38,32,8,pregen_latency_models/dense_38_32_8b.h5
dense_38_32_10b,38,32,10,pregen_latency_models/dense_38_32_10b.h5
dense_38_32_12b,38,32,12,pregen_latency_models/dense_38_32_12b.h5
dense_38_32_14b,38,32,14,pregen_latency_models/dense_38_32_14b.h5
dense_38_32_16b,38,32,16,pregen_latency_models/dense_38_32_16b.h5
dense_38_34_2b,38,34,2,pregen_latency_models/dense_38_34_2b.h5
dense_38_34_4b,38,34,4,pregen_latency_models/dense_38_34_4b.h5
dense_38_34_6b,38,34,6,pregen_latency_models/dense_38_34_6b.h5
dense_38_34_8b,38,34,8,pregen_latency_models/dense_38_34_8b.h5
dense_38_34_10b,38,34,10,pregen_latency_models/dense_38_34_10b.h5
dense_38_34_12b,38,34,12,pregen_latency_models/dense_38_34_12b.h5
dense_38_34_14b,38,34,14,pregen_latency_models/dense_38_34_14b.h5
dense_38_34_16b,38,34,16,pregen_latency_models/dense_38_34_16b.h5
dense_38_36_2b,38,36,2,pregen_latency_models/dense_38_36_2b.h5
dense_38_36_4b,38,36,4,pregen_latency_models/dense_38_36_4b.h5
dense_38_36_6b,38,36,6,pregen_latency_models/dense_38_36_6b.h5
dense_38_36_8b,38,36,8,pregen_latency_models/dense_38_36_8b.h5
dense_38_36_10b,38,36,10,pregen_latency_models/dense_38_36_10b.h5
dense_38_36_12b,38,36,12,pregen_latency_models/dense_38_36_12b.h5
dense_38_36_14b,38,36,14,pregen_latency_models/dense_38_36_14b.h5
dense_38_36_16b,38,36,16,pregen_latency_models/dense_38_36_16b.h5
dense_38_38_2b,38,38,2,pregen_latency_models/dense_38_38_2b.h5
dense_38_38_4b,38,38,4,pregen_latency_models/dense_38_38_4b.h5
dense_38_38_6b,38,38,6,pregen_latency_models/dense_38_38_6b.h5
dense_38_38_8b,38,38,8,pregen_latency_models/dense_38_38_8b.h5
dense_38_38_10b,38,38,10,pregen_latency_models/dense_38_38_10b.h5
dense_38_38_12b,38,38,12,pregen_latency_models/dense_38_38_12b.h5
dense_38_38_14b,38,38,14,pregen_latency_models/dense_38_38_14b.h5
dense_38_38_16b,38,38,16,pregen_latency_models/dense_38_38_16b.h5
dense_38_40_2b,38,40,2,pregen_latency_models/dense_38_40_2b.h5
dense_38_40_4b,38,40,4,pregen_latency_models/dense_38_40_4b.h5
dense_38_40_6b,38,40,6,pregen_latency_models/dense_38_40_6b.h5
dense_38_40_8b,38,40,8,pregen_latency_models/dense_38_40_8b.h5
dense_38_40_10b,38,40,10,pregen_latency_models/dense_38_40_10b.h5
dense_38_40_12b,38,40,12,pregen_latency_models/dense_38_40_12b.h5
dense_38_40_14b,38,40,14,pregen_latency_models/dense_38_40_14b.h5
dense_38_40_16b,38,40,16,pregen_latency_models/dense_38_40_16b.h5
dense_38_42_2b,38,42,2,pregen_latency_models/dense_38_42_2b.h5
dense_38_42_4b,38,42,4,pregen_latency_models/dense_38_42_4b.h5
dense_38_42_6b,38,42,6,pregen_latency_models/dense_38_42_6b.h5
dense_38_42_8b,38,42,8,pregen_latency_models/dense_38_42_8b.h5
dense_38_42_10b,38,42,10,pregen_latency_models/dense_38_42_10b.h5
dense_38_42_12b,38,42,12,pregen_latency_models/dense_38_42_12b.h5
dense_38_42_14b,38,42,14,pregen_latency_models/dense_38_42_14b.h5
dense_38_42_16b,38,42,16,pregen_latency_models/dense_38_42_16b.h5
dense_38_44_2b,38,44,2,pregen_latency_models/dense_38_44_2b.h5
dense_38_44_4b,38,44,4,pregen_latency_models/dense_38_44_4b.h5
dense_38_44_6b,38,44,6,pregen_latency_models/dense_38_44_6b.h5
dense_38_44_8b,38,44,8,pregen_latency_models/dense_38_44_8b.h5
dense_38_44_10b,38,44,10,pregen_latency_models/dense_38_44_10b.h5
