model_name,d_in,d_out,prec,model_file
dense_44_58_2b,44,58,2,pregen_latency_models/dense_44_58_2b.h5
dense_44_58_4b,44,58,4,pregen_latency_models/dense_44_58_4b.h5
dense_44_58_6b,44,58,6,pregen_latency_models/dense_44_58_6b.h5
dense_44_58_8b,44,58,8,pregen_latency_models/dense_44_58_8b.h5
dense_44_58_10b,44,58,10,pregen_latency_models/dense_44_58_10b.h5
dense_44_58_12b,44,58,12,pregen_latency_models/dense_44_58_12b.h5
dense_44_58_14b,44,58,14,pregen_latency_models/dense_44_58_14b.h5
dense_44_58_16b,44,58,16,pregen_latency_models/dense_44_58_16b.h5
dense_44_60_2b,44,60,2,pregen_latency_models/dense_44_60_2b.h5
dense_44_60_4b,44,60,4,pregen_latency_models/dense_44_60_4b.h5
dense_44_60_6b,44,60,6,pregen_latency_models/dense_44_60_6b.h5
dense_44_60_8b,44,60,8,pregen_latency_models/dense_44_60_8b.h5
dense_44_60_10b,44,60,10,pregen_latency_models/dense_44_60_10b.h5
dense_44_60_12b,44,60,12,pregen_latency_models/dense_44_60_12b.h5
dense_44_60_14b,44,60,14,pregen_latency_models/dense_44_60_14b.h5
dense_44_60_16b,44,60,16,pregen_latency_models/dense_44_60_16b.h5
dense_44_62_2b,44,62,2,pregen_latency_models/dense_44_62_2b.h5
dense_44_62_4b,44,62,4,pregen_latency_models/dense_44_62_4b.h5
dense_44_62_6b,44,62,6,pregen_latency_models/dense_44_62_6b.h5
dense_44_62_8b,44,62,8,pregen_latency_models/dense_44_62_8b.h5
dense_44_62_10b,44,62,10,pregen_latency_models/dense_44_62_10b.h5
dense_44_62_12b,44,62,12,pregen_latency_models/dense_44_62_12b.h5
dense_44_62_14b,44,62,14,pregen_latency_models/dense_44_62_14b.h5
dense_44_62_16b,44,62,16,pregen_latency_models/dense_44_62_16b.h5
dense_44_64_2b,44,64,2,pregen_latency_models/dense_44_64_2b.h5
dense_44_64_4b,44,64,4,pregen_latency_models/dense_44_64_4b.h5
dense_44_64_6b,44,64,6,pregen_latency_models/dense_44_64_6b.h5
dense_44_64_8b,44,64,8,pregen_latency_models/dense_44_64_8b.h5
dense_44_64_10b,44,64,10,pregen_latency_models/dense_44_64_10b.h5
dense_44_64_12b,44,64,12,pregen_latency_models/dense_44_64_12b.h5
dense_44_64_14b,44,64,14,pregen_latency_models/dense_44_64_14b.h5
dense_44_64_16b,44,64,16,pregen_latency_models/dense_44_64_16b.h5
dense_46_2_2b,46,2,2,pregen_latency_models/dense_46_2_2b.h5
dense_46_2_4b,46,2,4,pregen_latency_models/dense_46_2_4b.h5
dense_46_2_6b,46,2,6,pregen_latency_models/dense_46_2_6b.h5
dense_46_2_8b,46,2,8,pregen_latency_models/dense_46_2_8b.h5
dense_46_2_10b,46,2,10,pregen_latency_models/dense_46_2_10b.h5
dense_46_2_12b,46,2,12,pregen_latency_models/dense_46_2_12b.h5
dense_46_2_14b,46,2,14,pregen_latency_models/dense_46_2_14b.h5
dense_46_2_16b,46,2,16,pregen_latency_models/dense_46_2_16b.h5
dense_46_4_2b,46,4,2,pregen_latency_models/dense_46_4_2b.h5
