model_name,d_in,d_out,prec,model_file
dense_28_20_2b,28,20,2,pregen_latency_models/dense_28_20_2b.h5
dense_28_20_4b,28,20,4,pregen_latency_models/dense_28_20_4b.h5
dense_28_20_6b,28,20,6,pregen_latency_models/dense_28_20_6b.h5
dense_28_20_8b,28,20,8,pregen_latency_models/dense_28_20_8b.h5
dense_28_20_10b,28,20,10,pregen_latency_models/dense_28_20_10b.h5
dense_28_20_12b,28,20,12,pregen_latency_models/dense_28_20_12b.h5
dense_28_20_14b,28,20,14,pregen_latency_models/dense_28_20_14b.h5
dense_28_20_16b,28,20,16,pregen_latency_models/dense_28_20_16b.h5
dense_28_22_2b,28,22,2,pregen_latency_models/dense_28_22_2b.h5
dense_28_22_4b,28,22,4,pregen_latency_models/dense_28_22_4b.h5
dense_28_22_6b,28,22,6,pregen_latency_models/dense_28_22_6b.h5
dense_28_22_8b,28,22,8,pregen_latency_models/dense_28_22_8b.h5
dense_28_22_10b,28,22,10,pregen_latency_models/dense_28_22_10b.h5
dense_28_22_12b,28,22,12,pregen_latency_models/dense_28_22_12b.h5
dense_28_22_14b,28,22,14,pregen_latency_models/dense_28_22_14b.h5
dense_28_22_16b,28,22,16,pregen_latency_models/dense_28_22_16b.h5
dense_28_24_2b,28,24,2,pregen_latency_models/dense_28_24_2b.h5
dense_28_24_4b,28,24,4,pregen_latency_models/dense_28_24_4b.h5
dense_28_24_6b,28,24,6,pregen_latency_models/dense_28_24_6b.h5
dense_28_24_8b,28,24,8,pregen_latency_models/dense_28_24_8b.h5
dense_28_24_10b,28,24,10,pregen_latency_models/dense_28_24_10b.h5
dense_28_24_12b,28,24,12,pregen_latency_models/dense_28_24_12b.h5
dense_28_24_14b,28,24,14,pregen_latency_models/dense_28_24_14b.h5
dense_28_24_16b,28,24,16,pregen_latency_models/dense_28_24_16b.h5
dense_28_26_2b,28,26,2,pregen_latency_models/dense_28_26_2b.h5
dense_28_26_4b,28,26,4,pregen_latency_models/dense_28_26_4b.h5
dense_28_26_6b,28,26,6,pregen_latency_models/dense_28_26_6b.h5
dense_28_26_8b,28,26,8,pregen_latency_models/dense_28_26_8b.h5
dense_28_26_10b,28,26,10,pregen_latency_models/dense_28_26_10b.h5
dense_28_26_12b,28,26,12,pregen_latency_models/dense_28_26_12b.h5
dense_28_26_14b,28,26,14,pregen_latency_models/dense_28_26_14b.h5
dense_28_26_16b,28,26,16,pregen_latency_models/dense_28_26_16b.h5
dense_28_28_2b,28,28,2,pregen_latency_models/dense_28_28_2b.h5
dense_28_28_4b,28,28,4,pregen_latency_models/dense_28_28_4b.h5
dense_28_28_6b,28,28,6,pregen_latency_models/dense_28_28_6b.h5
dense_28_28_8b,28,28,8,pregen_latency_models/dense_28_28_8b.h5
dense_28_28_10b,28,28,10,pregen_latency_models/dense_28_28_10b.h5
dense_28_28_12b,28,28,12,pregen_latency_models/dense_28_28_12b.h5
dense_28_28_14b,28,28,14,pregen_latency_models/dense_28_28_14b.h5
