model_name,d_in,d_out,prec,model_file
dense_36_14_2b,36,14,2,pregen_latency_models/dense_36_14_2b.h5
dense_36_14_4b,36,14,4,pregen_latency_models/dense_36_14_4b.h5
dense_36_14_6b,36,14,6,pregen_latency_models/dense_36_14_6b.h5
dense_36_14_8b,36,14,8,pregen_latency_models/dense_36_14_8b.h5
dense_36_14_10b,36,14,10,pregen_latency_models/dense_36_14_10b.h5
dense_36_14_12b,36,14,12,pregen_latency_models/dense_36_14_12b.h5
dense_36_14_14b,36,14,14,pregen_latency_models/dense_36_14_14b.h5
dense_36_14_16b,36,14,16,pregen_latency_models/dense_36_14_16b.h5
dense_36_16_2b,36,16,2,pregen_latency_models/dense_36_16_2b.h5
dense_36_16_4b,36,16,4,pregen_latency_models/dense_36_16_4b.h5
dense_36_16_6b,36,16,6,pregen_latency_models/dense_36_16_6b.h5
dense_36_16_8b,36,16,8,pregen_latency_models/dense_36_16_8b.h5
dense_36_16_10b,36,16,10,pregen_latency_models/dense_36_16_10b.h5
dense_36_16_12b,36,16,12,pregen_latency_models/dense_36_16_12b.h5
dense_36_16_14b,36,16,14,pregen_latency_models/dense_36_16_14b.h5
dense_36_16_16b,36,16,16,pregen_latency_models/dense_36_16_16b.h5
dense_36_18_2b,36,18,2,pregen_latency_models/dense_36_18_2b.h5
dense_36_18_4b,36,18,4,pregen_latency_models/dense_36_18_4b.h5
dense_36_18_6b,36,18,6,pregen_latency_models/dense_36_18_6b.h5
dense_36_18_8b,36,18,8,pregen_latency_models/dense_36_18_8b.h5
dense_36_18_10b,36,18,10,pregen_latency_models/dense_36_18_10b.h5
dense_36_18_12b,36,18,12,pregen_latency_models/dense_36_18_12b.h5
dense_36_18_14b,36,18,14,pregen_latency_models/dense_36_18_14b.h5
dense_36_18_16b,36,18,16,pregen_latency_models/dense_36_18_16b.h5
dense_36_20_2b,36,20,2,pregen_latency_models/dense_36_20_2b.h5
dense_36_20_4b,36,20,4,pregen_latency_models/dense_36_20_4b.h5
dense_36_20_6b,36,20,6,pregen_latency_models/dense_36_20_6b.h5
dense_36_20_8b,36,20,8,pregen_latency_models/dense_36_20_8b.h5
dense_36_20_10b,36,20,10,pregen_latency_models/dense_36_20_10b.h5
dense_36_20_12b,36,20,12,pregen_latency_models/dense_36_20_12b.h5
dense_36_20_14b,36,20,14,pregen_latency_models/dense_36_20_14b.h5
dense_36_20_16b,36,20,16,pregen_latency_models/dense_36_20_16b.h5
dense_36_22_2b,36,22,2,pregen_latency_models/dense_36_22_2b.h5
dense_36_22_4b,36,22,4,pregen_latency_models/dense_36_22_4b.h5
dense_36_22_6b,36,22,6,pregen_latency_models/dense_36_22_6b.h5
dense_36_22_8b,36,22,8,pregen_latency_models/dense_36_22_8b.h5
dense_36_22_10b,36,22,10,pregen_latency_models/dense_36_22_10b.h5
dense_36_22_12b,36,22,12,pregen_latency_models/dense_36_22_12b.h5
dense_36_22_14b,36,22,14,pregen_latency_models/dense_36_22_14b.h5
dense_36_22_16b,36,22,16,pregen_latency_models/dense_36_22_16b.h5
dense_36_24_2b,36,24,2,pregen_latency_models/dense_36_24_2b.h5
dense_36_24_4b,36,24,4,pregen_latency_models/dense_36_24_4b.h5
dense_36_24_6b,36,24,6,pregen_latency_models/dense_36_24_6b.h5
dense_36_24_8b,36,24,8,pregen_latency_models/dense_36_24_8b.h5
dense_36_24_10b,36,24,10,pregen_latency_models/dense_36_24_10b.h5
dense_36_24_12b,36,24,12,pregen_latency_models/dense_36_24_12b.h5
dense_36_24_14b,36,24,14,pregen_latency_models/dense_36_24_14b.h5
dense_36_24_16b,36,24,16,pregen_latency_models/dense_36_24_16b.h5
dense_36_26_2b,36,26,2,pregen_latency_models/dense_36_26_2b.h5
dense_36_26_4b,36,26,4,pregen_latency_models/dense_36_26_4b.h5
dense_36_26_6b,36,26,6,pregen_latency_models/dense_36_26_6b.h5
dense_36_26_8b,36,26,8,pregen_latency_models/dense_36_26_8b.h5
dense_36_26_10b,36,26,10,pregen_latency_models/dense_36_26_10b.h5
dense_36_26_12b,36,26,12,pregen_latency_models/dense_36_26_12b.h5
dense_36_26_14b,36,26,14,pregen_latency_models/dense_36_26_14b.h5
dense_36_26_16b,36,26,16,pregen_latency_models/dense_36_26_16b.h5
dense_36_28_2b,36,28,2,pregen_latency_models/dense_36_28_2b.h5
dense_36_28_4b,36,28,4,pregen_latency_models/dense_36_28_4b.h5
dense_36_28_6b,36,28,6,pregen_latency_models/dense_36_28_6b.h5
dense_36_28_8b,36,28,8,pregen_latency_models/dense_36_28_8b.h5
dense_36_28_10b,36,28,10,pregen_latency_models/dense_36_28_10b.h5
dense_36_28_12b,36,28,12,pregen_latency_models/dense_36_28_12b.h5
dense_36_28_14b,36,28,14,pregen_latency_models/dense_36_28_14b.h5
dense_36_28_16b,36,28,16,pregen_latency_models/dense_36_28_16b.h5
dense_36_30_2b,36,30,2,pregen_latency_models/dense_36_30_2b.h5
dense_36_30_4b,36,30,4,pregen_latency_models/dense_36_30_4b.h5
dense_36_30_6b,36,30,6,pregen_latency_models/dense_36_30_6b.h5
dense_36_30_8b,36,30,8,pregen_latency_models/dense_36_30_8b.h5
dense_36_30_10b,36,30,10,pregen_latency_models/dense_36_30_10b.h5
dense_36_30_12b,36,30,12,pregen_latency_models/dense_36_30_12b.h5
dense_36_30_14b,36,30,14,pregen_latency_models/dense_36_30_14b.h5
dense_36_30_16b,36,30,16,pregen_latency_models/dense_36_30_16b.h5
dense_36_32_2b,36,32,2,pregen_latency_models/dense_36_32_2b.h5
dense_36_32_4b,36,32,4,pregen_latency_models/dense_36_32_4b.h5
dense_36_32_6b,36,32,6,pregen_latency_models/dense_36_32_6b.h5
dense_36_32_8b,36,32,8,pregen_latency_models/dense_36_32_8b.h5
dense_36_32_10b,36,32,10,pregen_latency_models/dense_36_32_10b.h5
dense_36_32_12b,36,32,12,pregen_latency_models/dense_36_32_12b.h5
dense_36_32_14b,36,32,14,pregen_latency_models/dense_36_32_14b.h5
dense_36_32_16b,36,32,16,pregen_latency_models/dense_36_32_16b.h5
dense_36_34_2b,36,34,2,pregen_latency_models/dense_36_34_2b.h5
dense_36_34_4b,36,34,4,pregen_latency_models/dense_36_34_4b.h5
dense_36_34_6b,36,34,6,pregen_latency_models/dense_36_34_6b.h5
dense_36_34_8b,36,34,8,pregen_latency_models/dense_36_34_8b.h5
dense_36_34_10b,36,34,10,pregen_latency_models/dense_36_34_10b.h5
dense_36_34_12b,36,34,12,pregen_latency_models/dense_36_34_12b.h5
dense_36_34_14b,36,34,14,pregen_latency_models/dense_36_34_14b.h5
dense_36_34_16b,36,34,16,pregen_latency_models/dense_36_34_16b.h5
dense_36_36_2b,36,36,2,pregen_latency_models/dense_36_36_2b.h5
dense_36_36_4b,36,36,4,pregen_latency_models/dense_36_36_4b.h5
dense_36_36_6b,36,36,6,pregen_latency_models/dense_36_36_6b.h5
dense_36_36_8b,36,36,8,pregen_latency_models/dense_36_36_8b.h5
dense_36_36_10b,36,36,10,pregen_latency_models/dense_36_36_10b.h5
dense_36_36_12b,36,36,12,pregen_latency_models/dense_36_36_12b.h5
dense_36_36_14b,36,36,14,pregen_latency_models/dense_36_36_14b.h5
dense_36_36_16b,36,36,16,pregen_latency_models/dense_36_36_16b.h5
dense_36_38_2b,36,38,2,pregen_latency_models/dense_36_38_2b.h5
dense_36_38_4b,36,38,4,pregen_latency_models/dense_36_38_4b.h5
dense_36_38_6b,36,38,6,pregen_latency_models/dense_36_38_6b.h5
dense_36_38_8b,36,38,8,pregen_latency_models/dense_36_38_8b.h5
