model_name,d_in,d_out,prec,model_file
dense_4_12_10b,4,12,10,pregen_latency_models/dense_4_12_10b.h5
dense_4_12_12b,4,12,12,pregen_latency_models/dense_4_12_12b.h5
dense_4_12_14b,4,12,14,pregen_latency_models/dense_4_12_14b.h5
dense_4_12_16b,4,12,16,pregen_latency_models/dense_4_12_16b.h5
dense_4_14_2b,4,14,2,pregen_latency_models/dense_4_14_2b.h5
dense_4_14_4b,4,14,4,pregen_latency_models/dense_4_14_4b.h5
dense_4_14_6b,4,14,6,pregen_latency_models/dense_4_14_6b.h5
dense_4_14_8b,4,14,8,pregen_latency_models/dense_4_14_8b.h5
dense_4_14_10b,4,14,10,pregen_latency_models/dense_4_14_10b.h5
dense_4_14_12b,4,14,12,pregen_latency_models/dense_4_14_12b.h5
dense_4_14_14b,4,14,14,pregen_latency_models/dense_4_14_14b.h5
dense_4_14_16b,4,14,16,pregen_latency_models/dense_4_14_16b.h5
dense_4_16_2b,4,16,2,pregen_latency_models/dense_4_16_2b.h5
dense_4_16_4b,4,16,4,pregen_latency_models/dense_4_16_4b.h5
dense_4_16_6b,4,16,6,pregen_latency_models/dense_4_16_6b.h5
dense_4_16_8b,4,16,8,pregen_latency_models/dense_4_16_8b.h5
dense_4_16_10b,4,16,10,pregen_latency_models/dense_4_16_10b.h5
dense_4_16_12b,4,16,12,pregen_latency_models/dense_4_16_12b.h5
dense_4_16_14b,4,16,14,pregen_latency_models/dense_4_16_14b.h5
dense_4_16_16b,4,16,16,pregen_latency_models/dense_4_16_16b.h5
dense_4_18_2b,4,18,2,pregen_latency_models/dense_4_18_2b.h5
dense_4_18_4b,4,18,4,pregen_latency_models/dense_4_18_4b.h5
dense_4_18_6b,4,18,6,pregen_latency_models/dense_4_18_6b.h5
dense_4_18_8b,4,18,8,pregen_latency_models/dense_4_18_8b.h5
dense_4_18_10b,4,18,10,pregen_latency_models/dense_4_18_10b.h5
dense_4_18_12b,4,18,12,pregen_latency_models/dense_4_18_12b.h5
dense_4_18_14b,4,18,14,pregen_latency_models/dense_4_18_14b.h5
dense_4_18_16b,4,18,16,pregen_latency_models/dense_4_18_16b.h5
dense_4_20_2b,4,20,2,pregen_latency_models/dense_4_20_2b.h5
dense_4_20_4b,4,20,4,pregen_latency_models/dense_4_20_4b.h5
dense_4_20_6b,4,20,6,pregen_latency_models/dense_4_20_6b.h5
dense_4_20_8b,4,20,8,pregen_latency_models/dense_4_20_8b.h5
dense_4_20_10b,4,20,10,pregen_latency_models/dense_4_20_10b.h5
dense_4_20_12b,4,20,12,pregen_latency_models/dense_4_20_12b.h5
dense_4_20_14b,4,20,14,pregen_latency_models/dense_4_20_14b.h5
dense_4_20_16b,4,20,16,pregen_latency_models/dense_4_20_16b.h5
dense_4_22_2b,4,22,2,pregen_latency_models/dense_4_22_2b.h5
dense_4_22_4b,4,22,4,pregen_latency_models/dense_4_22_4b.h5
dense_4_22_6b,4,22,6,pregen_latency_models/dense_4_22_6b.h5
dense_4_22_8b,4,22,8,pregen_latency_models/dense_4_22_8b.h5
dense_4_22_10b,4,22,10,pregen_latency_models/dense_4_22_10b.h5
dense_4_22_12b,4,22,12,pregen_latency_models/dense_4_22_12b.h5
dense_4_22_14b,4,22,14,pregen_latency_models/dense_4_22_14b.h5
dense_4_22_16b,4,22,16,pregen_latency_models/dense_4_22_16b.h5
dense_4_24_2b,4,24,2,pregen_latency_models/dense_4_24_2b.h5
dense_4_24_4b,4,24,4,pregen_latency_models/dense_4_24_4b.h5
dense_4_24_6b,4,24,6,pregen_latency_models/dense_4_24_6b.h5
dense_4_24_8b,4,24,8,pregen_latency_models/dense_4_24_8b.h5
dense_4_24_10b,4,24,10,pregen_latency_models/dense_4_24_10b.h5
dense_4_24_12b,4,24,12,pregen_latency_models/dense_4_24_12b.h5
dense_4_24_14b,4,24,14,pregen_latency_models/dense_4_24_14b.h5
dense_4_24_16b,4,24,16,pregen_latency_models/dense_4_24_16b.h5
dense_4_26_2b,4,26,2,pregen_latency_models/dense_4_26_2b.h5
dense_4_26_4b,4,26,4,pregen_latency_models/dense_4_26_4b.h5
dense_4_26_6b,4,26,6,pregen_latency_models/dense_4_26_6b.h5
dense_4_26_8b,4,26,8,pregen_latency_models/dense_4_26_8b.h5
dense_4_26_10b,4,26,10,pregen_latency_models/dense_4_26_10b.h5
dense_4_26_12b,4,26,12,pregen_latency_models/dense_4_26_12b.h5
dense_4_26_14b,4,26,14,pregen_latency_models/dense_4_26_14b.h5
dense_4_26_16b,4,26,16,pregen_latency_models/dense_4_26_16b.h5
dense_4_28_2b,4,28,2,pregen_latency_models/dense_4_28_2b.h5
dense_4_28_4b,4,28,4,pregen_latency_models/dense_4_28_4b.h5
dense_4_28_6b,4,28,6,pregen_latency_models/dense_4_28_6b.h5
dense_4_28_8b,4,28,8,pregen_latency_models/dense_4_28_8b.h5
dense_4_28_10b,4,28,10,pregen_latency_models/dense_4_28_10b.h5
dense_4_28_12b,4,28,12,pregen_latency_models/dense_4_28_12b.h5
dense_4_28_14b,4,28,14,pregen_latency_models/dense_4_28_14b.h5
dense_4_28_16b,4,28,16,pregen_latency_models/dense_4_28_16b.h5
dense_4_30_2b,4,30,2,pregen_latency_models/dense_4_30_2b.h5
dense_4_30_4b,4,30,4,pregen_latency_models/dense_4_30_4b.h5
dense_4_30_6b,4,30,6,pregen_latency_models/dense_4_30_6b.h5
dense_4_30_8b,4,30,8,pregen_latency_models/dense_4_30_8b.h5
dense_4_30_10b,4,30,10,pregen_latency_models/dense_4_30_10b.h5
dense_4_30_12b,4,30,12,pregen_latency_models/dense_4_30_12b.h5
dense_4_30_14b,4,30,14,pregen_latency_models/dense_4_30_14b.h5
dense_4_30_16b,4,30,16,pregen_latency_models/dense_4_30_16b.h5
dense_4_32_2b,4,32,2,pregen_latency_models/dense_4_32_2b.h5
dense_4_32_4b,4,32,4,pregen_latency_models/dense_4_32_4b.h5
dense_4_32_6b,4,32,6,pregen_latency_models/dense_4_32_6b.h5
dense_4_32_8b,4,32,8,pregen_latency_models/dense_4_32_8b.h5
dense_4_32_10b,4,32,10,pregen_latency_models/dense_4_32_10b.h5
dense_4_32_12b,4,32,12,pregen_latency_models/dense_4_32_12b.h5
dense_4_32_14b,4,32,14,pregen_latency_models/dense_4_32_14b.h5
dense_4_32_16b,4,32,16,pregen_latency_models/dense_4_32_16b.h5
dense_4_34_2b,4,34,2,pregen_latency_models/dense_4_34_2b.h5
dense_4_34_4b,4,34,4,pregen_latency_models/dense_4_34_4b.h5
dense_4_34_6b,4,34,6,pregen_latency_models/dense_4_34_6b.h5
dense_4_34_8b,4,34,8,pregen_latency_models/dense_4_34_8b.h5
dense_4_34_10b,4,34,10,pregen_latency_models/dense_4_34_10b.h5
dense_4_34_12b,4,34,12,pregen_latency_models/dense_4_34_12b.h5
dense_4_34_14b,4,34,14,pregen_latency_models/dense_4_34_14b.h5
dense_4_34_16b,4,34,16,pregen_latency_models/dense_4_34_16b.h5
dense_4_36_2b,4,36,2,pregen_latency_models/dense_4_36_2b.h5
dense_4_36_4b,4,36,4,pregen_latency_models/dense_4_36_4b.h5
dense_4_36_6b,4,36,6,pregen_latency_models/dense_4_36_6b.h5
dense_4_36_8b,4,36,8,pregen_latency_models/dense_4_36_8b.h5
dense_4_36_10b,4,36,10,pregen_latency_models/dense_4_36_10b.h5
dense_4_36_12b,4,36,12,pregen_latency_models/dense_4_36_12b.h5
dense_4_36_14b,4,36,14,pregen_latency_models/dense_4_36_14b.h5
dense_4_36_16b,4,36,16,pregen_latency_models/dense_4_36_16b.h5
