model_name,d_in,d_out,prec,model_file
dense_12_56_10b,12,56,10,pregen_latency_models/dense_12_56_10b.h5
dense_12_56_12b,12,56,12,pregen_latency_models/dense_12_56_12b.h5
dense_12_56_14b,12,56,14,pregen_latency_models/dense_12_56_14b.h5
dense_12_56_16b,12,56,16,pregen_latency_models/dense_12_56_16b.h5
dense_12_58_2b,12,58,2,pregen_latency_models/dense_12_58_2b.h5
dense_12_58_4b,12,58,4,pregen_latency_models/dense_12_58_4b.h5
dense_12_58_6b,12,58,6,pregen_latency_models/dense_12_58_6b.h5
dense_12_58_8b,12,58,8,pregen_latency_models/dense_12_58_8b.h5
dense_12_58_10b,12,58,10,pregen_latency_models/dense_12_58_10b.h5
dense_12_58_12b,12,58,12,pregen_latency_models/dense_12_58_12b.h5
dense_12_58_14b,12,58,14,pregen_latency_models/dense_12_58_14b.h5
dense_12_58_16b,12,58,16,pregen_latency_models/dense_12_58_16b.h5
dense_12_60_2b,12,60,2,pregen_latency_models/dense_12_60_2b.h5
dense_12_60_4b,12,60,4,pregen_latency_models/dense_12_60_4b.h5
dense_12_60_6b,12,60,6,pregen_latency_models/dense_12_60_6b.h5
dense_12_60_8b,12,60,8,pregen_latency_models/dense_12_60_8b.h5
dense_12_60_10b,12,60,10,pregen_latency_models/dense_12_60_10b.h5
dense_12_60_12b,12,60,12,pregen_latency_models/dense_12_60_12b.h5
dense_12_60_14b,12,60,14,pregen_latency_models/dense_12_60_14b.h5
dense_12_60_16b,12,60,16,pregen_latency_models/dense_12_60_16b.h5
dense_12_62_2b,12,62,2,pregen_latency_models/dense_12_62_2b.h5
dense_12_62_4b,12,62,4,pregen_latency_models/dense_12_62_4b.h5
dense_12_62_6b,12,62,6,pregen_latency_models/dense_12_62_6b.h5
dense_12_62_8b,12,62,8,pregen_latency_models/dense_12_62_8b.h5
dense_12_62_10b,12,62,10,pregen_latency_models/dense_12_62_10b.h5
dense_12_62_12b,12,62,12,pregen_latency_models/dense_12_62_12b.h5
dense_12_62_14b,12,62,14,pregen_latency_models/dense_12_62_14b.h5
dense_12_62_16b,12,62,16,pregen_latency_models/dense_12_62_16b.h5
dense_12_64_2b,12,64,2,pregen_latency_models/dense_12_64_2b.h5
dense_12_64_4b,12,64,4,pregen_latency_models/dense_12_64_4b.h5
dense_12_64_6b,12,64,6,pregen_latency_models/dense_12_64_6b.h5
dense_12_64_8b,12,64,8,pregen_latency_models/dense_12_64_8b.h5
dense_12_64_10b,12,64,10,pregen_latency_models/dense_12_64_10b.h5
dense_12_64_12b,12,64,12,pregen_latency_models/dense_12_64_12b.h5
dense_12_64_14b,12,64,14,pregen_latency_models/dense_12_64_14b.h5
dense_12_64_16b,12,64,16,pregen_latency_models/dense_12_64_16b.h5
dense_14_2_2b,14,2,2,pregen_latency_models/dense_14_2_2b.h5
dense_14_2_4b,14,2,4,pregen_latency_models/dense_14_2_4b.h5
dense_14_2_6b,14,2,6,pregen_latency_models/dense_14_2_6b.h5
dense_14_2_8b,14,2,8,pregen_latency_models/dense_14_2_8b.h5
dense_14_2_10b,14,2,10,pregen_latency_models/dense_14_2_10b.h5
dense_14_2_12b,14,2,12,pregen_latency_models/dense_14_2_12b.h5
dense_14_2_14b,14,2,14,pregen_latency_models/dense_14_2_14b.h5
dense_14_2_16b,14,2,16,pregen_latency_models/dense_14_2_16b.h5
dense_14_4_2b,14,4,2,pregen_latency_models/dense_14_4_2b.h5
dense_14_4_4b,14,4,4,pregen_latency_models/dense_14_4_4b.h5
dense_14_4_6b,14,4,6,pregen_latency_models/dense_14_4_6b.h5
dense_14_4_8b,14,4,8,pregen_latency_models/dense_14_4_8b.h5
dense_14_4_10b,14,4,10,pregen_latency_models/dense_14_4_10b.h5
dense_14_4_12b,14,4,12,pregen_latency_models/dense_14_4_12b.h5
dense_14_4_14b,14,4,14,pregen_latency_models/dense_14_4_14b.h5
dense_14_4_16b,14,4,16,pregen_latency_models/dense_14_4_16b.h5
dense_14_6_2b,14,6,2,pregen_latency_models/dense_14_6_2b.h5
dense_14_6_4b,14,6,4,pregen_latency_models/dense_14_6_4b.h5
dense_14_6_6b,14,6,6,pregen_latency_models/dense_14_6_6b.h5
dense_14_6_8b,14,6,8,pregen_latency_models/dense_14_6_8b.h5
dense_14_6_10b,14,6,10,pregen_latency_models/dense_14_6_10b.h5
dense_14_6_12b,14,6,12,pregen_latency_models/dense_14_6_12b.h5
dense_14_6_14b,14,6,14,pregen_latency_models/dense_14_6_14b.h5
dense_14_6_16b,14,6,16,pregen_latency_models/dense_14_6_16b.h5
dense_14_8_2b,14,8,2,pregen_latency_models/dense_14_8_2b.h5
dense_14_8_4b,14,8,4,pregen_latency_models/dense_14_8_4b.h5
dense_14_8_6b,14,8,6,pregen_latency_models/dense_14_8_6b.h5
dense_14_8_8b,14,8,8,pregen_latency_models/dense_14_8_8b.h5
dense_14_8_10b,14,8,10,pregen_latency_models/dense_14_8_10b.h5
dense_14_8_12b,14,8,12,pregen_latency_models/dense_14_8_12b.h5
dense_14_8_14b,14,8,14,pregen_latency_models/dense_14_8_14b.h5
dense_14_8_16b,14,8,16,pregen_latency_models/dense_14_8_16b.h5
dense_14_10_2b,14,10,2,pregen_latency_models/dense_14_10_2b.h5
dense_14_10_4b,14,10,4,pregen_latency_models/dense_14_10_4b.h5
dense_14_10_6b,14,10,6,pregen_latency_models/dense_14_10_6b.h5
dense_14_10_8b,14,10,8,pregen_latency_models/dense_14_10_8b.h5
dense_14_10_10b,14,10,10,pregen_latency_models/dense_14_10_10b.h5
dense_14_10_12b,14,10,12,pregen_latency_models/dense_14_10_12b.h5
dense_14_10_14b,14,10,14,pregen_latency_models/dense_14_10_14b.h5
dense_14_10_16b,14,10,16,pregen_latency_models/dense_14_10_16b.h5
dense_14_12_2b,14,12,2,pregen_latency_models/dense_14_12_2b.h5
