model_name,d_in,d_out,prec,model_file
dense_48_30_2b,48,30,2,pregen_latency_models/dense_48_30_2b.h5
dense_48_30_4b,48,30,4,pregen_latency_models/dense_48_30_4b.h5
dense_48_30_6b,48,30,6,pregen_latency_models/dense_48_30_6b.h5
dense_48_30_8b,48,30,8,pregen_latency_models/dense_48_30_8b.h5
dense_48_30_10b,48,30,10,pregen_latency_models/dense_48_30_10b.h5
dense_48_30_12b,48,30,12,pregen_latency_models/dense_48_30_12b.h5
dense_48_30_14b,48,30,14,pregen_latency_models/dense_48_30_14b.h5
dense_48_30_16b,48,30,16,pregen_latency_models/dense_48_30_16b.h5
dense_48_32_2b,48,32,2,pregen_latency_models/dense_48_32_2b.h5
dense_48_32_4b,48,32,4,pregen_latency_models/dense_48_32_4b.h5
dense_48_32_6b,48,32,6,pregen_latency_models/dense_48_32_6b.h5
dense_48_32_8b,48,32,8,pregen_latency_models/dense_48_32_8b.h5
dense_48_32_10b,48,32,10,pregen_latency_models/dense_48_32_10b.h5
dense_48_32_12b,48,32,12,pregen_latency_models/dense_48_32_12b.h5
dense_48_32_14b,48,32,14,pregen_latency_models/dense_48_32_14b.h5
dense_48_32_16b,48,32,16,pregen_latency_models/dense_48_32_16b.h5
dense_48_34_2b,48,34,2,pregen_latency_models/dense_48_34_2b.h5
dense_48_34_4b,48,34,4,pregen_latency_models/dense_48_34_4b.h5
dense_48_34_6b,48,34,6,pregen_latency_models/dense_48_34_6b.h5
dense_48_34_8b,48,34,8,pregen_latency_models/dense_48_34_8b.h5
dense_48_34_10b,48,34,10,pregen_latency_models/dense_48_34_10b.h5
dense_48_34_12b,48,34,12,pregen_latency_models/dense_48_34_12b.h5
dense_48_34_14b,48,34,14,pregen_latency_models/dense_48_34_14b.h5
dense_48_34_16b,48,34,16,pregen_latency_models/dense_48_34_16b.h5
dense_48_36_2b,48,36,2,pregen_latency_models/dense_48_36_2b.h5
dense_48_36_4b,48,36,4,pregen_latency_models/dense_48_36_4b.h5
dense_48_36_6b,48,36,6,pregen_latency_models/dense_48_36_6b.h5
dense_48_36_8b,48,36,8,pregen_latency_models/dense_48_36_8b.h5
dense_48_36_10b,48,36,10,pregen_latency_models/dense_48_36_10b.h5
dense_48_36_12b,48,36,12,pregen_latency_models/dense_48_36_12b.h5
dense_48_36_14b,48,36,14,pregen_latency_models/dense_48_36_14b.h5
dense_48_36_16b,48,36,16,pregen_latency_models/dense_48_36_16b.h5
dense_48_38_2b,48,38,2,pregen_latency_models/dense_48_38_2b.h5
dense_48_38_4b,48,38,4,pregen_latency_models/dense_48_38_4b.h5
dense_48_38_6b,48,38,6,pregen_latency_models/dense_48_38_6b.h5
dense_48_38_8b,48,38,8,pregen_latency_models/dense_48_38_8b.h5
dense_48_38_10b,48,38,10,pregen_latency_models/dense_48_38_10b.h5
dense_48_38_12b,48,38,12,pregen_latency_models/dense_48_38_12b.h5
dense_48_38_14b,48,38,14,pregen_latency_models/dense_48_38_14b.h5
dense_48_38_16b,48,38,16,pregen_latency_models/dense_48_38_16b.h5
dense_48_40_2b,48,40,2,pregen_latency_models/dense_48_40_2b.h5
dense_48_40_4b,48,40,4,pregen_latency_models/dense_48_40_4b.h5
dense_48_40_6b,48,40,6,pregen_latency_models/dense_48_40_6b.h5
dense_48_40_8b,48,40,8,pregen_latency_models/dense_48_40_8b.h5
dense_48_40_10b,48,40,10,pregen_latency_models/dense_48_40_10b.h5
dense_48_40_12b,48,40,12,pregen_latency_models/dense_48_40_12b.h5
dense_48_40_14b,48,40,14,pregen_latency_models/dense_48_40_14b.h5
dense_48_40_16b,48,40,16,pregen_latency_models/dense_48_40_16b.h5
dense_48_42_2b,48,42,2,pregen_latency_models/dense_48_42_2b.h5
dense_48_42_4b,48,42,4,pregen_latency_models/dense_48_42_4b.h5
dense_48_42_6b,48,42,6,pregen_latency_models/dense_48_42_6b.h5
dense_48_42_8b,48,42,8,pregen_latency_models/dense_48_42_8b.h5
dense_48_42_10b,48,42,10,pregen_latency_models/dense_48_42_10b.h5
dense_48_42_12b,48,42,12,pregen_latency_models/dense_48_42_12b.h5
dense_48_42_14b,48,42,14,pregen_latency_models/dense_48_42_14b.h5
dense_48_42_16b,48,42,16,pregen_latency_models/dense_48_42_16b.h5
dense_48_44_2b,48,44,2,pregen_latency_models/dense_48_44_2b.h5
dense_48_44_4b,48,44,4,pregen_latency_models/dense_48_44_4b.h5
dense_48_44_6b,48,44,6,pregen_latency_models/dense_48_44_6b.h5
dense_48_44_8b,48,44,8,pregen_latency_models/dense_48_44_8b.h5
dense_48_44_10b,48,44,10,pregen_latency_models/dense_48_44_10b.h5
dense_48_44_12b,48,44,12,pregen_latency_models/dense_48_44_12b.h5
dense_48_44_14b,48,44,14,pregen_latency_models/dense_48_44_14b.h5
dense_48_44_16b,48,44,16,pregen_latency_models/dense_48_44_16b.h5
dense_48_46_2b,48,46,2,pregen_latency_models/dense_48_46_2b.h5
dense_48_46_4b,48,46,4,pregen_latency_models/dense_48_46_4b.h5
dense_48_46_6b,48,46,6,pregen_latency_models/dense_48_46_6b.h5
dense_48_46_8b,48,46,8,pregen_latency_models/dense_48_46_8b.h5
dense_48_46_10b,48,46,10,pregen_latency_models/dense_48_46_10b.h5
dense_48_46_12b,48,46,12,pregen_latency_models/dense_48_46_12b.h5
dense_48_46_14b,48,46,14,pregen_latency_models/dense_48_46_14b.h5
dense_48_46_16b,48,46,16,pregen_latency_models/dense_48_46_16b.h5
dense_48_48_2b,48,48,2,pregen_latency_models/dense_48_48_2b.h5
dense_48_48_4b,48,48,4,pregen_latency_models/dense_48_48_4b.h5
dense_48_48_6b,48,48,6,pregen_latency_models/dense_48_48_6b.h5
