model_name,d_in,d_out,prec,model_file
dense_10_20_10b,10,20,10,pregen_latency_models/dense_10_20_10b.h5
dense_10_20_12b,10,20,12,pregen_latency_models/dense_10_20_12b.h5
dense_10_20_14b,10,20,14,pregen_latency_models/dense_10_20_14b.h5
dense_10_20_16b,10,20,16,pregen_latency_models/dense_10_20_16b.h5
dense_10_22_2b,10,22,2,pregen_latency_models/dense_10_22_2b.h5
dense_10_22_4b,10,22,4,pregen_latency_models/dense_10_22_4b.h5
dense_10_22_6b,10,22,6,pregen_latency_models/dense_10_22_6b.h5
dense_10_22_8b,10,22,8,pregen_latency_models/dense_10_22_8b.h5
dense_10_22_10b,10,22,10,pregen_latency_models/dense_10_22_10b.h5
dense_10_22_12b,10,22,12,pregen_latency_models/dense_10_22_12b.h5
dense_10_22_14b,10,22,14,pregen_latency_models/dense_10_22_14b.h5
dense_10_22_16b,10,22,16,pregen_latency_models/dense_10_22_16b.h5
dense_10_24_2b,10,24,2,pregen_latency_models/dense_10_24_2b.h5
dense_10_24_4b,10,24,4,pregen_latency_models/dense_10_24_4b.h5
dense_10_24_6b,10,24,6,pregen_latency_models/dense_10_24_6b.h5
dense_10_24_8b,10,24,8,pregen_latency_models/dense_10_24_8b.h5
dense_10_24_10b,10,24,10,pregen_latency_models/dense_10_24_10b.h5
dense_10_24_12b,10,24,12,pregen_latency_models/dense_10_24_12b.h5
dense_10_24_14b,10,24,14,pregen_latency_models/dense_10_24_14b.h5
dense_10_24_16b,10,24,16,pregen_latency_models/dense_10_24_16b.h5
dense_10_26_2b,10,26,2,pregen_latency_models/dense_10_26_2b.h5
dense_10_26_4b,10,26,4,pregen_latency_models/dense_10_26_4b.h5
dense_10_26_6b,10,26,6,pregen_latency_models/dense_10_26_6b.h5
dense_10_26_8b,10,26,8,pregen_latency_models/dense_10_26_8b.h5
dense_10_26_10b,10,26,10,pregen_latency_models/dense_10_26_10b.h5
dense_10_26_12b,10,26,12,pregen_latency_models/dense_10_26_12b.h5
dense_10_26_14b,10,26,14,pregen_latency_models/dense_10_26_14b.h5
dense_10_26_16b,10,26,16,pregen_latency_models/dense_10_26_16b.h5
dense_10_28_2b,10,28,2,pregen_latency_models/dense_10_28_2b.h5
dense_10_28_4b,10,28,4,pregen_latency_models/dense_10_28_4b.h5
dense_10_28_6b,10,28,6,pregen_latency_models/dense_10_28_6b.h5
