model_name,d_in,d_out,prec,model_file
dense_60_20_10b,60,20,10,pregen_latency_models/dense_60_20_10b.h5
dense_60_20_12b,60,20,12,pregen_latency_models/dense_60_20_12b.h5
dense_60_20_14b,60,20,14,pregen_latency_models/dense_60_20_14b.h5
dense_60_20_16b,60,20,16,pregen_latency_models/dense_60_20_16b.h5
dense_60_22_2b,60,22,2,pregen_latency_models/dense_60_22_2b.h5
dense_60_22_4b,60,22,4,pregen_latency_models/dense_60_22_4b.h5
dense_60_22_6b,60,22,6,pregen_latency_models/dense_60_22_6b.h5
dense_60_22_8b,60,22,8,pregen_latency_models/dense_60_22_8b.h5
dense_60_22_10b,60,22,10,pregen_latency_models/dense_60_22_10b.h5
dense_60_22_12b,60,22,12,pregen_latency_models/dense_60_22_12b.h5
dense_60_22_14b,60,22,14,pregen_latency_models/dense_60_22_14b.h5
dense_60_22_16b,60,22,16,pregen_latency_models/dense_60_22_16b.h5
dense_60_24_2b,60,24,2,pregen_latency_models/dense_60_24_2b.h5
dense_60_24_4b,60,24,4,pregen_latency_models/dense_60_24_4b.h5
dense_60_24_6b,60,24,6,pregen_latency_models/dense_60_24_6b.h5
dense_60_24_8b,60,24,8,pregen_latency_models/dense_60_24_8b.h5
dense_60_24_10b,60,24,10,pregen_latency_models/dense_60_24_10b.h5
dense_60_24_12b,60,24,12,pregen_latency_models/dense_60_24_12b.h5
dense_60_24_14b,60,24,14,pregen_latency_models/dense_60_24_14b.h5
dense_60_24_16b,60,24,16,pregen_latency_models/dense_60_24_16b.h5
dense_60_26_2b,60,26,2,pregen_latency_models/dense_60_26_2b.h5
dense_60_26_4b,60,26,4,pregen_latency_models/dense_60_26_4b.h5
dense_60_26_6b,60,26,6,pregen_latency_models/dense_60_26_6b.h5
dense_60_26_8b,60,26,8,pregen_latency_models/dense_60_26_8b.h5
dense_60_26_10b,60,26,10,pregen_latency_models/dense_60_26_10b.h5
dense_60_26_12b,60,26,12,pregen_latency_models/dense_60_26_12b.h5
dense_60_26_14b,60,26,14,pregen_latency_models/dense_60_26_14b.h5
dense_60_26_16b,60,26,16,pregen_latency_models/dense_60_26_16b.h5
dense_60_28_2b,60,28,2,pregen_latency_models/dense_60_28_2b.h5
dense_60_28_4b,60,28,4,pregen_latency_models/dense_60_28_4b.h5
dense_60_28_6b,60,28,6,pregen_latency_models/dense_60_28_6b.h5
dense_60_28_8b,60,28,8,pregen_latency_models/dense_60_28_8b.h5
dense_60_28_10b,60,28,10,pregen_latency_models/dense_60_28_10b.h5
dense_60_28_12b,60,28,12,pregen_latency_models/dense_60_28_12b.h5
dense_60_28_14b,60,28,14,pregen_latency_models/dense_60_28_14b.h5
dense_60_28_16b,60,28,16,pregen_latency_models/dense_60_28_16b.h5
dense_60_30_2b,60,30,2,pregen_latency_models/dense_60_30_2b.h5
dense_60_30_4b,60,30,4,pregen_latency_models/dense_60_30_4b.h5
dense_60_30_6b,60,30,6,pregen_latency_models/dense_60_30_6b.h5
dense_60_30_8b,60,30,8,pregen_latency_models/dense_60_30_8b.h5
dense_60_30_10b,60,30,10,pregen_latency_models/dense_60_30_10b.h5
dense_60_30_12b,60,30,12,pregen_latency_models/dense_60_30_12b.h5
dense_60_30_14b,60,30,14,pregen_latency_models/dense_60_30_14b.h5
dense_60_30_16b,60,30,16,pregen_latency_models/dense_60_30_16b.h5
dense_60_32_2b,60,32,2,pregen_latency_models/dense_60_32_2b.h5
dense_60_32_4b,60,32,4,pregen_latency_models/dense_60_32_4b.h5
dense_60_32_6b,60,32,6,pregen_latency_models/dense_60_32_6b.h5
dense_60_32_8b,60,32,8,pregen_latency_models/dense_60_32_8b.h5
dense_60_32_10b,60,32,10,pregen_latency_models/dense_60_32_10b.h5
dense_60_32_12b,60,32,12,pregen_latency_models/dense_60_32_12b.h5
dense_60_32_14b,60,32,14,pregen_latency_models/dense_60_32_14b.h5
dense_60_32_16b,60,32,16,pregen_latency_models/dense_60_32_16b.h5
dense_60_34_2b,60,34,2,pregen_latency_models/dense_60_34_2b.h5
dense_60_34_4b,60,34,4,pregen_latency_models/dense_60_34_4b.h5
dense_60_34_6b,60,34,6,pregen_latency_models/dense_60_34_6b.h5
dense_60_34_8b,60,34,8,pregen_latency_models/dense_60_34_8b.h5
dense_60_34_10b,60,34,10,pregen_latency_models/dense_60_34_10b.h5
dense_60_34_12b,60,34,12,pregen_latency_models/dense_60_34_12b.h5
dense_60_34_14b,60,34,14,pregen_latency_models/dense_60_34_14b.h5
dense_60_34_16b,60,34,16,pregen_latency_models/dense_60_34_16b.h5
dense_60_36_2b,60,36,2,pregen_latency_models/dense_60_36_2b.h5
dense_60_36_4b,60,36,4,pregen_latency_models/dense_60_36_4b.h5
dense_60_36_6b,60,36,6,pregen_latency_models/dense_60_36_6b.h5
dense_60_36_8b,60,36,8,pregen_latency_models/dense_60_36_8b.h5
dense_60_36_10b,60,36,10,pregen_latency_models/dense_60_36_10b.h5
dense_60_36_12b,60,36,12,pregen_latency_models/dense_60_36_12b.h5
dense_60_36_14b,60,36,14,pregen_latency_models/dense_60_36_14b.h5
dense_60_36_16b,60,36,16,pregen_latency_models/dense_60_36_16b.h5
dense_60_38_2b,60,38,2,pregen_latency_models/dense_60_38_2b.h5
dense_60_38_4b,60,38,4,pregen_latency_models/dense_60_38_4b.h5
dense_60_38_6b,60,38,6,pregen_latency_models/dense_60_38_6b.h5
dense_60_38_8b,60,38,8,pregen_latency_models/dense_60_38_8b.h5
dense_60_38_10b,60,38,10,pregen_latency_models/dense_60_38_10b.h5
dense_60_38_12b,60,38,12,pregen_latency_models/dense_60_38_12b.h5
dense_60_38_14b,60,38,14,pregen_latency_models/dense_60_38_14b.h5
dense_60_38_16b,60,38,16,pregen_latency_models/dense_60_38_16b.h5
dense_60_40_2b,60,40,2,pregen_latency_models/dense_60_40_2b.h5
dense_60_40_4b,60,40,4,pregen_latency_models/dense_60_40_4b.h5
dense_60_40_6b,60,40,6,pregen_latency_models/dense_60_40_6b.h5
dense_60_40_8b,60,40,8,pregen_latency_models/dense_60_40_8b.h5
dense_60_40_10b,60,40,10,pregen_latency_models/dense_60_40_10b.h5
