model_name,d_in,d_out,prec,model_file
dense_2_22_8b,2,22,8,pregen_latency_models/dense_2_22_8b.h5
dense_2_22_10b,2,22,10,pregen_latency_models/dense_2_22_10b.h5
dense_2_22_12b,2,22,12,pregen_latency_models/dense_2_22_12b.h5
dense_2_22_14b,2,22,14,pregen_latency_models/dense_2_22_14b.h5
dense_2_22_16b,2,22,16,pregen_latency_models/dense_2_22_16b.h5
dense_2_24_2b,2,24,2,pregen_latency_models/dense_2_24_2b.h5
dense_2_24_4b,2,24,4,pregen_latency_models/dense_2_24_4b.h5
dense_2_24_6b,2,24,6,pregen_latency_models/dense_2_24_6b.h5
dense_2_24_8b,2,24,8,pregen_latency_models/dense_2_24_8b.h5
dense_2_24_10b,2,24,10,pregen_latency_models/dense_2_24_10b.h5
dense_2_24_12b,2,24,12,pregen_latency_models/dense_2_24_12b.h5
dense_2_24_14b,2,24,14,pregen_latency_models/dense_2_24_14b.h5
dense_2_24_16b,2,24,16,pregen_latency_models/dense_2_24_16b.h5
dense_2_26_2b,2,26,2,pregen_latency_models/dense_2_26_2b.h5
dense_2_26_4b,2,26,4,pregen_latency_models/dense_2_26_4b.h5
dense_2_26_6b,2,26,6,pregen_latency_models/dense_2_26_6b.h5
dense_2_26_8b,2,26,8,pregen_latency_models/dense_2_26_8b.h5
dense_2_26_10b,2,26,10,pregen_latency_models/dense_2_26_10b.h5
dense_2_26_12b,2,26,12,pregen_latency_models/dense_2_26_12b.h5
dense_2_26_14b,2,26,14,pregen_latency_models/dense_2_26_14b.h5
dense_2_26_16b,2,26,16,pregen_latency_models/dense_2_26_16b.h5
dense_2_28_2b,2,28,2,pregen_latency_models/dense_2_28_2b.h5
dense_2_28_4b,2,28,4,pregen_latency_models/dense_2_28_4b.h5
dense_2_28_6b,2,28,6,pregen_latency_models/dense_2_28_6b.h5
dense_2_28_8b,2,28,8,pregen_latency_models/dense_2_28_8b.h5
dense_2_28_10b,2,28,10,pregen_latency_models/dense_2_28_10b.h5
dense_2_28_12b,2,28,12,pregen_latency_models/dense_2_28_12b.h5
dense_2_28_14b,2,28,14,pregen_latency_models/dense_2_28_14b.h5
dense_2_28_16b,2,28,16,pregen_latency_models/dense_2_28_16b.h5
dense_2_30_2b,2,30,2,pregen_latency_models/dense_2_30_2b.h5
dense_2_30_4b,2,30,4,pregen_latency_models/dense_2_30_4b.h5
dense_2_30_6b,2,30,6,pregen_latency_models/dense_2_30_6b.h5
dense_2_30_8b,2,30,8,pregen_latency_models/dense_2_30_8b.h5
dense_2_30_10b,2,30,10,pregen_latency_models/dense_2_30_10b.h5
