model_name,d_in,d_out,prec,model_file
dense_40_60_10b,40,60,10,pregen_latency_models/dense_40_60_10b.h5
dense_40_60_12b,40,60,12,pregen_latency_models/dense_40_60_12b.h5
dense_40_60_14b,40,60,14,pregen_latency_models/dense_40_60_14b.h5
dense_40_60_16b,40,60,16,pregen_latency_models/dense_40_60_16b.h5
dense_40_62_2b,40,62,2,pregen_latency_models/dense_40_62_2b.h5
dense_40_62_4b,40,62,4,pregen_latency_models/dense_40_62_4b.h5
dense_40_62_6b,40,62,6,pregen_latency_models/dense_40_62_6b.h5
dense_40_62_8b,40,62,8,pregen_latency_models/dense_40_62_8b.h5
dense_40_62_10b,40,62,10,pregen_latency_models/dense_40_62_10b.h5
dense_40_62_12b,40,62,12,pregen_latency_models/dense_40_62_12b.h5
dense_40_62_14b,40,62,14,pregen_latency_models/dense_40_62_14b.h5
dense_40_62_16b,40,62,16,pregen_latency_models/dense_40_62_16b.h5
dense_40_64_2b,40,64,2,pregen_latency_models/dense_40_64_2b.h5
dense_40_64_4b,40,64,4,pregen_latency_models/dense_40_64_4b.h5
dense_40_64_6b,40,64,6,pregen_latency_models/dense_40_64_6b.h5
dense_40_64_8b,40,64,8,pregen_latency_models/dense_40_64_8b.h5
dense_40_64_10b,40,64,10,pregen_latency_models/dense_40_64_10b.h5
dense_40_64_12b,40,64,12,pregen_latency_models/dense_40_64_12b.h5
dense_40_64_14b,40,64,14,pregen_latency_models/dense_40_64_14b.h5
dense_40_64_16b,40,64,16,pregen_latency_models/dense_40_64_16b.h5
dense_42_2_2b,42,2,2,pregen_latency_models/dense_42_2_2b.h5
dense_42_2_4b,42,2,4,pregen_latency_models/dense_42_2_4b.h5
dense_42_2_6b,42,2,6,pregen_latency_models/dense_42_2_6b.h5
dense_42_2_8b,42,2,8,pregen_latency_models/dense_42_2_8b.h5
dense_42_2_10b,42,2,10,pregen_latency_models/dense_42_2_10b.h5
dense_42_2_12b,42,2,12,pregen_latency_models/dense_42_2_12b.h5
dense_42_2_14b,42,2,14,pregen_latency_models/dense_42_2_14b.h5
dense_42_2_16b,42,2,16,pregen_latency_models/dense_42_2_16b.h5
dense_42_4_2b,42,4,2,pregen_latency_models/dense_42_4_2b.h5
dense_42_4_4b,42,4,4,pregen_latency_models/dense_42_4_4b.h5
dense_42_4_6b,42,4,6,pregen_latency_models/dense_42_4_6b.h5
dense_42_4_8b,42,4,8,pregen_latency_models/dense_42_4_8b.h5
dense_42_4_10b,42,4,10,pregen_latency_models/dense_42_4_10b.h5
dense_42_4_12b,42,4,12,pregen_latency_models/dense_42_4_12b.h5
dense_42_4_14b,42,4,14,pregen_latency_models/dense_42_4_14b.h5
dense_42_4_16b,42,4,16,pregen_latency_models/dense_42_4_16b.h5
dense_42_6_2b,42,6,2,pregen_latency_models/dense_42_6_2b.h5
dense_42_6_4b,42,6,4,pregen_latency_models/dense_42_6_4b.h5
dense_42_6_6b,42,6,6,pregen_latency_models/dense_42_6_6b.h5
dense_42_6_8b,42,6,8,pregen_latency_models/dense_42_6_8b.h5
dense_42_6_10b,42,6,10,pregen_latency_models/dense_42_6_10b.h5
dense_42_6_12b,42,6,12,pregen_latency_models/dense_42_6_12b.h5
dense_42_6_14b,42,6,14,pregen_latency_models/dense_42_6_14b.h5
dense_42_6_16b,42,6,16,pregen_latency_models/dense_42_6_16b.h5
dense_42_8_2b,42,8,2,pregen_latency_models/dense_42_8_2b.h5
dense_42_8_4b,42,8,4,pregen_latency_models/dense_42_8_4b.h5
dense_42_8_6b,42,8,6,pregen_latency_models/dense_42_8_6b.h5
dense_42_8_8b,42,8,8,pregen_latency_models/dense_42_8_8b.h5
dense_42_8_10b,42,8,10,pregen_latency_models/dense_42_8_10b.h5
dense_42_8_12b,42,8,12,pregen_latency_models/dense_42_8_12b.h5
dense_42_8_14b,42,8,14,pregen_latency_models/dense_42_8_14b.h5
dense_42_8_16b,42,8,16,pregen_latency_models/dense_42_8_16b.h5
dense_42_10_2b,42,10,2,pregen_latency_models/dense_42_10_2b.h5
dense_42_10_4b,42,10,4,pregen_latency_models/dense_42_10_4b.h5
dense_42_10_6b,42,10,6,pregen_latency_models/dense_42_10_6b.h5
dense_42_10_8b,42,10,8,pregen_latency_models/dense_42_10_8b.h5
dense_42_10_10b,42,10,10,pregen_latency_models/dense_42_10_10b.h5
dense_42_10_12b,42,10,12,pregen_latency_models/dense_42_10_12b.h5
dense_42_10_14b,42,10,14,pregen_latency_models/dense_42_10_14b.h5
dense_42_10_16b,42,10,16,pregen_latency_models/dense_42_10_16b.h5
dense_42_12_2b,42,12,2,pregen_latency_models/dense_42_12_2b.h5
dense_42_12_4b,42,12,4,pregen_latency_models/dense_42_12_4b.h5
dense_42_12_6b,42,12,6,pregen_latency_models/dense_42_12_6b.h5
dense_42_12_8b,42,12,8,pregen_latency_models/dense_42_12_8b.h5
dense_42_12_10b,42,12,10,pregen_latency_models/dense_42_12_10b.h5
dense_42_12_12b,42,12,12,pregen_latency_models/dense_42_12_12b.h5
dense_42_12_14b,42,12,14,pregen_latency_models/dense_42_12_14b.h5
dense_42_12_16b,42,12,16,pregen_latency_models/dense_42_12_16b.h5
dense_42_14_2b,42,14,2,pregen_latency_models/dense_42_14_2b.h5
dense_42_14_4b,42,14,4,pregen_latency_models/dense_42_14_4b.h5
dense_42_14_6b,42,14,6,pregen_latency_models/dense_42_14_6b.h5
dense_42_14_8b,42,14,8,pregen_latency_models/dense_42_14_8b.h5
dense_42_14_10b,42,14,10,pregen_latency_models/dense_42_14_10b.h5
dense_42_14_12b,42,14,12,pregen_latency_models/dense_42_14_12b.h5
dense_42_14_14b,42,14,14,pregen_latency_models/dense_42_14_14b.h5
dense_42_14_16b,42,14,16,pregen_latency_models/dense_42_14_16b.h5
dense_42_16_2b,42,16,2,pregen_latency_models/dense_42_16_2b.h5
dense_42_16_4b,42,16,4,pregen_latency_models/dense_42_16_4b.h5
dense_42_16_6b,42,16,6,pregen_latency_models/dense_42_16_6b.h5
dense_42_16_8b,42,16,8,pregen_latency_models/dense_42_16_8b.h5
dense_42_16_10b,42,16,10,pregen_latency_models/dense_42_16_10b.h5
dense_42_16_12b,42,16,12,pregen_latency_models/dense_42_16_12b.h5
dense_42_16_14b,42,16,14,pregen_latency_models/dense_42_16_14b.h5
dense_42_16_16b,42,16,16,pregen_latency_models/dense_42_16_16b.h5
dense_42_18_2b,42,18,2,pregen_latency_models/dense_42_18_2b.h5
dense_42_18_4b,42,18,4,pregen_latency_models/dense_42_18_4b.h5
dense_42_18_6b,42,18,6,pregen_latency_models/dense_42_18_6b.h5
dense_42_18_8b,42,18,8,pregen_latency_models/dense_42_18_8b.h5
dense_42_18_10b,42,18,10,pregen_latency_models/dense_42_18_10b.h5
dense_42_18_12b,42,18,12,pregen_latency_models/dense_42_18_12b.h5
dense_42_18_14b,42,18,14,pregen_latency_models/dense_42_18_14b.h5
dense_42_18_16b,42,18,16,pregen_latency_models/dense_42_18_16b.h5
dense_42_20_2b,42,20,2,pregen_latency_models/dense_42_20_2b.h5
dense_42_20_4b,42,20,4,pregen_latency_models/dense_42_20_4b.h5
dense_42_20_6b,42,20,6,pregen_latency_models/dense_42_20_6b.h5
dense_42_20_8b,42,20,8,pregen_latency_models/dense_42_20_8b.h5
dense_42_20_10b,42,20,10,pregen_latency_models/dense_42_20_10b.h5
dense_42_20_12b,42,20,12,pregen_latency_models/dense_42_20_12b.h5
dense_42_20_14b,42,20,14,pregen_latency_models/dense_42_20_14b.h5
dense_42_20_16b,42,20,16,pregen_latency_models/dense_42_20_16b.h5
