model_name,d_in,d_out,prec,model_file
dense_52_2_2b,52,2,2,pregen_latency_models/dense_52_2_2b.h5
dense_52_2_4b,52,2,4,pregen_latency_models/dense_52_2_4b.h5
dense_52_2_6b,52,2,6,pregen_latency_models/dense_52_2_6b.h5
dense_52_2_8b,52,2,8,pregen_latency_models/dense_52_2_8b.h5
dense_52_2_10b,52,2,10,pregen_latency_models/dense_52_2_10b.h5
dense_52_2_12b,52,2,12,pregen_latency_models/dense_52_2_12b.h5
dense_52_2_14b,52,2,14,pregen_latency_models/dense_52_2_14b.h5
dense_52_2_16b,52,2,16,pregen_latency_models/dense_52_2_16b.h5
dense_52_4_2b,52,4,2,pregen_latency_models/dense_52_4_2b.h5
dense_52_4_4b,52,4,4,pregen_latency_models/dense_52_4_4b.h5
dense_52_4_6b,52,4,6,pregen_latency_models/dense_52_4_6b.h5
dense_52_4_8b,52,4,8,pregen_latency_models/dense_52_4_8b.h5
dense_52_4_10b,52,4,10,pregen_latency_models/dense_52_4_10b.h5
dense_52_4_12b,52,4,12,pregen_latency_models/dense_52_4_12b.h5
dense_52_4_14b,52,4,14,pregen_latency_models/dense_52_4_14b.h5
dense_52_4_16b,52,4,16,pregen_latency_models/dense_52_4_16b.h5
dense_52_6_2b,52,6,2,pregen_latency_models/dense_52_6_2b.h5
dense_52_6_4b,52,6,4,pregen_latency_models/dense_52_6_4b.h5
dense_52_6_6b,52,6,6,pregen_latency_models/dense_52_6_6b.h5
dense_52_6_8b,52,6,8,pregen_latency_models/dense_52_6_8b.h5
dense_52_6_10b,52,6,10,pregen_latency_models/dense_52_6_10b.h5
dense_52_6_12b,52,6,12,pregen_latency_models/dense_52_6_12b.h5
dense_52_6_14b,52,6,14,pregen_latency_models/dense_52_6_14b.h5
dense_52_6_16b,52,6,16,pregen_latency_models/dense_52_6_16b.h5
dense_52_8_2b,52,8,2,pregen_latency_models/dense_52_8_2b.h5
dense_52_8_4b,52,8,4,pregen_latency_models/dense_52_8_4b.h5
dense_52_8_6b,52,8,6,pregen_latency_models/dense_52_8_6b.h5
dense_52_8_8b,52,8,8,pregen_latency_models/dense_52_8_8b.h5
dense_52_8_10b,52,8,10,pregen_latency_models/dense_52_8_10b.h5
dense_52_8_12b,52,8,12,pregen_latency_models/dense_52_8_12b.h5
dense_52_8_14b,52,8,14,pregen_latency_models/dense_52_8_14b.h5
dense_52_8_16b,52,8,16,pregen_latency_models/dense_52_8_16b.h5
dense_52_10_2b,52,10,2,pregen_latency_models/dense_52_10_2b.h5
dense_52_10_4b,52,10,4,pregen_latency_models/dense_52_10_4b.h5
dense_52_10_6b,52,10,6,pregen_latency_models/dense_52_10_6b.h5
dense_52_10_8b,52,10,8,pregen_latency_models/dense_52_10_8b.h5
dense_52_10_10b,52,10,10,pregen_latency_models/dense_52_10_10b.h5
dense_52_10_12b,52,10,12,pregen_latency_models/dense_52_10_12b.h5
dense_52_10_14b,52,10,14,pregen_latency_models/dense_52_10_14b.h5
dense_52_10_16b,52,10,16,pregen_latency_models/dense_52_10_16b.h5
dense_52_12_2b,52,12,2,pregen_latency_models/dense_52_12_2b.h5
dense_52_12_4b,52,12,4,pregen_latency_models/dense_52_12_4b.h5
dense_52_12_6b,52,12,6,pregen_latency_models/dense_52_12_6b.h5
dense_52_12_8b,52,12,8,pregen_latency_models/dense_52_12_8b.h5
dense_52_12_10b,52,12,10,pregen_latency_models/dense_52_12_10b.h5
dense_52_12_12b,52,12,12,pregen_latency_models/dense_52_12_12b.h5
dense_52_12_14b,52,12,14,pregen_latency_models/dense_52_12_14b.h5
dense_52_12_16b,52,12,16,pregen_latency_models/dense_52_12_16b.h5
dense_52_14_2b,52,14,2,pregen_latency_models/dense_52_14_2b.h5
dense_52_14_4b,52,14,4,pregen_latency_models/dense_52_14_4b.h5
dense_52_14_6b,52,14,6,pregen_latency_models/dense_52_14_6b.h5
dense_52_14_8b,52,14,8,pregen_latency_models/dense_52_14_8b.h5
dense_52_14_10b,52,14,10,pregen_latency_models/dense_52_14_10b.h5
dense_52_14_12b,52,14,12,pregen_latency_models/dense_52_14_12b.h5
dense_52_14_14b,52,14,14,pregen_latency_models/dense_52_14_14b.h5
dense_52_14_16b,52,14,16,pregen_latency_models/dense_52_14_16b.h5
dense_52_16_2b,52,16,2,pregen_latency_models/dense_52_16_2b.h5
dense_52_16_4b,52,16,4,pregen_latency_models/dense_52_16_4b.h5
dense_52_16_6b,52,16,6,pregen_latency_models/dense_52_16_6b.h5
dense_52_16_8b,52,16,8,pregen_latency_models/dense_52_16_8b.h5
dense_52_16_10b,52,16,10,pregen_latency_models/dense_52_16_10b.h5
dense_52_16_12b,52,16,12,pregen_latency_models/dense_52_16_12b.h5
dense_52_16_14b,52,16,14,pregen_latency_models/dense_52_16_14b.h5
dense_52_16_16b,52,16,16,pregen_latency_models/dense_52_16_16b.h5
dense_52_18_2b,52,18,2,pregen_latency_models/dense_52_18_2b.h5
dense_52_18_4b,52,18,4,pregen_latency_models/dense_52_18_4b.h5
dense_52_18_6b,52,18,6,pregen_latency_models/dense_52_18_6b.h5
dense_52_18_8b,52,18,8,pregen_latency_models/dense_52_18_8b.h5
dense_52_18_10b,52,18,10,pregen_latency_models/dense_52_18_10b.h5
dense_52_18_12b,52,18,12,pregen_latency_models/dense_52_18_12b.h5
dense_52_18_14b,52,18,14,pregen_latency_models/dense_52_18_14b.h5
dense_52_18_16b,52,18,16,pregen_latency_models/dense_52_18_16b.h5
dense_52_20_2b,52,20,2,pregen_latency_models/dense_52_20_2b.h5
dense_52_20_4b,52,20,4,pregen_latency_models/dense_52_20_4b.h5
dense_52_20_6b,52,20,6,pregen_latency_models/dense_52_20_6b.h5
dense_52_20_8b,52,20,8,pregen_latency_models/dense_52_20_8b.h5
dense_52_20_10b,52,20,10,pregen_latency_models/dense_52_20_10b.h5
dense_52_20_12b,52,20,12,pregen_latency_models/dense_52_20_12b.h5
dense_52_20_14b,52,20,14,pregen_latency_models/dense_52_20_14b.h5
dense_52_20_16b,52,20,16,pregen_latency_models/dense_52_20_16b.h5
dense_52_22_2b,52,22,2,pregen_latency_models/dense_52_22_2b.h5
dense_52_22_4b,52,22,4,pregen_latency_models/dense_52_22_4b.h5
dense_52_22_6b,52,22,6,pregen_latency_models/dense_52_22_6b.h5
dense_52_22_8b,52,22,8,pregen_latency_models/dense_52_22_8b.h5
dense_52_22_10b,52,22,10,pregen_latency_models/dense_52_22_10b.h5
dense_52_22_12b,52,22,12,pregen_latency_models/dense_52_22_12b.h5
dense_52_22_14b,52,22,14,pregen_latency_models/dense_52_22_14b.h5
dense_52_22_16b,52,22,16,pregen_latency_models/dense_52_22_16b.h5
dense_52_24_2b,52,24,2,pregen_latency_models/dense_52_24_2b.h5
dense_52_24_4b,52,24,4,pregen_latency_models/dense_52_24_4b.h5
dense_52_24_6b,52,24,6,pregen_latency_models/dense_52_24_6b.h5
dense_52_24_8b,52,24,8,pregen_latency_models/dense_52_24_8b.h5
dense_52_24_10b,52,24,10,pregen_latency_models/dense_52_24_10b.h5
dense_52_24_12b,52,24,12,pregen_latency_models/dense_52_24_12b.h5
dense_52_24_14b,52,24,14,pregen_latency_models/dense_52_24_14b.h5
dense_52_24_16b,52,24,16,pregen_latency_models/dense_52_24_16b.h5
dense_52_26_2b,52,26,2,pregen_latency_models/dense_52_26_2b.h5
dense_52_26_4b,52,26,4,pregen_latency_models/dense_52_26_4b.h5
dense_52_26_6b,52,26,6,pregen_latency_models/dense_52_26_6b.h5
dense_52_26_8b,52,26,8,pregen_latency_models/dense_52_26_8b.h5
