model_name,d_in,d_out,prec,model_file
dense_10_46_2b,10,46,2,pregen_latency_models/dense_10_46_2b.h5
dense_10_46_4b,10,46,4,pregen_latency_models/dense_10_46_4b.h5
dense_10_46_6b,10,46,6,pregen_latency_models/dense_10_46_6b.h5
dense_10_46_8b,10,46,8,pregen_latency_models/dense_10_46_8b.h5
dense_10_46_10b,10,46,10,pregen_latency_models/dense_10_46_10b.h5
dense_10_46_12b,10,46,12,pregen_latency_models/dense_10_46_12b.h5
dense_10_46_14b,10,46,14,pregen_latency_models/dense_10_46_14b.h5
dense_10_46_16b,10,46,16,pregen_latency_models/dense_10_46_16b.h5
dense_10_48_2b,10,48,2,pregen_latency_models/dense_10_48_2b.h5
dense_10_48_4b,10,48,4,pregen_latency_models/dense_10_48_4b.h5
dense_10_48_6b,10,48,6,pregen_latency_models/dense_10_48_6b.h5
dense_10_48_8b,10,48,8,pregen_latency_models/dense_10_48_8b.h5
dense_10_48_10b,10,48,10,pregen_latency_models/dense_10_48_10b.h5
dense_10_48_12b,10,48,12,pregen_latency_models/dense_10_48_12b.h5
dense_10_48_14b,10,48,14,pregen_latency_models/dense_10_48_14b.h5
dense_10_48_16b,10,48,16,pregen_latency_models/dense_10_48_16b.h5
dense_10_50_2b,10,50,2,pregen_latency_models/dense_10_50_2b.h5
dense_10_50_4b,10,50,4,pregen_latency_models/dense_10_50_4b.h5
dense_10_50_6b,10,50,6,pregen_latency_models/dense_10_50_6b.h5
dense_10_50_8b,10,50,8,pregen_latency_models/dense_10_50_8b.h5
dense_10_50_10b,10,50,10,pregen_latency_models/dense_10_50_10b.h5
dense_10_50_12b,10,50,12,pregen_latency_models/dense_10_50_12b.h5
dense_10_50_14b,10,50,14,pregen_latency_models/dense_10_50_14b.h5
dense_10_50_16b,10,50,16,pregen_latency_models/dense_10_50_16b.h5
dense_10_52_2b,10,52,2,pregen_latency_models/dense_10_52_2b.h5
dense_10_52_4b,10,52,4,pregen_latency_models/dense_10_52_4b.h5
dense_10_52_6b,10,52,6,pregen_latency_models/dense_10_52_6b.h5
dense_10_52_8b,10,52,8,pregen_latency_models/dense_10_52_8b.h5
dense_10_52_10b,10,52,10,pregen_latency_models/dense_10_52_10b.h5
dense_10_52_12b,10,52,12,pregen_latency_models/dense_10_52_12b.h5
dense_10_52_14b,10,52,14,pregen_latency_models/dense_10_52_14b.h5
dense_10_52_16b,10,52,16,pregen_latency_models/dense_10_52_16b.h5
dense_10_54_2b,10,54,2,pregen_latency_models/dense_10_54_2b.h5
dense_10_54_4b,10,54,4,pregen_latency_models/dense_10_54_4b.h5
dense_10_54_6b,10,54,6,pregen_latency_models/dense_10_54_6b.h5
dense_10_54_8b,10,54,8,pregen_latency_models/dense_10_54_8b.h5
dense_10_54_10b,10,54,10,pregen_latency_models/dense_10_54_10b.h5
dense_10_54_12b,10,54,12,pregen_latency_models/dense_10_54_12b.h5
dense_10_54_14b,10,54,14,pregen_latency_models/dense_10_54_14b.h5
dense_10_54_16b,10,54,16,pregen_latency_models/dense_10_54_16b.h5
dense_10_56_2b,10,56,2,pregen_latency_models/dense_10_56_2b.h5
dense_10_56_4b,10,56,4,pregen_latency_models/dense_10_56_4b.h5
dense_10_56_6b,10,56,6,pregen_latency_models/dense_10_56_6b.h5
dense_10_56_8b,10,56,8,pregen_latency_models/dense_10_56_8b.h5
