model_name,d_in,d_out,prec,model_file
dense_50_16_2b,50,16,2,pregen_latency_models/dense_50_16_2b.h5
dense_50_16_4b,50,16,4,pregen_latency_models/dense_50_16_4b.h5
dense_50_16_6b,50,16,6,pregen_latency_models/dense_50_16_6b.h5
dense_50_16_8b,50,16,8,pregen_latency_models/dense_50_16_8b.h5
dense_50_16_10b,50,16,10,pregen_latency_models/dense_50_16_10b.h5
dense_50_16_12b,50,16,12,pregen_latency_models/dense_50_16_12b.h5
dense_50_16_14b,50,16,14,pregen_latency_models/dense_50_16_14b.h5
dense_50_16_16b,50,16,16,pregen_latency_models/dense_50_16_16b.h5
dense_50_18_2b,50,18,2,pregen_latency_models/dense_50_18_2b.h5
dense_50_18_4b,50,18,4,pregen_latency_models/dense_50_18_4b.h5
dense_50_18_6b,50,18,6,pregen_latency_models/dense_50_18_6b.h5
dense_50_18_8b,50,18,8,pregen_latency_models/dense_50_18_8b.h5
dense_50_18_10b,50,18,10,pregen_latency_models/dense_50_18_10b.h5
dense_50_18_12b,50,18,12,pregen_latency_models/dense_50_18_12b.h5
dense_50_18_14b,50,18,14,pregen_latency_models/dense_50_18_14b.h5
dense_50_18_16b,50,18,16,pregen_latency_models/dense_50_18_16b.h5
dense_50_20_2b,50,20,2,pregen_latency_models/dense_50_20_2b.h5
dense_50_20_4b,50,20,4,pregen_latency_models/dense_50_20_4b.h5
dense_50_20_6b,50,20,6,pregen_latency_models/dense_50_20_6b.h5
dense_50_20_8b,50,20,8,pregen_latency_models/dense_50_20_8b.h5
dense_50_20_10b,50,20,10,pregen_latency_models/dense_50_20_10b.h5
dense_50_20_12b,50,20,12,pregen_latency_models/dense_50_20_12b.h5
dense_50_20_14b,50,20,14,pregen_latency_models/dense_50_20_14b.h5
dense_50_20_16b,50,20,16,pregen_latency_models/dense_50_20_16b.h5
dense_50_22_2b,50,22,2,pregen_latency_models/dense_50_22_2b.h5
dense_50_22_4b,50,22,4,pregen_latency_models/dense_50_22_4b.h5
dense_50_22_6b,50,22,6,pregen_latency_models/dense_50_22_6b.h5
