model_name,d_in,d_out,prec,model_file
dense_16_54_2b,16,54,2,pregen_latency_models/dense_16_54_2b.h5
dense_16_54_4b,16,54,4,pregen_latency_models/dense_16_54_4b.h5
dense_16_54_6b,16,54,6,pregen_latency_models/dense_16_54_6b.h5
dense_16_54_8b,16,54,8,pregen_latency_models/dense_16_54_8b.h5
dense_16_54_10b,16,54,10,pregen_latency_models/dense_16_54_10b.h5
dense_16_54_12b,16,54,12,pregen_latency_models/dense_16_54_12b.h5
dense_16_54_14b,16,54,14,pregen_latency_models/dense_16_54_14b.h5
dense_16_54_16b,16,54,16,pregen_latency_models/dense_16_54_16b.h5
dense_16_56_2b,16,56,2,pregen_latency_models/dense_16_56_2b.h5
dense_16_56_4b,16,56,4,pregen_latency_models/dense_16_56_4b.h5
dense_16_56_6b,16,56,6,pregen_latency_models/dense_16_56_6b.h5
dense_16_56_8b,16,56,8,pregen_latency_models/dense_16_56_8b.h5
dense_16_56_10b,16,56,10,pregen_latency_models/dense_16_56_10b.h5
dense_16_56_12b,16,56,12,pregen_latency_models/dense_16_56_12b.h5
dense_16_56_14b,16,56,14,pregen_latency_models/dense_16_56_14b.h5
dense_16_56_16b,16,56,16,pregen_latency_models/dense_16_56_16b.h5
dense_16_58_2b,16,58,2,pregen_latency_models/dense_16_58_2b.h5
dense_16_58_4b,16,58,4,pregen_latency_models/dense_16_58_4b.h5
dense_16_58_6b,16,58,6,pregen_latency_models/dense_16_58_6b.h5
dense_16_58_8b,16,58,8,pregen_latency_models/dense_16_58_8b.h5
dense_16_58_10b,16,58,10,pregen_latency_models/dense_16_58_10b.h5
dense_16_58_12b,16,58,12,pregen_latency_models/dense_16_58_12b.h5
dense_16_58_14b,16,58,14,pregen_latency_models/dense_16_58_14b.h5
dense_16_58_16b,16,58,16,pregen_latency_models/dense_16_58_16b.h5
dense_16_60_2b,16,60,2,pregen_latency_models/dense_16_60_2b.h5
dense_16_60_4b,16,60,4,pregen_latency_models/dense_16_60_4b.h5
dense_16_60_6b,16,60,6,pregen_latency_models/dense_16_60_6b.h5
dense_16_60_8b,16,60,8,pregen_latency_models/dense_16_60_8b.h5
dense_16_60_10b,16,60,10,pregen_latency_models/dense_16_60_10b.h5
dense_16_60_12b,16,60,12,pregen_latency_models/dense_16_60_12b.h5
dense_16_60_14b,16,60,14,pregen_latency_models/dense_16_60_14b.h5
dense_16_60_16b,16,60,16,pregen_latency_models/dense_16_60_16b.h5
dense_16_62_2b,16,62,2,pregen_latency_models/dense_16_62_2b.h5
dense_16_62_4b,16,62,4,pregen_latency_models/dense_16_62_4b.h5
dense_16_62_6b,16,62,6,pregen_latency_models/dense_16_62_6b.h5
dense_16_62_8b,16,62,8,pregen_latency_models/dense_16_62_8b.h5
dense_16_62_10b,16,62,10,pregen_latency_models/dense_16_62_10b.h5
dense_16_62_12b,16,62,12,pregen_latency_models/dense_16_62_12b.h5
dense_16_62_14b,16,62,14,pregen_latency_models/dense_16_62_14b.h5
dense_16_62_16b,16,62,16,pregen_latency_models/dense_16_62_16b.h5
dense_16_64_2b,16,64,2,pregen_latency_models/dense_16_64_2b.h5
dense_16_64_4b,16,64,4,pregen_latency_models/dense_16_64_4b.h5
dense_16_64_6b,16,64,6,pregen_latency_models/dense_16_64_6b.h5
dense_16_64_8b,16,64,8,pregen_latency_models/dense_16_64_8b.h5
dense_16_64_10b,16,64,10,pregen_latency_models/dense_16_64_10b.h5
dense_16_64_12b,16,64,12,pregen_latency_models/dense_16_64_12b.h5
dense_16_64_14b,16,64,14,pregen_latency_models/dense_16_64_14b.h5
dense_16_64_16b,16,64,16,pregen_latency_models/dense_16_64_16b.h5
dense_18_2_2b,18,2,2,pregen_latency_models/dense_18_2_2b.h5
dense_18_2_4b,18,2,4,pregen_latency_models/dense_18_2_4b.h5
dense_18_2_6b,18,2,6,pregen_latency_models/dense_18_2_6b.h5
dense_18_2_8b,18,2,8,pregen_latency_models/dense_18_2_8b.h5
dense_18_2_10b,18,2,10,pregen_latency_models/dense_18_2_10b.h5
dense_18_2_12b,18,2,12,pregen_latency_models/dense_18_2_12b.h5
dense_18_2_14b,18,2,14,pregen_latency_models/dense_18_2_14b.h5
dense_18_2_16b,18,2,16,pregen_latency_models/dense_18_2_16b.h5
dense_18_4_2b,18,4,2,pregen_latency_models/dense_18_4_2b.h5
dense_18_4_4b,18,4,4,pregen_latency_models/dense_18_4_4b.h5
dense_18_4_6b,18,4,6,pregen_latency_models/dense_18_4_6b.h5
dense_18_4_8b,18,4,8,pregen_latency_models/dense_18_4_8b.h5
dense_18_4_10b,18,4,10,pregen_latency_models/dense_18_4_10b.h5
dense_18_4_12b,18,4,12,pregen_latency_models/dense_18_4_12b.h5
dense_18_4_14b,18,4,14,pregen_latency_models/dense_18_4_14b.h5
dense_18_4_16b,18,4,16,pregen_latency_models/dense_18_4_16b.h5
dense_18_6_2b,18,6,2,pregen_latency_models/dense_18_6_2b.h5
dense_18_6_4b,18,6,4,pregen_latency_models/dense_18_6_4b.h5
dense_18_6_6b,18,6,6,pregen_latency_models/dense_18_6_6b.h5
dense_18_6_8b,18,6,8,pregen_latency_models/dense_18_6_8b.h5
dense_18_6_10b,18,6,10,pregen_latency_models/dense_18_6_10b.h5
dense_18_6_12b,18,6,12,pregen_latency_models/dense_18_6_12b.h5
dense_18_6_14b,18,6,14,pregen_latency_models/dense_18_6_14b.h5
dense_18_6_16b,18,6,16,pregen_latency_models/dense_18_6_16b.h5
dense_18_8_2b,18,8,2,pregen_latency_models/dense_18_8_2b.h5
dense_18_8_4b,18,8,4,pregen_latency_models/dense_18_8_4b.h5
dense_18_8_6b,18,8,6,pregen_latency_models/dense_18_8_6b.h5
dense_18_8_8b,18,8,8,pregen_latency_models/dense_18_8_8b.h5
dense_18_8_10b,18,8,10,pregen_latency_models/dense_18_8_10b.h5
dense_18_8_12b,18,8,12,pregen_latency_models/dense_18_8_12b.h5
dense_18_8_14b,18,8,14,pregen_latency_models/dense_18_8_14b.h5
dense_18_8_16b,18,8,16,pregen_latency_models/dense_18_8_16b.h5
dense_18_10_2b,18,10,2,pregen_latency_models/dense_18_10_2b.h5
dense_18_10_4b,18,10,4,pregen_latency_models/dense_18_10_4b.h5
dense_18_10_6b,18,10,6,pregen_latency_models/dense_18_10_6b.h5
dense_18_10_8b,18,10,8,pregen_latency_models/dense_18_10_8b.h5
dense_18_10_10b,18,10,10,pregen_latency_models/dense_18_10_10b.h5
dense_18_10_12b,18,10,12,pregen_latency_models/dense_18_10_12b.h5
dense_18_10_14b,18,10,14,pregen_latency_models/dense_18_10_14b.h5
dense_18_10_16b,18,10,16,pregen_latency_models/dense_18_10_16b.h5
dense_18_12_2b,18,12,2,pregen_latency_models/dense_18_12_2b.h5
dense_18_12_4b,18,12,4,pregen_latency_models/dense_18_12_4b.h5
dense_18_12_6b,18,12,6,pregen_latency_models/dense_18_12_6b.h5
dense_18_12_8b,18,12,8,pregen_latency_models/dense_18_12_8b.h5
dense_18_12_10b,18,12,10,pregen_latency_models/dense_18_12_10b.h5
dense_18_12_12b,18,12,12,pregen_latency_models/dense_18_12_12b.h5
dense_18_12_14b,18,12,14,pregen_latency_models/dense_18_12_14b.h5
dense_18_12_16b,18,12,16,pregen_latency_models/dense_18_12_16b.h5
dense_18_14_2b,18,14,2,pregen_latency_models/dense_18_14_2b.h5
dense_18_14_4b,18,14,4,pregen_latency_models/dense_18_14_4b.h5
dense_18_14_6b,18,14,6,pregen_latency_models/dense_18_14_6b.h5
dense_18_14_8b,18,14,8,pregen_latency_models/dense_18_14_8b.h5
