model_name,d_in,d_out,d_out2,prec,model_file
dense_8_128_112_14b,8,128,112,14,pregen_2layer_models/dense_8_128_112_14b.h5
dense_8_128_112_16b,8,128,112,16,pregen_2layer_models/dense_8_128_112_16b.h5
dense_8_128_120_2b,8,128,120,2,pregen_2layer_models/dense_8_128_120_2b.h5
dense_8_128_120_4b,8,128,120,4,pregen_2layer_models/dense_8_128_120_4b.h5
dense_8_128_120_6b,8,128,120,6,pregen_2layer_models/dense_8_128_120_6b.h5
dense_8_128_120_8b,8,128,120,8,pregen_2layer_models/dense_8_128_120_8b.h5
dense_8_128_120_10b,8,128,120,10,pregen_2layer_models/dense_8_128_120_10b.h5
dense_8_128_120_12b,8,128,120,12,pregen_2layer_models/dense_8_128_120_12b.h5
dense_8_128_120_14b,8,128,120,14,pregen_2layer_models/dense_8_128_120_14b.h5
dense_8_128_120_16b,8,128,120,16,pregen_2layer_models/dense_8_128_120_16b.h5
dense_8_128_128_2b,8,128,128,2,pregen_2layer_models/dense_8_128_128_2b.h5
dense_8_128_128_4b,8,128,128,4,pregen_2layer_models/dense_8_128_128_4b.h5
dense_8_128_128_6b,8,128,128,6,pregen_2layer_models/dense_8_128_128_6b.h5
dense_8_128_128_8b,8,128,128,8,pregen_2layer_models/dense_8_128_128_8b.h5
dense_8_128_128_10b,8,128,128,10,pregen_2layer_models/dense_8_128_128_10b.h5
dense_8_128_128_12b,8,128,128,12,pregen_2layer_models/dense_8_128_128_12b.h5
dense_8_128_128_14b,8,128,128,14,pregen_2layer_models/dense_8_128_128_14b.h5
dense_8_128_128_16b,8,128,128,16,pregen_2layer_models/dense_8_128_128_16b.h5
dense_16_8_72_2b,16,8,72,2,pregen_2layer_models/dense_16_8_72_2b.h5
dense_16_8_72_4b,16,8,72,4,pregen_2layer_models/dense_16_8_72_4b.h5
dense_16_8_72_6b,16,8,72,6,pregen_2layer_models/dense_16_8_72_6b.h5
dense_16_8_72_8b,16,8,72,8,pregen_2layer_models/dense_16_8_72_8b.h5
dense_16_8_72_10b,16,8,72,10,pregen_2layer_models/dense_16_8_72_10b.h5
dense_16_8_72_12b,16,8,72,12,pregen_2layer_models/dense_16_8_72_12b.h5
dense_16_8_72_14b,16,8,72,14,pregen_2layer_models/dense_16_8_72_14b.h5
dense_16_8_72_16b,16,8,72,16,pregen_2layer_models/dense_16_8_72_16b.h5
dense_16_8_80_2b,16,8,80,2,pregen_2layer_models/dense_16_8_80_2b.h5
dense_16_8_80_4b,16,8,80,4,pregen_2layer_models/dense_16_8_80_4b.h5
dense_16_8_80_6b,16,8,80,6,pregen_2layer_models/dense_16_8_80_6b.h5
