model_name,d_in,d_out,d_out2,prec,model_file
dense_88_104_32_10b,88,104,32,10,pregen_2layer_models/dense_88_104_32_10b.h5
dense_88_104_32_12b,88,104,32,12,pregen_2layer_models/dense_88_104_32_12b.h5
dense_88_104_32_14b,88,104,32,14,pregen_2layer_models/dense_88_104_32_14b.h5
dense_88_104_32_16b,88,104,32,16,pregen_2layer_models/dense_88_104_32_16b.h5
dense_88_104_40_2b,88,104,40,2,pregen_2layer_models/dense_88_104_40_2b.h5
dense_88_104_40_4b,88,104,40,4,pregen_2layer_models/dense_88_104_40_4b.h5
dense_88_104_40_6b,88,104,40,6,pregen_2layer_models/dense_88_104_40_6b.h5
dense_88_104_40_8b,88,104,40,8,pregen_2layer_models/dense_88_104_40_8b.h5
dense_88_104_40_10b,88,104,40,10,pregen_2layer_models/dense_88_104_40_10b.h5
dense_88_104_40_12b,88,104,40,12,pregen_2layer_models/dense_88_104_40_12b.h5
dense_88_104_40_14b,88,104,40,14,pregen_2layer_models/dense_88_104_40_14b.h5
dense_88_104_40_16b,88,104,40,16,pregen_2layer_models/dense_88_104_40_16b.h5
dense_88_104_48_2b,88,104,48,2,pregen_2layer_models/dense_88_104_48_2b.h5
dense_88_104_48_4b,88,104,48,4,pregen_2layer_models/dense_88_104_48_4b.h5
dense_88_104_48_6b,88,104,48,6,pregen_2layer_models/dense_88_104_48_6b.h5
dense_88_104_48_8b,88,104,48,8,pregen_2layer_models/dense_88_104_48_8b.h5
dense_88_104_48_10b,88,104,48,10,pregen_2layer_models/dense_88_104_48_10b.h5
dense_88_104_48_12b,88,104,48,12,pregen_2layer_models/dense_88_104_48_12b.h5
dense_88_104_48_14b,88,104,48,14,pregen_2layer_models/dense_88_104_48_14b.h5
dense_88_104_48_16b,88,104,48,16,pregen_2layer_models/dense_88_104_48_16b.h5
dense_88_104_56_2b,88,104,56,2,pregen_2layer_models/dense_88_104_56_2b.h5
dense_88_104_56_4b,88,104,56,4,pregen_2layer_models/dense_88_104_56_4b.h5
dense_88_104_56_6b,88,104,56,6,pregen_2layer_models/dense_88_104_56_6b.h5
dense_88_104_56_8b,88,104,56,8,pregen_2layer_models/dense_88_104_56_8b.h5
dense_88_104_56_10b,88,104,56,10,pregen_2layer_models/dense_88_104_56_10b.h5
dense_88_104_56_12b,88,104,56,12,pregen_2layer_models/dense_88_104_56_12b.h5
dense_88_104_56_14b,88,104,56,14,pregen_2layer_models/dense_88_104_56_14b.h5
dense_88_104_56_16b,88,104,56,16,pregen_2layer_models/dense_88_104_56_16b.h5
dense_88_104_64_2b,88,104,64,2,pregen_2layer_models/dense_88_104_64_2b.h5
