model_name,d_in,d_out,d_out2,prec,model_file
dense_80_8_120_2b,80,8,120,2,pregen_2layer_models/dense_80_8_120_2b.h5
dense_80_8_120_4b,80,8,120,4,pregen_2layer_models/dense_80_8_120_4b.h5
dense_80_8_120_6b,80,8,120,6,pregen_2layer_models/dense_80_8_120_6b.h5
dense_80_8_120_8b,80,8,120,8,pregen_2layer_models/dense_80_8_120_8b.h5
dense_80_8_120_10b,80,8,120,10,pregen_2layer_models/dense_80_8_120_10b.h5
dense_80_8_120_12b,80,8,120,12,pregen_2layer_models/dense_80_8_120_12b.h5
dense_80_8_120_14b,80,8,120,14,pregen_2layer_models/dense_80_8_120_14b.h5
dense_80_8_120_16b,80,8,120,16,pregen_2layer_models/dense_80_8_120_16b.h5
dense_80_8_128_2b,80,8,128,2,pregen_2layer_models/dense_80_8_128_2b.h5
dense_80_8_128_4b,80,8,128,4,pregen_2layer_models/dense_80_8_128_4b.h5
dense_80_8_128_6b,80,8,128,6,pregen_2layer_models/dense_80_8_128_6b.h5
dense_80_8_128_8b,80,8,128,8,pregen_2layer_models/dense_80_8_128_8b.h5
dense_80_8_128_10b,80,8,128,10,pregen_2layer_models/dense_80_8_128_10b.h5
dense_80_8_128_12b,80,8,128,12,pregen_2layer_models/dense_80_8_128_12b.h5
dense_80_8_128_14b,80,8,128,14,pregen_2layer_models/dense_80_8_128_14b.h5
dense_80_8_128_16b,80,8,128,16,pregen_2layer_models/dense_80_8_128_16b.h5
dense_80_16_8_2b,80,16,8,2,pregen_2layer_models/dense_80_16_8_2b.h5
dense_80_16_8_4b,80,16,8,4,pregen_2layer_models/dense_80_16_8_4b.h5
dense_80_16_8_6b,80,16,8,6,pregen_2layer_models/dense_80_16_8_6b.h5
dense_80_16_8_8b,80,16,8,8,pregen_2layer_models/dense_80_16_8_8b.h5
dense_80_16_8_10b,80,16,8,10,pregen_2layer_models/dense_80_16_8_10b.h5
dense_80_16_8_12b,80,16,8,12,pregen_2layer_models/dense_80_16_8_12b.h5
dense_80_16_8_14b,80,16,8,14,pregen_2layer_models/dense_80_16_8_14b.h5
dense_80_16_8_16b,80,16,8,16,pregen_2layer_models/dense_80_16_8_16b.h5
dense_80_16_16_2b,80,16,16,2,pregen_2layer_models/dense_80_16_16_2b.h5
dense_80_16_16_4b,80,16,16,4,pregen_2layer_models/dense_80_16_16_4b.h5
