model_name,d_in,d_out,d_out2,prec,model_file
dense_48_88_8_2b,48,88,8,2,pregen_2layer_models/dense_48_88_8_2b.h5
dense_48_88_8_4b,48,88,8,4,pregen_2layer_models/dense_48_88_8_4b.h5
dense_48_88_8_6b,48,88,8,6,pregen_2layer_models/dense_48_88_8_6b.h5
dense_48_88_8_8b,48,88,8,8,pregen_2layer_models/dense_48_88_8_8b.h5
dense_48_88_8_10b,48,88,8,10,pregen_2layer_models/dense_48_88_8_10b.h5
dense_48_88_8_12b,48,88,8,12,pregen_2layer_models/dense_48_88_8_12b.h5
dense_48_88_8_14b,48,88,8,14,pregen_2layer_models/dense_48_88_8_14b.h5
dense_48_88_8_16b,48,88,8,16,pregen_2layer_models/dense_48_88_8_16b.h5
dense_48_88_16_2b,48,88,16,2,pregen_2layer_models/dense_48_88_16_2b.h5
dense_48_88_16_4b,48,88,16,4,pregen_2layer_models/dense_48_88_16_4b.h5
dense_48_88_16_6b,48,88,16,6,pregen_2layer_models/dense_48_88_16_6b.h5
dense_48_88_16_8b,48,88,16,8,pregen_2layer_models/dense_48_88_16_8b.h5
dense_48_88_16_10b,48,88,16,10,pregen_2layer_models/dense_48_88_16_10b.h5
dense_48_88_16_12b,48,88,16,12,pregen_2layer_models/dense_48_88_16_12b.h5
dense_48_88_16_14b,48,88,16,14,pregen_2layer_models/dense_48_88_16_14b.h5
dense_48_88_16_16b,48,88,16,16,pregen_2layer_models/dense_48_88_16_16b.h5
dense_48_88_24_2b,48,88,24,2,pregen_2layer_models/dense_48_88_24_2b.h5
dense_48_88_24_4b,48,88,24,4,pregen_2layer_models/dense_48_88_24_4b.h5
dense_48_88_24_6b,48,88,24,6,pregen_2layer_models/dense_48_88_24_6b.h5
dense_48_88_24_8b,48,88,24,8,pregen_2layer_models/dense_48_88_24_8b.h5
dense_48_88_24_10b,48,88,24,10,pregen_2layer_models/dense_48_88_24_10b.h5
dense_48_88_24_12b,48,88,24,12,pregen_2layer_models/dense_48_88_24_12b.h5
dense_48_88_24_14b,48,88,24,14,pregen_2layer_models/dense_48_88_24_14b.h5
dense_48_88_24_16b,48,88,24,16,pregen_2layer_models/dense_48_88_24_16b.h5
dense_48_88_32_2b,48,88,32,2,pregen_2layer_models/dense_48_88_32_2b.h5
dense_48_88_32_4b,48,88,32,4,pregen_2layer_models/dense_48_88_32_4b.h5
dense_48_88_32_6b,48,88,32,6,pregen_2layer_models/dense_48_88_32_6b.h5
dense_48_88_32_8b,48,88,32,8,pregen_2layer_models/dense_48_88_32_8b.h5
dense_48_88_32_10b,48,88,32,10,pregen_2layer_models/dense_48_88_32_10b.h5
dense_48_88_32_12b,48,88,32,12,pregen_2layer_models/dense_48_88_32_12b.h5
