model_name,d_in,d_out,d_out2,prec,model_file
dense_96_128_104_2b,96,128,104,2,pregen_2layer_models/dense_96_128_104_2b.h5
dense_96_128_104_4b,96,128,104,4,pregen_2layer_models/dense_96_128_104_4b.h5
dense_96_128_104_6b,96,128,104,6,pregen_2layer_models/dense_96_128_104_6b.h5
dense_96_128_104_8b,96,128,104,8,pregen_2layer_models/dense_96_128_104_8b.h5
dense_96_128_104_10b,96,128,104,10,pregen_2layer_models/dense_96_128_104_10b.h5
dense_96_128_104_12b,96,128,104,12,pregen_2layer_models/dense_96_128_104_12b.h5
dense_96_128_104_14b,96,128,104,14,pregen_2layer_models/dense_96_128_104_14b.h5
dense_96_128_104_16b,96,128,104,16,pregen_2layer_models/dense_96_128_104_16b.h5
dense_96_128_112_2b,96,128,112,2,pregen_2layer_models/dense_96_128_112_2b.h5
dense_96_128_112_4b,96,128,112,4,pregen_2layer_models/dense_96_128_112_4b.h5
dense_96_128_112_6b,96,128,112,6,pregen_2layer_models/dense_96_128_112_6b.h5
dense_96_128_112_8b,96,128,112,8,pregen_2layer_models/dense_96_128_112_8b.h5
dense_96_128_112_10b,96,128,112,10,pregen_2layer_models/dense_96_128_112_10b.h5
dense_96_128_112_12b,96,128,112,12,pregen_2layer_models/dense_96_128_112_12b.h5
dense_96_128_112_14b,96,128,112,14,pregen_2layer_models/dense_96_128_112_14b.h5
dense_96_128_112_16b,96,128,112,16,pregen_2layer_models/dense_96_128_112_16b.h5
dense_96_128_120_2b,96,128,120,2,pregen_2layer_models/dense_96_128_120_2b.h5
dense_96_128_120_4b,96,128,120,4,pregen_2layer_models/dense_96_128_120_4b.h5
dense_96_128_120_6b,96,128,120,6,pregen_2layer_models/dense_96_128_120_6b.h5
dense_96_128_120_8b,96,128,120,8,pregen_2layer_models/dense_96_128_120_8b.h5
dense_96_128_120_10b,96,128,120,10,pregen_2layer_models/dense_96_128_120_10b.h5
dense_96_128_120_12b,96,128,120,12,pregen_2layer_models/dense_96_128_120_12b.h5
dense_96_128_120_14b,96,128,120,14,pregen_2layer_models/dense_96_128_120_14b.h5
dense_96_128_120_16b,96,128,120,16,pregen_2layer_models/dense_96_128_120_16b.h5
dense_96_128_128_2b,96,128,128,2,pregen_2layer_models/dense_96_128_128_2b.h5
dense_96_128_128_4b,96,128,128,4,pregen_2layer_models/dense_96_128_128_4b.h5
dense_96_128_128_6b,96,128,128,6,pregen_2layer_models/dense_96_128_128_6b.h5
dense_96_128_128_8b,96,128,128,8,pregen_2layer_models/dense_96_128_128_8b.h5
dense_96_128_128_10b,96,128,128,10,pregen_2layer_models/dense_96_128_128_10b.h5
dense_96_128_128_12b,96,128,128,12,pregen_2layer_models/dense_96_128_128_12b.h5
dense_96_128_128_14b,96,128,128,14,pregen_2layer_models/dense_96_128_128_14b.h5
dense_96_128_128_16b,96,128,128,16,pregen_2layer_models/dense_96_128_128_16b.h5
dense_104_8_8_2b,104,8,8,2,pregen_2layer_models/dense_104_8_8_2b.h5
dense_104_8_8_4b,104,8,8,4,pregen_2layer_models/dense_104_8_8_4b.h5
dense_104_8_8_6b,104,8,8,6,pregen_2layer_models/dense_104_8_8_6b.h5
dense_104_8_8_8b,104,8,8,8,pregen_2layer_models/dense_104_8_8_8b.h5
dense_104_8_8_10b,104,8,8,10,pregen_2layer_models/dense_104_8_8_10b.h5
dense_104_8_8_12b,104,8,8,12,pregen_2layer_models/dense_104_8_8_12b.h5
dense_104_8_8_14b,104,8,8,14,pregen_2layer_models/dense_104_8_8_14b.h5
dense_104_8_8_16b,104,8,8,16,pregen_2layer_models/dense_104_8_8_16b.h5
dense_104_8_16_2b,104,8,16,2,pregen_2layer_models/dense_104_8_16_2b.h5
dense_104_8_16_4b,104,8,16,4,pregen_2layer_models/dense_104_8_16_4b.h5
dense_104_8_16_6b,104,8,16,6,pregen_2layer_models/dense_104_8_16_6b.h5
dense_104_8_16_8b,104,8,16,8,pregen_2layer_models/dense_104_8_16_8b.h5
dense_104_8_16_10b,104,8,16,10,pregen_2layer_models/dense_104_8_16_10b.h5
dense_104_8_16_12b,104,8,16,12,pregen_2layer_models/dense_104_8_16_12b.h5
dense_104_8_16_14b,104,8,16,14,pregen_2layer_models/dense_104_8_16_14b.h5
dense_104_8_16_16b,104,8,16,16,pregen_2layer_models/dense_104_8_16_16b.h5
dense_104_8_24_2b,104,8,24,2,pregen_2layer_models/dense_104_8_24_2b.h5
dense_104_8_24_4b,104,8,24,4,pregen_2layer_models/dense_104_8_24_4b.h5
dense_104_8_24_6b,104,8,24,6,pregen_2layer_models/dense_104_8_24_6b.h5
dense_104_8_24_8b,104,8,24,8,pregen_2layer_models/dense_104_8_24_8b.h5
dense_104_8_24_10b,104,8,24,10,pregen_2layer_models/dense_104_8_24_10b.h5
dense_104_8_24_12b,104,8,24,12,pregen_2layer_models/dense_104_8_24_12b.h5
dense_104_8_24_14b,104,8,24,14,pregen_2layer_models/dense_104_8_24_14b.h5
dense_104_8_24_16b,104,8,24,16,pregen_2layer_models/dense_104_8_24_16b.h5
dense_104_8_32_2b,104,8,32,2,pregen_2layer_models/dense_104_8_32_2b.h5
dense_104_8_32_4b,104,8,32,4,pregen_2layer_models/dense_104_8_32_4b.h5
dense_104_8_32_6b,104,8,32,6,pregen_2layer_models/dense_104_8_32_6b.h5
dense_104_8_32_8b,104,8,32,8,pregen_2layer_models/dense_104_8_32_8b.h5
dense_104_8_32_10b,104,8,32,10,pregen_2layer_models/dense_104_8_32_10b.h5
dense_104_8_32_12b,104,8,32,12,pregen_2layer_models/dense_104_8_32_12b.h5
