model_name,d_in,d_out,d_out2,prec,model_file
dense_24_88_112_10b,24,88,112,10,pregen_2layer_models/dense_24_88_112_10b.h5
dense_24_88_112_12b,24,88,112,12,pregen_2layer_models/dense_24_88_112_12b.h5
dense_24_88_112_14b,24,88,112,14,pregen_2layer_models/dense_24_88_112_14b.h5
dense_24_88_112_16b,24,88,112,16,pregen_2layer_models/dense_24_88_112_16b.h5
dense_24_88_120_2b,24,88,120,2,pregen_2layer_models/dense_24_88_120_2b.h5
dense_24_88_120_4b,24,88,120,4,pregen_2layer_models/dense_24_88_120_4b.h5
dense_24_88_120_6b,24,88,120,6,pregen_2layer_models/dense_24_88_120_6b.h5
dense_24_88_120_8b,24,88,120,8,pregen_2layer_models/dense_24_88_120_8b.h5
dense_24_88_120_10b,24,88,120,10,pregen_2layer_models/dense_24_88_120_10b.h5
dense_24_88_120_12b,24,88,120,12,pregen_2layer_models/dense_24_88_120_12b.h5
dense_24_88_120_14b,24,88,120,14,pregen_2layer_models/dense_24_88_120_14b.h5
dense_24_88_120_16b,24,88,120,16,pregen_2layer_models/dense_24_88_120_16b.h5
dense_24_88_128_2b,24,88,128,2,pregen_2layer_models/dense_24_88_128_2b.h5
dense_24_88_128_4b,24,88,128,4,pregen_2layer_models/dense_24_88_128_4b.h5
dense_24_88_128_6b,24,88,128,6,pregen_2layer_models/dense_24_88_128_6b.h5
dense_24_88_128_8b,24,88,128,8,pregen_2layer_models/dense_24_88_128_8b.h5
dense_24_88_128_10b,24,88,128,10,pregen_2layer_models/dense_24_88_128_10b.h5
dense_24_88_128_12b,24,88,128,12,pregen_2layer_models/dense_24_88_128_12b.h5
dense_24_88_128_14b,24,88,128,14,pregen_2layer_models/dense_24_88_128_14b.h5
dense_24_88_128_16b,24,88,128,16,pregen_2layer_models/dense_24_88_128_16b.h5
dense_24_96_8_2b,24,96,8,2,pregen_2layer_models/dense_24_96_8_2b.h5
dense_24_96_8_4b,24,96,8,4,pregen_2layer_models/dense_24_96_8_4b.h5
dense_24_96_8_6b,24,96,8,6,pregen_2layer_models/dense_24_96_8_6b.h5
dense_24_96_8_8b,24,96,8,8,pregen_2layer_models/dense_24_96_8_8b.h5
dense_24_96_8_10b,24,96,8,10,pregen_2layer_models/dense_24_96_8_10b.h5
dense_24_96_8_12b,24,96,8,12,pregen_2layer_models/dense_24_96_8_12b.h5
dense_24_96_8_14b,24,96,8,14,pregen_2layer_models/dense_24_96_8_14b.h5
dense_24_96_8_16b,24,96,8,16,pregen_2layer_models/dense_24_96_8_16b.h5
dense_24_96_16_2b,24,96,16,2,pregen_2layer_models/dense_24_96_16_2b.h5
dense_24_96_16_4b,24,96,16,4,pregen_2layer_models/dense_24_96_16_4b.h5
dense_24_96_16_6b,24,96,16,6,pregen_2layer_models/dense_24_96_16_6b.h5
dense_24_96_16_8b,24,96,16,8,pregen_2layer_models/dense_24_96_16_8b.h5
dense_24_96_16_10b,24,96,16,10,pregen_2layer_models/dense_24_96_16_10b.h5
dense_24_96_16_12b,24,96,16,12,pregen_2layer_models/dense_24_96_16_12b.h5
dense_24_96_16_14b,24,96,16,14,pregen_2layer_models/dense_24_96_16_14b.h5
dense_24_96_16_16b,24,96,16,16,pregen_2layer_models/dense_24_96_16_16b.h5
dense_24_96_24_2b,24,96,24,2,pregen_2layer_models/dense_24_96_24_2b.h5
dense_24_96_24_4b,24,96,24,4,pregen_2layer_models/dense_24_96_24_4b.h5
dense_24_96_24_6b,24,96,24,6,pregen_2layer_models/dense_24_96_24_6b.h5
dense_24_96_24_8b,24,96,24,8,pregen_2layer_models/dense_24_96_24_8b.h5
dense_24_96_24_10b,24,96,24,10,pregen_2layer_models/dense_24_96_24_10b.h5
dense_24_96_24_12b,24,96,24,12,pregen_2layer_models/dense_24_96_24_12b.h5
