model_name,d_in,d_out,d_out2,prec,model_file
dense_112_32_40_10b,112,32,40,10,pregen_2layer_models/dense_112_32_40_10b.h5
dense_112_32_40_12b,112,32,40,12,pregen_2layer_models/dense_112_32_40_12b.h5
dense_112_32_40_14b,112,32,40,14,pregen_2layer_models/dense_112_32_40_14b.h5
dense_112_32_40_16b,112,32,40,16,pregen_2layer_models/dense_112_32_40_16b.h5
dense_112_32_48_2b,112,32,48,2,pregen_2layer_models/dense_112_32_48_2b.h5
dense_112_32_48_4b,112,32,48,4,pregen_2layer_models/dense_112_32_48_4b.h5
dense_112_32_48_6b,112,32,48,6,pregen_2layer_models/dense_112_32_48_6b.h5
dense_112_32_48_8b,112,32,48,8,pregen_2layer_models/dense_112_32_48_8b.h5
dense_112_32_48_10b,112,32,48,10,pregen_2layer_models/dense_112_32_48_10b.h5
dense_112_32_48_12b,112,32,48,12,pregen_2layer_models/dense_112_32_48_12b.h5
dense_112_32_48_14b,112,32,48,14,pregen_2layer_models/dense_112_32_48_14b.h5
dense_112_32_48_16b,112,32,48,16,pregen_2layer_models/dense_112_32_48_16b.h5
dense_112_32_56_2b,112,32,56,2,pregen_2layer_models/dense_112_32_56_2b.h5
dense_112_32_56_4b,112,32,56,4,pregen_2layer_models/dense_112_32_56_4b.h5
dense_112_32_56_6b,112,32,56,6,pregen_2layer_models/dense_112_32_56_6b.h5
dense_112_32_56_8b,112,32,56,8,pregen_2layer_models/dense_112_32_56_8b.h5
dense_112_32_56_10b,112,32,56,10,pregen_2layer_models/dense_112_32_56_10b.h5
dense_112_32_56_12b,112,32,56,12,pregen_2layer_models/dense_112_32_56_12b.h5
dense_112_32_56_14b,112,32,56,14,pregen_2layer_models/dense_112_32_56_14b.h5
dense_112_32_56_16b,112,32,56,16,pregen_2layer_models/dense_112_32_56_16b.h5
dense_112_32_64_2b,112,32,64,2,pregen_2layer_models/dense_112_32_64_2b.h5
dense_112_32_64_4b,112,32,64,4,pregen_2layer_models/dense_112_32_64_4b.h5
dense_112_32_64_6b,112,32,64,6,pregen_2layer_models/dense_112_32_64_6b.h5
dense_112_32_64_8b,112,32,64,8,pregen_2layer_models/dense_112_32_64_8b.h5
dense_112_32_64_10b,112,32,64,10,pregen_2layer_models/dense_112_32_64_10b.h5
dense_112_32_64_12b,112,32,64,12,pregen_2layer_models/dense_112_32_64_12b.h5
dense_112_32_64_14b,112,32,64,14,pregen_2layer_models/dense_112_32_64_14b.h5
dense_112_32_64_16b,112,32,64,16,pregen_2layer_models/dense_112_32_64_16b.h5
dense_112_32_72_2b,112,32,72,2,pregen_2layer_models/dense_112_32_72_2b.h5
dense_112_32_72_4b,112,32,72,4,pregen_2layer_models/dense_112_32_72_4b.h5
dense_112_32_72_6b,112,32,72,6,pregen_2layer_models/dense_112_32_72_6b.h5
dense_112_32_72_8b,112,32,72,8,pregen_2layer_models/dense_112_32_72_8b.h5
dense_112_32_72_10b,112,32,72,10,pregen_2layer_models/dense_112_32_72_10b.h5
dense_112_32_72_12b,112,32,72,12,pregen_2layer_models/dense_112_32_72_12b.h5
dense_112_32_72_14b,112,32,72,14,pregen_2layer_models/dense_112_32_72_14b.h5
dense_112_32_72_16b,112,32,72,16,pregen_2layer_models/dense_112_32_72_16b.h5
dense_112_32_80_2b,112,32,80,2,pregen_2layer_models/dense_112_32_80_2b.h5
dense_112_32_80_4b,112,32,80,4,pregen_2layer_models/dense_112_32_80_4b.h5
dense_112_32_80_6b,112,32,80,6,pregen_2layer_models/dense_112_32_80_6b.h5
dense_112_32_80_8b,112,32,80,8,pregen_2layer_models/dense_112_32_80_8b.h5
dense_112_32_80_10b,112,32,80,10,pregen_2layer_models/dense_112_32_80_10b.h5
dense_112_32_80_12b,112,32,80,12,pregen_2layer_models/dense_112_32_80_12b.h5
dense_112_32_80_14b,112,32,80,14,pregen_2layer_models/dense_112_32_80_14b.h5
dense_112_32_80_16b,112,32,80,16,pregen_2layer_models/dense_112_32_80_16b.h5
dense_112_32_88_2b,112,32,88,2,pregen_2layer_models/dense_112_32_88_2b.h5
dense_112_32_88_4b,112,32,88,4,pregen_2layer_models/dense_112_32_88_4b.h5
dense_112_32_88_6b,112,32,88,6,pregen_2layer_models/dense_112_32_88_6b.h5
dense_112_32_88_8b,112,32,88,8,pregen_2layer_models/dense_112_32_88_8b.h5
dense_112_32_88_10b,112,32,88,10,pregen_2layer_models/dense_112_32_88_10b.h5
dense_112_32_88_12b,112,32,88,12,pregen_2layer_models/dense_112_32_88_12b.h5
dense_112_32_88_14b,112,32,88,14,pregen_2layer_models/dense_112_32_88_14b.h5
dense_112_32_88_16b,112,32,88,16,pregen_2layer_models/dense_112_32_88_16b.h5
dense_112_32_96_2b,112,32,96,2,pregen_2layer_models/dense_112_32_96_2b.h5
dense_112_32_96_4b,112,32,96,4,pregen_2layer_models/dense_112_32_96_4b.h5
dense_112_32_96_6b,112,32,96,6,pregen_2layer_models/dense_112_32_96_6b.h5
dense_112_32_96_8b,112,32,96,8,pregen_2layer_models/dense_112_32_96_8b.h5
dense_112_32_96_10b,112,32,96,10,pregen_2layer_models/dense_112_32_96_10b.h5
dense_112_32_96_12b,112,32,96,12,pregen_2layer_models/dense_112_32_96_12b.h5
dense_112_32_96_14b,112,32,96,14,pregen_2layer_models/dense_112_32_96_14b.h5
dense_112_32_96_16b,112,32,96,16,pregen_2layer_models/dense_112_32_96_16b.h5
dense_112_32_104_2b,112,32,104,2,pregen_2layer_models/dense_112_32_104_2b.h5
dense_112_32_104_4b,112,32,104,4,pregen_2layer_models/dense_112_32_104_4b.h5
dense_112_32_104_6b,112,32,104,6,pregen_2layer_models/dense_112_32_104_6b.h5
dense_112_32_104_8b,112,32,104,8,pregen_2layer_models/dense_112_32_104_8b.h5
dense_112_32_104_10b,112,32,104,10,pregen_2layer_models/dense_112_32_104_10b.h5
dense_112_32_104_12b,112,32,104,12,pregen_2layer_models/dense_112_32_104_12b.h5
dense_112_32_104_14b,112,32,104,14,pregen_2layer_models/dense_112_32_104_14b.h5
dense_112_32_104_16b,112,32,104,16,pregen_2layer_models/dense_112_32_104_16b.h5
dense_112_32_112_2b,112,32,112,2,pregen_2layer_models/dense_112_32_112_2b.h5
dense_112_32_112_4b,112,32,112,4,pregen_2layer_models/dense_112_32_112_4b.h5
dense_112_32_112_6b,112,32,112,6,pregen_2layer_models/dense_112_32_112_6b.h5
dense_112_32_112_8b,112,32,112,8,pregen_2layer_models/dense_112_32_112_8b.h5
dense_112_32_112_10b,112,32,112,10,pregen_2layer_models/dense_112_32_112_10b.h5
dense_112_32_112_12b,112,32,112,12,pregen_2layer_models/dense_112_32_112_12b.h5
dense_112_32_112_14b,112,32,112,14,pregen_2layer_models/dense_112_32_112_14b.h5
dense_112_32_112_16b,112,32,112,16,pregen_2layer_models/dense_112_32_112_16b.h5
dense_112_32_120_2b,112,32,120,2,pregen_2layer_models/dense_112_32_120_2b.h5
dense_112_32_120_4b,112,32,120,4,pregen_2layer_models/dense_112_32_120_4b.h5
dense_112_32_120_6b,112,32,120,6,pregen_2layer_models/dense_112_32_120_6b.h5
