model_name,d_in,d_out,d_out2,prec,model_file
dense_80_40_104_10b,80,40,104,10,pregen_2layer_models/dense_80_40_104_10b.h5
dense_80_40_104_12b,80,40,104,12,pregen_2layer_models/dense_80_40_104_12b.h5
dense_80_40_104_14b,80,40,104,14,pregen_2layer_models/dense_80_40_104_14b.h5
dense_80_40_104_16b,80,40,104,16,pregen_2layer_models/dense_80_40_104_16b.h5
dense_80_40_112_2b,80,40,112,2,pregen_2layer_models/dense_80_40_112_2b.h5
dense_80_40_112_4b,80,40,112,4,pregen_2layer_models/dense_80_40_112_4b.h5
dense_80_40_112_6b,80,40,112,6,pregen_2layer_models/dense_80_40_112_6b.h5
dense_80_40_112_8b,80,40,112,8,pregen_2layer_models/dense_80_40_112_8b.h5
dense_80_40_112_10b,80,40,112,10,pregen_2layer_models/dense_80_40_112_10b.h5
dense_80_40_112_12b,80,40,112,12,pregen_2layer_models/dense_80_40_112_12b.h5
dense_80_40_112_14b,80,40,112,14,pregen_2layer_models/dense_80_40_112_14b.h5
dense_80_40_112_16b,80,40,112,16,pregen_2layer_models/dense_80_40_112_16b.h5
dense_80_40_120_2b,80,40,120,2,pregen_2layer_models/dense_80_40_120_2b.h5
dense_80_40_120_4b,80,40,120,4,pregen_2layer_models/dense_80_40_120_4b.h5
dense_80_40_120_6b,80,40,120,6,pregen_2layer_models/dense_80_40_120_6b.h5
dense_80_40_120_8b,80,40,120,8,pregen_2layer_models/dense_80_40_120_8b.h5
dense_80_40_120_10b,80,40,120,10,pregen_2layer_models/dense_80_40_120_10b.h5
dense_80_40_120_12b,80,40,120,12,pregen_2layer_models/dense_80_40_120_12b.h5
dense_80_40_120_14b,80,40,120,14,pregen_2layer_models/dense_80_40_120_14b.h5
dense_80_40_120_16b,80,40,120,16,pregen_2layer_models/dense_80_40_120_16b.h5
dense_80_40_128_2b,80,40,128,2,pregen_2layer_models/dense_80_40_128_2b.h5
dense_80_40_128_4b,80,40,128,4,pregen_2layer_models/dense_80_40_128_4b.h5
dense_80_40_128_6b,80,40,128,6,pregen_2layer_models/dense_80_40_128_6b.h5
dense_80_40_128_8b,80,40,128,8,pregen_2layer_models/dense_80_40_128_8b.h5
dense_80_40_128_10b,80,40,128,10,pregen_2layer_models/dense_80_40_128_10b.h5
dense_80_40_128_12b,80,40,128,12,pregen_2layer_models/dense_80_40_128_12b.h5
dense_80_40_128_14b,80,40,128,14,pregen_2layer_models/dense_80_40_128_14b.h5
