model_name,config_str,input_size,d_out1,d_out2,d_out3,prec,model_file
dense_16_48_80_8_12b,16_48_80_8,16,48,80,8,12,pregen_3layer_models/dense_16_48_80_8_12b.h5
dense_16_48_80_16_12b,16_48_80_16,16,48,80,16,12,pregen_3layer_models/dense_16_48_80_16_12b.h5
dense_16_48_80_24_12b,16_48_80_24,16,48,80,24,12,pregen_3layer_models/dense_16_48_80_24_12b.h5
dense_16_48_80_32_12b,16_48_80_32,16,48,80,32,12,pregen_3layer_models/dense_16_48_80_32_12b.h5
dense_16_48_80_40_12b,16_48_80_40,16,48,80,40,12,pregen_3layer_models/dense_16_48_80_40_12b.h5
dense_16_48_80_48_12b,16_48_80_48,16,48,80,48,12,pregen_3layer_models/dense_16_48_80_48_12b.h5
dense_16_48_80_56_12b,16_48_80_56,16,48,80,56,12,pregen_3layer_models/dense_16_48_80_56_12b.h5
dense_16_48_80_64_12b,16_48_80_64,16,48,80,64,12,pregen_3layer_models/dense_16_48_80_64_12b.h5
dense_16_48_80_72_12b,16_48_80_72,16,48,80,72,12,pregen_3layer_models/dense_16_48_80_72_12b.h5
dense_16_48_80_80_12b,16_48_80_80,16,48,80,80,12,pregen_3layer_models/dense_16_48_80_80_12b.h5
dense_16_48_80_88_12b,16_48_80_88,16,48,80,88,12,pregen_3layer_models/dense_16_48_80_88_12b.h5
dense_16_48_80_96_12b,16_48_80_96,16,48,80,96,12,pregen_3layer_models/dense_16_48_80_96_12b.h5
dense_16_48_80_104_12b,16_48_80_104,16,48,80,104,12,pregen_3layer_models/dense_16_48_80_104_12b.h5
dense_16_48_80_112_12b,16_48_80_112,16,48,80,112,12,pregen_3layer_models/dense_16_48_80_112_12b.h5
dense_16_48_80_120_12b,16_48_80_120,16,48,80,120,12,pregen_3layer_models/dense_16_48_80_120_12b.h5
dense_16_48_80_128_12b,16_48_80_128,16,48,80,128,12,pregen_3layer_models/dense_16_48_80_128_12b.h5
dense_16_48_88_8_12b,16_48_88_8,16,48,88,8,12,pregen_3layer_models/dense_16_48_88_8_12b.h5
dense_16_48_88_16_12b,16_48_88_16,16,48,88,16,12,pregen_3layer_models/dense_16_48_88_16_12b.h5
dense_16_48_88_24_12b,16_48_88_24,16,48,88,24,12,pregen_3layer_models/dense_16_48_88_24_12b.h5
dense_16_48_88_32_12b,16_48_88_32,16,48,88,32,12,pregen_3layer_models/dense_16_48_88_32_12b.h5
dense_16_48_88_40_12b,16_48_88_40,16,48,88,40,12,pregen_3layer_models/dense_16_48_88_40_12b.h5
dense_16_48_88_48_12b,16_48_88_48,16,48,88,48,12,pregen_3layer_models/dense_16_48_88_48_12b.h5
dense_16_48_88_56_12b,16_48_88_56,16,48,88,56,12,pregen_3layer_models/dense_16_48_88_56_12b.h5
dense_16_48_88_64_12b,16_48_88_64,16,48,88,64,12,pregen_3layer_models/dense_16_48_88_64_12b.h5
dense_16_48_88_72_12b,16_48_88_72,16,48,88,72,12,pregen_3layer_models/dense_16_48_88_72_12b.h5
dense_16_48_88_80_12b,16_48_88_80,16,48,88,80,12,pregen_3layer_models/dense_16_48_88_80_12b.h5
dense_16_48_88_88_12b,16_48_88_88,16,48,88,88,12,pregen_3layer_models/dense_16_48_88_88_12b.h5
dense_16_48_88_96_12b,16_48_88_96,16,48,88,96,12,pregen_3layer_models/dense_16_48_88_96_12b.h5
dense_16_48_88_104_12b,16_48_88_104,16,48,88,104,12,pregen_3layer_models/dense_16_48_88_104_12b.h5
dense_16_48_88_112_12b,16_48_88_112,16,48,88,112,12,pregen_3layer_models/dense_16_48_88_112_12b.h5
dense_16_48_88_120_12b,16_48_88_120,16,48,88,120,12,pregen_3layer_models/dense_16_48_88_120_12b.h5
dense_16_48_88_128_12b,16_48_88_128,16,48,88,128,12,pregen_3layer_models/dense_16_48_88_128_12b.h5
dense_16_48_96_8_12b,16_48_96_8,16,48,96,8,12,pregen_3layer_models/dense_16_48_96_8_12b.h5
dense_16_48_96_16_12b,16_48_96_16,16,48,96,16,12,pregen_3layer_models/dense_16_48_96_16_12b.h5
dense_16_48_96_24_12b,16_48_96_24,16,48,96,24,12,pregen_3layer_models/dense_16_48_96_24_12b.h5
dense_16_48_96_32_12b,16_48_96_32,16,48,96,32,12,pregen_3layer_models/dense_16_48_96_32_12b.h5
dense_16_48_96_40_12b,16_48_96_40,16,48,96,40,12,pregen_3layer_models/dense_16_48_96_40_12b.h5
dense_16_48_96_48_12b,16_48_96_48,16,48,96,48,12,pregen_3layer_models/dense_16_48_96_48_12b.h5
dense_16_48_96_56_12b,16_48_96_56,16,48,96,56,12,pregen_3layer_models/dense_16_48_96_56_12b.h5
dense_16_48_96_64_12b,16_48_96_64,16,48,96,64,12,pregen_3layer_models/dense_16_48_96_64_12b.h5
dense_16_48_96_72_12b,16_48_96_72,16,48,96,72,12,pregen_3layer_models/dense_16_48_96_72_12b.h5
dense_16_48_96_80_12b,16_48_96_80,16,48,96,80,12,pregen_3layer_models/dense_16_48_96_80_12b.h5
dense_16_48_96_88_12b,16_48_96_88,16,48,96,88,12,pregen_3layer_models/dense_16_48_96_88_12b.h5
dense_16_48_96_96_12b,16_48_96_96,16,48,96,96,12,pregen_3layer_models/dense_16_48_96_96_12b.h5
dense_16_48_96_104_12b,16_48_96_104,16,48,96,104,12,pregen_3layer_models/dense_16_48_96_104_12b.h5
dense_16_48_96_112_12b,16_48_96_112,16,48,96,112,12,pregen_3layer_models/dense_16_48_96_112_12b.h5
dense_16_48_96_120_12b,16_48_96_120,16,48,96,120,12,pregen_3layer_models/dense_16_48_96_120_12b.h5
dense_16_48_96_128_12b,16_48_96_128,16,48,96,128,12,pregen_3layer_models/dense_16_48_96_128_12b.h5
dense_16_48_104_8_12b,16_48_104_8,16,48,104,8,12,pregen_3layer_models/dense_16_48_104_8_12b.h5
dense_16_48_104_16_12b,16_48_104_16,16,48,104,16,12,pregen_3layer_models/dense_16_48_104_16_12b.h5
dense_16_48_104_24_12b,16_48_104_24,16,48,104,24,12,pregen_3layer_models/dense_16_48_104_24_12b.h5
dense_16_48_104_32_12b,16_48_104_32,16,48,104,32,12,pregen_3layer_models/dense_16_48_104_32_12b.h5
dense_16_48_104_40_12b,16_48_104_40,16,48,104,40,12,pregen_3layer_models/dense_16_48_104_40_12b.h5
dense_16_48_104_48_12b,16_48_104_48,16,48,104,48,12,pregen_3layer_models/dense_16_48_104_48_12b.h5
dense_16_48_104_56_12b,16_48_104_56,16,48,104,56,12,pregen_3layer_models/dense_16_48_104_56_12b.h5
dense_16_48_104_64_12b,16_48_104_64,16,48,104,64,12,pregen_3layer_models/dense_16_48_104_64_12b.h5
dense_16_48_104_72_12b,16_48_104_72,16,48,104,72,12,pregen_3layer_models/dense_16_48_104_72_12b.h5
dense_16_48_104_80_12b,16_48_104_80,16,48,104,80,12,pregen_3layer_models/dense_16_48_104_80_12b.h5
