model_name,config_str,input_size,d_out1,d_out2,d_out3,prec,model_file
dense_128_128_64_8_16b,128_128_64_8,128,128,64,8,16,pregen_3layer_models/dense_128_128_64_8_16b.h5
dense_128_128_64_16_16b,128_128_64_16,128,128,64,16,16,pregen_3layer_models/dense_128_128_64_16_16b.h5
dense_128_128_64_24_16b,128_128_64_24,128,128,64,24,16,pregen_3layer_models/dense_128_128_64_24_16b.h5
dense_128_128_64_32_16b,128_128_64_32,128,128,64,32,16,pregen_3layer_models/dense_128_128_64_32_16b.h5
dense_128_128_64_40_16b,128_128_64_40,128,128,64,40,16,pregen_3layer_models/dense_128_128_64_40_16b.h5
dense_128_128_64_48_16b,128_128_64_48,128,128,64,48,16,pregen_3layer_models/dense_128_128_64_48_16b.h5
dense_128_128_64_56_16b,128_128_64_56,128,128,64,56,16,pregen_3layer_models/dense_128_128_64_56_16b.h5
dense_128_128_64_64_16b,128_128_64_64,128,128,64,64,16,pregen_3layer_models/dense_128_128_64_64_16b.h5
dense_128_128_64_72_16b,128_128_64_72,128,128,64,72,16,pregen_3layer_models/dense_128_128_64_72_16b.h5
dense_128_128_64_80_16b,128_128_64_80,128,128,64,80,16,pregen_3layer_models/dense_128_128_64_80_16b.h5
dense_128_128_64_88_16b,128_128_64_88,128,128,64,88,16,pregen_3layer_models/dense_128_128_64_88_16b.h5
dense_128_128_64_96_16b,128_128_64_96,128,128,64,96,16,pregen_3layer_models/dense_128_128_64_96_16b.h5
dense_128_128_64_104_16b,128_128_64_104,128,128,64,104,16,pregen_3layer_models/dense_128_128_64_104_16b.h5
dense_128_128_64_112_16b,128_128_64_112,128,128,64,112,16,pregen_3layer_models/dense_128_128_64_112_16b.h5
dense_128_128_64_120_16b,128_128_64_120,128,128,64,120,16,pregen_3layer_models/dense_128_128_64_120_16b.h5
dense_128_128_64_128_16b,128_128_64_128,128,128,64,128,16,pregen_3layer_models/dense_128_128_64_128_16b.h5
dense_128_128_72_8_16b,128_128_72_8,128,128,72,8,16,pregen_3layer_models/dense_128_128_72_8_16b.h5
dense_128_128_72_16_16b,128_128_72_16,128,128,72,16,16,pregen_3layer_models/dense_128_128_72_16_16b.h5
dense_128_128_72_24_16b,128_128_72_24,128,128,72,24,16,pregen_3layer_models/dense_128_128_72_24_16b.h5
dense_128_128_72_32_16b,128_128_72_32,128,128,72,32,16,pregen_3layer_models/dense_128_128_72_32_16b.h5
dense_128_128_72_40_16b,128_128_72_40,128,128,72,40,16,pregen_3layer_models/dense_128_128_72_40_16b.h5
dense_128_128_72_48_16b,128_128_72_48,128,128,72,48,16,pregen_3layer_models/dense_128_128_72_48_16b.h5
dense_128_128_72_56_16b,128_128_72_56,128,128,72,56,16,pregen_3layer_models/dense_128_128_72_56_16b.h5
dense_128_128_72_64_16b,128_128_72_64,128,128,72,64,16,pregen_3layer_models/dense_128_128_72_64_16b.h5
dense_128_128_72_72_16b,128_128_72_72,128,128,72,72,16,pregen_3layer_models/dense_128_128_72_72_16b.h5
dense_128_128_72_80_16b,128_128_72_80,128,128,72,80,16,pregen_3layer_models/dense_128_128_72_80_16b.h5
dense_128_128_72_88_16b,128_128_72_88,128,128,72,88,16,pregen_3layer_models/dense_128_128_72_88_16b.h5
dense_128_128_72_96_16b,128_128_72_96,128,128,72,96,16,pregen_3layer_models/dense_128_128_72_96_16b.h5
dense_128_128_72_104_16b,128_128_72_104,128,128,72,104,16,pregen_3layer_models/dense_128_128_72_104_16b.h5
dense_128_128_72_112_16b,128_128_72_112,128,128,72,112,16,pregen_3layer_models/dense_128_128_72_112_16b.h5
dense_128_128_72_120_16b,128_128_72_120,128,128,72,120,16,pregen_3layer_models/dense_128_128_72_120_16b.h5
dense_128_128_72_128_16b,128_128_72_128,128,128,72,128,16,pregen_3layer_models/dense_128_128_72_128_16b.h5
dense_128_128_80_8_16b,128_128_80_8,128,128,80,8,16,pregen_3layer_models/dense_128_128_80_8_16b.h5
dense_128_128_80_16_16b,128_128_80_16,128,128,80,16,16,pregen_3layer_models/dense_128_128_80_16_16b.h5
dense_128_128_80_24_16b,128_128_80_24,128,128,80,24,16,pregen_3layer_models/dense_128_128_80_24_16b.h5
dense_128_128_80_32_16b,128_128_80_32,128,128,80,32,16,pregen_3layer_models/dense_128_128_80_32_16b.h5
dense_128_128_80_40_16b,128_128_80_40,128,128,80,40,16,pregen_3layer_models/dense_128_128_80_40_16b.h5
dense_128_128_80_48_16b,128_128_80_48,128,128,80,48,16,pregen_3layer_models/dense_128_128_80_48_16b.h5
dense_128_128_80_56_16b,128_128_80_56,128,128,80,56,16,pregen_3layer_models/dense_128_128_80_56_16b.h5
dense_128_128_80_64_16b,128_128_80_64,128,128,80,64,16,pregen_3layer_models/dense_128_128_80_64_16b.h5
dense_128_128_80_72_16b,128_128_80_72,128,128,80,72,16,pregen_3layer_models/dense_128_128_80_72_16b.h5
dense_128_128_80_80_16b,128_128_80_80,128,128,80,80,16,pregen_3layer_models/dense_128_128_80_80_16b.h5
dense_128_128_80_88_16b,128_128_80_88,128,128,80,88,16,pregen_3layer_models/dense_128_128_80_88_16b.h5
dense_128_128_80_96_16b,128_128_80_96,128,128,80,96,16,pregen_3layer_models/dense_128_128_80_96_16b.h5
dense_128_128_80_104_16b,128_128_80_104,128,128,80,104,16,pregen_3layer_models/dense_128_128_80_104_16b.h5
dense_128_128_80_112_16b,128_128_80_112,128,128,80,112,16,pregen_3layer_models/dense_128_128_80_112_16b.h5
dense_128_128_80_120_16b,128_128_80_120,128,128,80,120,16,pregen_3layer_models/dense_128_128_80_120_16b.h5
dense_128_128_80_128_16b,128_128_80_128,128,128,80,128,16,pregen_3layer_models/dense_128_128_80_128_16b.h5
dense_128_128_88_8_16b,128_128_88_8,128,128,88,8,16,pregen_3layer_models/dense_128_128_88_8_16b.h5
dense_128_128_88_16_16b,128_128_88_16,128,128,88,16,16,pregen_3layer_models/dense_128_128_88_16_16b.h5
dense_128_128_88_24_16b,128_128_88_24,128,128,88,24,16,pregen_3layer_models/dense_128_128_88_24_16b.h5
dense_128_128_88_32_16b,128_128_88_32,128,128,88,32,16,pregen_3layer_models/dense_128_128_88_32_16b.h5
dense_128_128_88_40_16b,128_128_88_40,128,128,88,40,16,pregen_3layer_models/dense_128_128_88_40_16b.h5
dense_128_128_88_48_16b,128_128_88_48,128,128,88,48,16,pregen_3layer_models/dense_128_128_88_48_16b.h5
dense_128_128_88_56_16b,128_128_88_56,128,128,88,56,16,pregen_3layer_models/dense_128_128_88_56_16b.h5
dense_128_128_88_64_16b,128_128_88_64,128,128,88,64,16,pregen_3layer_models/dense_128_128_88_64_16b.h5
dense_128_128_88_72_16b,128_128_88_72,128,128,88,72,16,pregen_3layer_models/dense_128_128_88_72_16b.h5
dense_128_128_88_80_16b,128_128_88_80,128,128,88,80,16,pregen_3layer_models/dense_128_128_88_80_16b.h5
dense_128_128_88_88_16b,128_128_88_88,128,128,88,88,16,pregen_3layer_models/dense_128_128_88_88_16b.h5
dense_128_128_88_96_16b,128_128_88_96,128,128,88,96,16,pregen_3layer_models/dense_128_128_88_96_16b.h5
dense_128_128_88_104_16b,128_128_88_104,128,128,88,104,16,pregen_3layer_models/dense_128_128_88_104_16b.h5
dense_128_128_88_112_16b,128_128_88_112,128,128,88,112,16,pregen_3layer_models/dense_128_128_88_112_16b.h5
dense_128_128_88_120_16b,128_128_88_120,128,128,88,120,16,pregen_3layer_models/dense_128_128_88_120_16b.h5
dense_128_128_88_128_16b,128_128_88_128,128,128,88,128,16,pregen_3layer_models/dense_128_128_88_128_16b.h5
dense_128_128_96_8_16b,128_128_96_8,128,128,96,8,16,pregen_3layer_models/dense_128_128_96_8_16b.h5
dense_128_128_96_16_16b,128_128_96_16,128,128,96,16,16,pregen_3layer_models/dense_128_128_96_16_16b.h5
dense_128_128_96_24_16b,128_128_96_24,128,128,96,24,16,pregen_3layer_models/dense_128_128_96_24_16b.h5
dense_128_128_96_32_16b,128_128_96_32,128,128,96,32,16,pregen_3layer_models/dense_128_128_96_32_16b.h5
dense_128_128_96_40_16b,128_128_96_40,128,128,96,40,16,pregen_3layer_models/dense_128_128_96_40_16b.h5
dense_128_128_96_48_16b,128_128_96_48,128,128,96,48,16,pregen_3layer_models/dense_128_128_96_48_16b.h5
dense_128_128_96_56_16b,128_128_96_56,128,128,96,56,16,pregen_3layer_models/dense_128_128_96_56_16b.h5
dense_128_128_96_64_16b,128_128_96_64,128,128,96,64,16,pregen_3layer_models/dense_128_128_96_64_16b.h5
dense_128_128_96_72_16b,128_128_96_72,128,128,96,72,16,pregen_3layer_models/dense_128_128_96_72_16b.h5
dense_128_128_96_80_16b,128_128_96_80,128,128,96,80,16,pregen_3layer_models/dense_128_128_96_80_16b.h5
dense_128_128_96_88_16b,128_128_96_88,128,128,96,88,16,pregen_3layer_models/dense_128_128_96_88_16b.h5
dense_128_128_96_96_16b,128_128_96_96,128,128,96,96,16,pregen_3layer_models/dense_128_128_96_96_16b.h5
dense_128_128_96_104_16b,128_128_96_104,128,128,96,104,16,pregen_3layer_models/dense_128_128_96_104_16b.h5
dense_128_128_96_112_16b,128_128_96_112,128,128,96,112,16,pregen_3layer_models/dense_128_128_96_112_16b.h5
dense_128_128_96_120_16b,128_128_96_120,128,128,96,120,16,pregen_3layer_models/dense_128_128_96_120_16b.h5
dense_128_128_96_128_16b,128_128_96_128,128,128,96,128,16,pregen_3layer_models/dense_128_128_96_128_16b.h5
dense_128_128_104_8_16b,128_128_104_8,128,128,104,8,16,pregen_3layer_models/dense_128_128_104_8_16b.h5
dense_128_128_104_16_16b,128_128_104_16,128,128,104,16,16,pregen_3layer_models/dense_128_128_104_16_16b.h5
dense_128_128_104_24_16b,128_128_104_24,128,128,104,24,16,pregen_3layer_models/dense_128_128_104_24_16b.h5
dense_128_128_104_32_16b,128_128_104_32,128,128,104,32,16,pregen_3layer_models/dense_128_128_104_32_16b.h5
dense_128_128_104_40_16b,128_128_104_40,128,128,104,40,16,pregen_3layer_models/dense_128_128_104_40_16b.h5
dense_128_128_104_48_16b,128_128_104_48,128,128,104,48,16,pregen_3layer_models/dense_128_128_104_48_16b.h5
dense_128_128_104_56_16b,128_128_104_56,128,128,104,56,16,pregen_3layer_models/dense_128_128_104_56_16b.h5
dense_128_128_104_64_16b,128_128_104_64,128,128,104,64,16,pregen_3layer_models/dense_128_128_104_64_16b.h5
dense_128_128_104_72_16b,128_128_104_72,128,128,104,72,16,pregen_3layer_models/dense_128_128_104_72_16b.h5
dense_128_128_104_80_16b,128_128_104_80,128,128,104,80,16,pregen_3layer_models/dense_128_128_104_80_16b.h5
dense_128_128_104_88_16b,128_128_104_88,128,128,104,88,16,pregen_3layer_models/dense_128_128_104_88_16b.h5
dense_128_128_104_96_16b,128_128_104_96,128,128,104,96,16,pregen_3layer_models/dense_128_128_104_96_16b.h5
dense_128_128_104_104_16b,128_128_104_104,128,128,104,104,16,pregen_3layer_models/dense_128_128_104_104_16b.h5
dense_128_128_104_112_16b,128_128_104_112,128,128,104,112,16,pregen_3layer_models/dense_128_128_104_112_16b.h5
dense_128_128_104_120_16b,128_128_104_120,128,128,104,120,16,pregen_3layer_models/dense_128_128_104_120_16b.h5
dense_128_128_104_128_16b,128_128_104_128,128,128,104,128,16,pregen_3layer_models/dense_128_128_104_128_16b.h5
dense_128_128_112_8_16b,128_128_112_8,128,128,112,8,16,pregen_3layer_models/dense_128_128_112_8_16b.h5
dense_128_128_112_16_16b,128_128_112_16,128,128,112,16,16,pregen_3layer_models/dense_128_128_112_16_16b.h5
dense_128_128_112_24_16b,128_128_112_24,128,128,112,24,16,pregen_3layer_models/dense_128_128_112_24_16b.h5
dense_128_128_112_32_16b,128_128_112_32,128,128,112,32,16,pregen_3layer_models/dense_128_128_112_32_16b.h5
dense_128_128_112_40_16b,128_128_112_40,128,128,112,40,16,pregen_3layer_models/dense_128_128_112_40_16b.h5
dense_128_128_112_48_16b,128_128_112_48,128,128,112,48,16,pregen_3layer_models/dense_128_128_112_48_16b.h5
dense_128_128_112_56_16b,128_128_112_56,128,128,112,56,16,pregen_3layer_models/dense_128_128_112_56_16b.h5
dense_128_128_112_64_16b,128_128_112_64,128,128,112,64,16,pregen_3layer_models/dense_128_128_112_64_16b.h5
dense_128_128_112_72_16b,128_128_112_72,128,128,112,72,16,pregen_3layer_models/dense_128_128_112_72_16b.h5
dense_128_128_112_80_16b,128_128_112_80,128,128,112,80,16,pregen_3layer_models/dense_128_128_112_80_16b.h5
dense_128_128_112_88_16b,128_128_112_88,128,128,112,88,16,pregen_3layer_models/dense_128_128_112_88_16b.h5
dense_128_128_112_96_16b,128_128_112_96,128,128,112,96,16,pregen_3layer_models/dense_128_128_112_96_16b.h5
dense_128_128_112_104_16b,128_128_112_104,128,128,112,104,16,pregen_3layer_models/dense_128_128_112_104_16b.h5
dense_128_128_112_112_16b,128_128_112_112,128,128,112,112,16,pregen_3layer_models/dense_128_128_112_112_16b.h5
dense_128_128_112_120_16b,128_128_112_120,128,128,112,120,16,pregen_3layer_models/dense_128_128_112_120_16b.h5
dense_128_128_112_128_16b,128_128_112_128,128,128,112,128,16,pregen_3layer_models/dense_128_128_112_128_16b.h5
dense_128_128_120_8_16b,128_128_120_8,128,128,120,8,16,pregen_3layer_models/dense_128_128_120_8_16b.h5
dense_128_128_120_16_16b,128_128_120_16,128,128,120,16,16,pregen_3layer_models/dense_128_128_120_16_16b.h5
dense_128_128_120_24_16b,128_128_120_24,128,128,120,24,16,pregen_3layer_models/dense_128_128_120_24_16b.h5
dense_128_128_120_32_16b,128_128_120_32,128,128,120,32,16,pregen_3layer_models/dense_128_128_120_32_16b.h5
dense_128_128_120_40_16b,128_128_120_40,128,128,120,40,16,pregen_3layer_models/dense_128_128_120_40_16b.h5
dense_128_128_120_48_16b,128_128_120_48,128,128,120,48,16,pregen_3layer_models/dense_128_128_120_48_16b.h5
dense_128_128_120_56_16b,128_128_120_56,128,128,120,56,16,pregen_3layer_models/dense_128_128_120_56_16b.h5
dense_128_128_120_64_16b,128_128_120_64,128,128,120,64,16,pregen_3layer_models/dense_128_128_120_64_16b.h5
dense_128_128_120_72_16b,128_128_120_72,128,128,120,72,16,pregen_3layer_models/dense_128_128_120_72_16b.h5
dense_128_128_120_80_16b,128_128_120_80,128,128,120,80,16,pregen_3layer_models/dense_128_128_120_80_16b.h5
dense_128_128_120_88_16b,128_128_120_88,128,128,120,88,16,pregen_3layer_models/dense_128_128_120_88_16b.h5
dense_128_128_120_96_16b,128_128_120_96,128,128,120,96,16,pregen_3layer_models/dense_128_128_120_96_16b.h5
dense_128_128_120_104_16b,128_128_120_104,128,128,120,104,16,pregen_3layer_models/dense_128_128_120_104_16b.h5
dense_128_128_120_112_16b,128_128_120_112,128,128,120,112,16,pregen_3layer_models/dense_128_128_120_112_16b.h5
dense_128_128_120_120_16b,128_128_120_120,128,128,120,120,16,pregen_3layer_models/dense_128_128_120_120_16b.h5
dense_128_128_120_128_16b,128_128_120_128,128,128,120,128,16,pregen_3layer_models/dense_128_128_120_128_16b.h5
dense_128_128_128_8_16b,128_128_128_8,128,128,128,8,16,pregen_3layer_models/dense_128_128_128_8_16b.h5
dense_128_128_128_16_16b,128_128_128_16,128,128,128,16,16,pregen_3layer_models/dense_128_128_128_16_16b.h5
dense_128_128_128_24_16b,128_128_128_24,128,128,128,24,16,pregen_3layer_models/dense_128_128_128_24_16b.h5
dense_128_128_128_32_16b,128_128_128_32,128,128,128,32,16,pregen_3layer_models/dense_128_128_128_32_16b.h5
dense_128_128_128_40_16b,128_128_128_40,128,128,128,40,16,pregen_3layer_models/dense_128_128_128_40_16b.h5
