model_name,config_str,input_size,d_out1,d_out2,d_out3,prec,model_file
dense_48_128_80_8_8b,48_128_80_8,48,128,80,8,8,pregen_3layer_models/dense_48_128_80_8_8b.h5
dense_48_128_80_16_8b,48_128_80_16,48,128,80,16,8,pregen_3layer_models/dense_48_128_80_16_8b.h5
dense_48_128_80_24_8b,48_128_80_24,48,128,80,24,8,pregen_3layer_models/dense_48_128_80_24_8b.h5
dense_48_128_80_32_8b,48_128_80_32,48,128,80,32,8,pregen_3layer_models/dense_48_128_80_32_8b.h5
dense_48_128_80_40_8b,48_128_80_40,48,128,80,40,8,pregen_3layer_models/dense_48_128_80_40_8b.h5
dense_48_128_80_48_8b,48_128_80_48,48,128,80,48,8,pregen_3layer_models/dense_48_128_80_48_8b.h5
dense_48_128_80_56_8b,48_128_80_56,48,128,80,56,8,pregen_3layer_models/dense_48_128_80_56_8b.h5
dense_48_128_80_64_8b,48_128_80_64,48,128,80,64,8,pregen_3layer_models/dense_48_128_80_64_8b.h5
dense_48_128_80_72_8b,48_128_80_72,48,128,80,72,8,pregen_3layer_models/dense_48_128_80_72_8b.h5
dense_48_128_80_80_8b,48_128_80_80,48,128,80,80,8,pregen_3layer_models/dense_48_128_80_80_8b.h5
dense_48_128_80_88_8b,48_128_80_88,48,128,80,88,8,pregen_3layer_models/dense_48_128_80_88_8b.h5
dense_48_128_80_96_8b,48_128_80_96,48,128,80,96,8,pregen_3layer_models/dense_48_128_80_96_8b.h5
dense_48_128_80_104_8b,48_128_80_104,48,128,80,104,8,pregen_3layer_models/dense_48_128_80_104_8b.h5
dense_48_128_80_112_8b,48_128_80_112,48,128,80,112,8,pregen_3layer_models/dense_48_128_80_112_8b.h5
dense_48_128_80_120_8b,48_128_80_120,48,128,80,120,8,pregen_3layer_models/dense_48_128_80_120_8b.h5
dense_48_128_80_128_8b,48_128_80_128,48,128,80,128,8,pregen_3layer_models/dense_48_128_80_128_8b.h5
dense_48_128_88_8_8b,48_128_88_8,48,128,88,8,8,pregen_3layer_models/dense_48_128_88_8_8b.h5
dense_48_128_88_16_8b,48_128_88_16,48,128,88,16,8,pregen_3layer_models/dense_48_128_88_16_8b.h5
dense_48_128_88_24_8b,48_128_88_24,48,128,88,24,8,pregen_3layer_models/dense_48_128_88_24_8b.h5
dense_48_128_88_32_8b,48_128_88_32,48,128,88,32,8,pregen_3layer_models/dense_48_128_88_32_8b.h5
dense_48_128_88_40_8b,48_128_88_40,48,128,88,40,8,pregen_3layer_models/dense_48_128_88_40_8b.h5
dense_48_128_88_48_8b,48_128_88_48,48,128,88,48,8,pregen_3layer_models/dense_48_128_88_48_8b.h5
dense_48_128_88_56_8b,48_128_88_56,48,128,88,56,8,pregen_3layer_models/dense_48_128_88_56_8b.h5
dense_48_128_88_64_8b,48_128_88_64,48,128,88,64,8,pregen_3layer_models/dense_48_128_88_64_8b.h5
dense_48_128_88_72_8b,48_128_88_72,48,128,88,72,8,pregen_3layer_models/dense_48_128_88_72_8b.h5
dense_48_128_88_80_8b,48_128_88_80,48,128,88,80,8,pregen_3layer_models/dense_48_128_88_80_8b.h5
dense_48_128_88_88_8b,48_128_88_88,48,128,88,88,8,pregen_3layer_models/dense_48_128_88_88_8b.h5
dense_48_128_88_96_8b,48_128_88_96,48,128,88,96,8,pregen_3layer_models/dense_48_128_88_96_8b.h5
dense_48_128_88_104_8b,48_128_88_104,48,128,88,104,8,pregen_3layer_models/dense_48_128_88_104_8b.h5
dense_48_128_88_112_8b,48_128_88_112,48,128,88,112,8,pregen_3layer_models/dense_48_128_88_112_8b.h5
dense_48_128_88_120_8b,48_128_88_120,48,128,88,120,8,pregen_3layer_models/dense_48_128_88_120_8b.h5
dense_48_128_88_128_8b,48_128_88_128,48,128,88,128,8,pregen_3layer_models/dense_48_128_88_128_8b.h5
dense_48_128_96_8_8b,48_128_96_8,48,128,96,8,8,pregen_3layer_models/dense_48_128_96_8_8b.h5
dense_48_128_96_16_8b,48_128_96_16,48,128,96,16,8,pregen_3layer_models/dense_48_128_96_16_8b.h5
dense_48_128_96_24_8b,48_128_96_24,48,128,96,24,8,pregen_3layer_models/dense_48_128_96_24_8b.h5
dense_48_128_96_32_8b,48_128_96_32,48,128,96,32,8,pregen_3layer_models/dense_48_128_96_32_8b.h5
dense_48_128_96_40_8b,48_128_96_40,48,128,96,40,8,pregen_3layer_models/dense_48_128_96_40_8b.h5
dense_48_128_96_48_8b,48_128_96_48,48,128,96,48,8,pregen_3layer_models/dense_48_128_96_48_8b.h5
dense_48_128_96_56_8b,48_128_96_56,48,128,96,56,8,pregen_3layer_models/dense_48_128_96_56_8b.h5
dense_48_128_96_64_8b,48_128_96_64,48,128,96,64,8,pregen_3layer_models/dense_48_128_96_64_8b.h5
dense_48_128_96_72_8b,48_128_96_72,48,128,96,72,8,pregen_3layer_models/dense_48_128_96_72_8b.h5
