model_name,config_str,input_size,d_out1,d_out2,d_out3,prec,model_file
dense_40_72_120_8_12b,40_72_120_8,40,72,120,8,12,pregen_3layer_models/dense_40_72_120_8_12b.h5
dense_40_72_120_16_12b,40_72_120_16,40,72,120,16,12,pregen_3layer_models/dense_40_72_120_16_12b.h5
dense_40_72_120_24_12b,40_72_120_24,40,72,120,24,12,pregen_3layer_models/dense_40_72_120_24_12b.h5
dense_40_72_120_32_12b,40_72_120_32,40,72,120,32,12,pregen_3layer_models/dense_40_72_120_32_12b.h5
dense_40_72_120_40_12b,40_72_120_40,40,72,120,40,12,pregen_3layer_models/dense_40_72_120_40_12b.h5
dense_40_72_120_48_12b,40_72_120_48,40,72,120,48,12,pregen_3layer_models/dense_40_72_120_48_12b.h5
dense_40_72_120_56_12b,40_72_120_56,40,72,120,56,12,pregen_3layer_models/dense_40_72_120_56_12b.h5
dense_40_72_120_64_12b,40_72_120_64,40,72,120,64,12,pregen_3layer_models/dense_40_72_120_64_12b.h5
dense_40_72_120_72_12b,40_72_120_72,40,72,120,72,12,pregen_3layer_models/dense_40_72_120_72_12b.h5
dense_40_72_120_80_12b,40_72_120_80,40,72,120,80,12,pregen_3layer_models/dense_40_72_120_80_12b.h5
dense_40_72_120_88_12b,40_72_120_88,40,72,120,88,12,pregen_3layer_models/dense_40_72_120_88_12b.h5
dense_40_72_120_96_12b,40_72_120_96,40,72,120,96,12,pregen_3layer_models/dense_40_72_120_96_12b.h5
dense_40_72_120_104_12b,40_72_120_104,40,72,120,104,12,pregen_3layer_models/dense_40_72_120_104_12b.h5
dense_40_72_120_112_12b,40_72_120_112,40,72,120,112,12,pregen_3layer_models/dense_40_72_120_112_12b.h5
dense_40_72_120_120_12b,40_72_120_120,40,72,120,120,12,pregen_3layer_models/dense_40_72_120_120_12b.h5
dense_40_72_120_128_12b,40_72_120_128,40,72,120,128,12,pregen_3layer_models/dense_40_72_120_128_12b.h5
dense_40_72_128_8_12b,40_72_128_8,40,72,128,8,12,pregen_3layer_models/dense_40_72_128_8_12b.h5
dense_40_72_128_16_12b,40_72_128_16,40,72,128,16,12,pregen_3layer_models/dense_40_72_128_16_12b.h5
dense_40_72_128_24_12b,40_72_128_24,40,72,128,24,12,pregen_3layer_models/dense_40_72_128_24_12b.h5
dense_40_72_128_32_12b,40_72_128_32,40,72,128,32,12,pregen_3layer_models/dense_40_72_128_32_12b.h5
dense_40_72_128_40_12b,40_72_128_40,40,72,128,40,12,pregen_3layer_models/dense_40_72_128_40_12b.h5
dense_40_72_128_48_12b,40_72_128_48,40,72,128,48,12,pregen_3layer_models/dense_40_72_128_48_12b.h5
dense_40_72_128_56_12b,40_72_128_56,40,72,128,56,12,pregen_3layer_models/dense_40_72_128_56_12b.h5
dense_40_72_128_64_12b,40_72_128_64,40,72,128,64,12,pregen_3layer_models/dense_40_72_128_64_12b.h5
dense_40_72_128_72_12b,40_72_128_72,40,72,128,72,12,pregen_3layer_models/dense_40_72_128_72_12b.h5
dense_40_72_128_80_12b,40_72_128_80,40,72,128,80,12,pregen_3layer_models/dense_40_72_128_80_12b.h5
dense_40_72_128_88_12b,40_72_128_88,40,72,128,88,12,pregen_3layer_models/dense_40_72_128_88_12b.h5
dense_40_72_128_96_12b,40_72_128_96,40,72,128,96,12,pregen_3layer_models/dense_40_72_128_96_12b.h5
dense_40_72_128_104_12b,40_72_128_104,40,72,128,104,12,pregen_3layer_models/dense_40_72_128_104_12b.h5
dense_40_72_128_112_12b,40_72_128_112,40,72,128,112,12,pregen_3layer_models/dense_40_72_128_112_12b.h5
dense_40_72_128_120_12b,40_72_128_120,40,72,128,120,12,pregen_3layer_models/dense_40_72_128_120_12b.h5
dense_40_72_128_128_12b,40_72_128_128,40,72,128,128,12,pregen_3layer_models/dense_40_72_128_128_12b.h5
dense_40_80_8_8_12b,40_80_8_8,40,80,8,8,12,pregen_3layer_models/dense_40_80_8_8_12b.h5
dense_40_80_8_16_12b,40_80_8_16,40,80,8,16,12,pregen_3layer_models/dense_40_80_8_16_12b.h5
dense_40_80_8_24_12b,40_80_8_24,40,80,8,24,12,pregen_3layer_models/dense_40_80_8_24_12b.h5
dense_40_80_8_32_12b,40_80_8_32,40,80,8,32,12,pregen_3layer_models/dense_40_80_8_32_12b.h5
dense_40_80_8_40_12b,40_80_8_40,40,80,8,40,12,pregen_3layer_models/dense_40_80_8_40_12b.h5
dense_40_80_8_48_12b,40_80_8_48,40,80,8,48,12,pregen_3layer_models/dense_40_80_8_48_12b.h5
dense_40_80_8_56_12b,40_80_8_56,40,80,8,56,12,pregen_3layer_models/dense_40_80_8_56_12b.h5
dense_40_80_8_64_12b,40_80_8_64,40,80,8,64,12,pregen_3layer_models/dense_40_80_8_64_12b.h5
dense_40_80_8_72_12b,40_80_8_72,40,80,8,72,12,pregen_3layer_models/dense_40_80_8_72_12b.h5
dense_40_80_8_80_12b,40_80_8_80,40,80,8,80,12,pregen_3layer_models/dense_40_80_8_80_12b.h5
dense_40_80_8_88_12b,40_80_8_88,40,80,8,88,12,pregen_3layer_models/dense_40_80_8_88_12b.h5
dense_40_80_8_96_12b,40_80_8_96,40,80,8,96,12,pregen_3layer_models/dense_40_80_8_96_12b.h5
dense_40_80_8_104_12b,40_80_8_104,40,80,8,104,12,pregen_3layer_models/dense_40_80_8_104_12b.h5
dense_40_80_8_112_12b,40_80_8_112,40,80,8,112,12,pregen_3layer_models/dense_40_80_8_112_12b.h5
dense_40_80_8_120_12b,40_80_8_120,40,80,8,120,12,pregen_3layer_models/dense_40_80_8_120_12b.h5
dense_40_80_8_128_12b,40_80_8_128,40,80,8,128,12,pregen_3layer_models/dense_40_80_8_128_12b.h5
dense_40_80_16_8_12b,40_80_16_8,40,80,16,8,12,pregen_3layer_models/dense_40_80_16_8_12b.h5
dense_40_80_16_16_12b,40_80_16_16,40,80,16,16,12,pregen_3layer_models/dense_40_80_16_16_12b.h5
dense_40_80_16_24_12b,40_80_16_24,40,80,16,24,12,pregen_3layer_models/dense_40_80_16_24_12b.h5
dense_40_80_16_32_12b,40_80_16_32,40,80,16,32,12,pregen_3layer_models/dense_40_80_16_32_12b.h5
dense_40_80_16_40_12b,40_80_16_40,40,80,16,40,12,pregen_3layer_models/dense_40_80_16_40_12b.h5
dense_40_80_16_48_12b,40_80_16_48,40,80,16,48,12,pregen_3layer_models/dense_40_80_16_48_12b.h5
dense_40_80_16_56_12b,40_80_16_56,40,80,16,56,12,pregen_3layer_models/dense_40_80_16_56_12b.h5
dense_40_80_16_64_12b,40_80_16_64,40,80,16,64,12,pregen_3layer_models/dense_40_80_16_64_12b.h5
dense_40_80_16_72_12b,40_80_16_72,40,80,16,72,12,pregen_3layer_models/dense_40_80_16_72_12b.h5
dense_40_80_16_80_12b,40_80_16_80,40,80,16,80,12,pregen_3layer_models/dense_40_80_16_80_12b.h5
dense_40_80_16_88_12b,40_80_16_88,40,80,16,88,12,pregen_3layer_models/dense_40_80_16_88_12b.h5
dense_40_80_16_96_12b,40_80_16_96,40,80,16,96,12,pregen_3layer_models/dense_40_80_16_96_12b.h5
dense_40_80_16_104_12b,40_80_16_104,40,80,16,104,12,pregen_3layer_models/dense_40_80_16_104_12b.h5
dense_40_80_16_112_12b,40_80_16_112,40,80,16,112,12,pregen_3layer_models/dense_40_80_16_112_12b.h5
dense_40_80_16_120_12b,40_80_16_120,40,80,16,120,12,pregen_3layer_models/dense_40_80_16_120_12b.h5
dense_40_80_16_128_12b,40_80_16_128,40,80,16,128,12,pregen_3layer_models/dense_40_80_16_128_12b.h5
