model_name,config_str,input_size,d_out1,d_out2,d_out3,prec,model_file
dense_16_112_56_8_12b,16_112_56_8,16,112,56,8,12,pregen_3layer_models/dense_16_112_56_8_12b.h5
dense_16_112_56_16_12b,16_112_56_16,16,112,56,16,12,pregen_3layer_models/dense_16_112_56_16_12b.h5
dense_16_112_56_24_12b,16_112_56_24,16,112,56,24,12,pregen_3layer_models/dense_16_112_56_24_12b.h5
dense_16_112_56_32_12b,16_112_56_32,16,112,56,32,12,pregen_3layer_models/dense_16_112_56_32_12b.h5
dense_16_112_56_40_12b,16_112_56_40,16,112,56,40,12,pregen_3layer_models/dense_16_112_56_40_12b.h5
dense_16_112_56_48_12b,16_112_56_48,16,112,56,48,12,pregen_3layer_models/dense_16_112_56_48_12b.h5
dense_16_112_56_56_12b,16_112_56_56,16,112,56,56,12,pregen_3layer_models/dense_16_112_56_56_12b.h5
dense_16_112_56_64_12b,16_112_56_64,16,112,56,64,12,pregen_3layer_models/dense_16_112_56_64_12b.h5
dense_16_112_56_72_12b,16_112_56_72,16,112,56,72,12,pregen_3layer_models/dense_16_112_56_72_12b.h5
dense_16_112_56_80_12b,16_112_56_80,16,112,56,80,12,pregen_3layer_models/dense_16_112_56_80_12b.h5
dense_16_112_56_88_12b,16_112_56_88,16,112,56,88,12,pregen_3layer_models/dense_16_112_56_88_12b.h5
dense_16_112_56_96_12b,16_112_56_96,16,112,56,96,12,pregen_3layer_models/dense_16_112_56_96_12b.h5
dense_16_112_56_104_12b,16_112_56_104,16,112,56,104,12,pregen_3layer_models/dense_16_112_56_104_12b.h5
dense_16_112_56_112_12b,16_112_56_112,16,112,56,112,12,pregen_3layer_models/dense_16_112_56_112_12b.h5
dense_16_112_56_120_12b,16_112_56_120,16,112,56,120,12,pregen_3layer_models/dense_16_112_56_120_12b.h5
dense_16_112_56_128_12b,16_112_56_128,16,112,56,128,12,pregen_3layer_models/dense_16_112_56_128_12b.h5
dense_16_112_64_8_12b,16_112_64_8,16,112,64,8,12,pregen_3layer_models/dense_16_112_64_8_12b.h5
dense_16_112_64_16_12b,16_112_64_16,16,112,64,16,12,pregen_3layer_models/dense_16_112_64_16_12b.h5
dense_16_112_64_24_12b,16_112_64_24,16,112,64,24,12,pregen_3layer_models/dense_16_112_64_24_12b.h5
dense_16_112_64_32_12b,16_112_64_32,16,112,64,32,12,pregen_3layer_models/dense_16_112_64_32_12b.h5
dense_16_112_64_40_12b,16_112_64_40,16,112,64,40,12,pregen_3layer_models/dense_16_112_64_40_12b.h5
dense_16_112_64_48_12b,16_112_64_48,16,112,64,48,12,pregen_3layer_models/dense_16_112_64_48_12b.h5
dense_16_112_64_56_12b,16_112_64_56,16,112,64,56,12,pregen_3layer_models/dense_16_112_64_56_12b.h5
dense_16_112_64_64_12b,16_112_64_64,16,112,64,64,12,pregen_3layer_models/dense_16_112_64_64_12b.h5
dense_16_112_64_72_12b,16_112_64_72,16,112,64,72,12,pregen_3layer_models/dense_16_112_64_72_12b.h5
dense_16_112_64_80_12b,16_112_64_80,16,112,64,80,12,pregen_3layer_models/dense_16_112_64_80_12b.h5
dense_16_112_64_88_12b,16_112_64_88,16,112,64,88,12,pregen_3layer_models/dense_16_112_64_88_12b.h5
dense_16_112_64_96_12b,16_112_64_96,16,112,64,96,12,pregen_3layer_models/dense_16_112_64_96_12b.h5
dense_16_112_64_104_12b,16_112_64_104,16,112,64,104,12,pregen_3layer_models/dense_16_112_64_104_12b.h5
dense_16_112_64_112_12b,16_112_64_112,16,112,64,112,12,pregen_3layer_models/dense_16_112_64_112_12b.h5
dense_16_112_64_120_12b,16_112_64_120,16,112,64,120,12,pregen_3layer_models/dense_16_112_64_120_12b.h5
dense_16_112_64_128_12b,16_112_64_128,16,112,64,128,12,pregen_3layer_models/dense_16_112_64_128_12b.h5
dense_16_112_72_8_12b,16_112_72_8,16,112,72,8,12,pregen_3layer_models/dense_16_112_72_8_12b.h5
dense_16_112_72_16_12b,16_112_72_16,16,112,72,16,12,pregen_3layer_models/dense_16_112_72_16_12b.h5
dense_16_112_72_24_12b,16_112_72_24,16,112,72,24,12,pregen_3layer_models/dense_16_112_72_24_12b.h5
dense_16_112_72_32_12b,16_112_72_32,16,112,72,32,12,pregen_3layer_models/dense_16_112_72_32_12b.h5
dense_16_112_72_40_12b,16_112_72_40,16,112,72,40,12,pregen_3layer_models/dense_16_112_72_40_12b.h5
dense_16_112_72_48_12b,16_112_72_48,16,112,72,48,12,pregen_3layer_models/dense_16_112_72_48_12b.h5
dense_16_112_72_56_12b,16_112_72_56,16,112,72,56,12,pregen_3layer_models/dense_16_112_72_56_12b.h5
dense_16_112_72_64_12b,16_112_72_64,16,112,72,64,12,pregen_3layer_models/dense_16_112_72_64_12b.h5
dense_16_112_72_72_12b,16_112_72_72,16,112,72,72,12,pregen_3layer_models/dense_16_112_72_72_12b.h5
dense_16_112_72_80_12b,16_112_72_80,16,112,72,80,12,pregen_3layer_models/dense_16_112_72_80_12b.h5
dense_16_112_72_88_12b,16_112_72_88,16,112,72,88,12,pregen_3layer_models/dense_16_112_72_88_12b.h5
dense_16_112_72_96_12b,16_112_72_96,16,112,72,96,12,pregen_3layer_models/dense_16_112_72_96_12b.h5
dense_16_112_72_104_12b,16_112_72_104,16,112,72,104,12,pregen_3layer_models/dense_16_112_72_104_12b.h5
dense_16_112_72_112_12b,16_112_72_112,16,112,72,112,12,pregen_3layer_models/dense_16_112_72_112_12b.h5
dense_16_112_72_120_12b,16_112_72_120,16,112,72,120,12,pregen_3layer_models/dense_16_112_72_120_12b.h5
dense_16_112_72_128_12b,16_112_72_128,16,112,72,128,12,pregen_3layer_models/dense_16_112_72_128_12b.h5
dense_16_112_80_8_12b,16_112_80_8,16,112,80,8,12,pregen_3layer_models/dense_16_112_80_8_12b.h5
dense_16_112_80_16_12b,16_112_80_16,16,112,80,16,12,pregen_3layer_models/dense_16_112_80_16_12b.h5
dense_16_112_80_24_12b,16_112_80_24,16,112,80,24,12,pregen_3layer_models/dense_16_112_80_24_12b.h5
dense_16_112_80_32_12b,16_112_80_32,16,112,80,32,12,pregen_3layer_models/dense_16_112_80_32_12b.h5
