model_name,d_in,d_out,prec,model_file
dense-96-32-10b,96,32,10,pregen_models/dense-96-32-10b.h5
dense-96-32-12b,96,32,12,pregen_models/dense-96-32-12b.h5
dense-96-64-2b,96,64,2,pregen_models/dense-96-64-2b.h5
dense-96-64-4b,96,64,4,pregen_models/dense-96-64-4b.h5
dense-96-64-6b,96,64,6,pregen_models/dense-96-64-6b.h5
dense-96-64-8b,96,64,8,pregen_models/dense-96-64-8b.h5
dense-96-64-10b,96,64,10,pregen_models/dense-96-64-10b.h5
dense-96-64-12b,96,64,12,pregen_models/dense-96-64-12b.h5
dense-96-96-2b,96,96,2,pregen_models/dense-96-96-2b.h5
dense-96-96-4b,96,96,4,pregen_models/dense-96-96-4b.h5
dense-96-96-6b,96,96,6,pregen_models/dense-96-96-6b.h5
dense-96-96-8b,96,96,8,pregen_models/dense-96-96-8b.h5
dense-96-96-10b,96,96,10,pregen_models/dense-96-96-10b.h5
dense-96-96-12b,96,96,12,pregen_models/dense-96-96-12b.h5
dense-96-128-2b,96,128,2,pregen_models/dense-96-128-2b.h5
dense-96-128-4b,96,128,4,pregen_models/dense-96-128-4b.h5
dense-96-128-6b,96,128,6,pregen_models/dense-96-128-6b.h5
dense-96-128-8b,96,128,8,pregen_models/dense-96-128-8b.h5
dense-96-128-10b,96,128,10,pregen_models/dense-96-128-10b.h5
dense-96-128-12b,96,128,12,pregen_models/dense-96-128-12b.h5
