model_name,d_in,d_out,prec,model_file
dense_224_224_6b,224,224,6,pregen_models/dense_224_224_6b.h5
dense_224_224_8b,224,224,8,pregen_models/dense_224_224_8b.h5
dense_224_224_10b,224,224,10,pregen_models/dense_224_224_10b.h5
dense_224_224_12b,224,224,12,pregen_models/dense_224_224_12b.h5
dense_224_224_14b,224,224,14,pregen_models/dense_224_224_14b.h5
dense_224_256_2b,224,256,2,pregen_models/dense_224_256_2b.h5
dense_224_256_4b,224,256,4,pregen_models/dense_224_256_4b.h5
dense_224_256_6b,224,256,6,pregen_models/dense_224_256_6b.h5
dense_224_256_8b,224,256,8,pregen_models/dense_224_256_8b.h5
dense_224_256_10b,224,256,10,pregen_models/dense_224_256_10b.h5
dense_224_256_12b,224,256,12,pregen_models/dense_224_256_12b.h5
dense_224_256_14b,224,256,14,pregen_models/dense_224_256_14b.h5
dense_256_32_2b,256,32,2,pregen_models/dense_256_32_2b.h5
dense_256_32_4b,256,32,4,pregen_models/dense_256_32_4b.h5
dense_256_32_6b,256,32,6,pregen_models/dense_256_32_6b.h5
dense_256_32_8b,256,32,8,pregen_models/dense_256_32_8b.h5
dense_256_32_10b,256,32,10,pregen_models/dense_256_32_10b.h5
dense_256_32_12b,256,32,12,pregen_models/dense_256_32_12b.h5
dense_256_32_14b,256,32,14,pregen_models/dense_256_32_14b.h5
dense_256_64_2b,256,64,2,pregen_models/dense_256_64_2b.h5
