model_name,d_in,d_out,prec,model_file
dense-192-128-6b,192,128,6,pregen_models/dense-192-128-6b.h5
dense-192-128-8b,192,128,8,pregen_models/dense-192-128-8b.h5
dense-192-128-10b,192,128,10,pregen_models/dense-192-128-10b.h5
dense-192-128-12b,192,128,12,pregen_models/dense-192-128-12b.h5
dense-192-160-2b,192,160,2,pregen_models/dense-192-160-2b.h5
dense-192-160-4b,192,160,4,pregen_models/dense-192-160-4b.h5
dense-192-160-6b,192,160,6,pregen_models/dense-192-160-6b.h5
dense-192-160-8b,192,160,8,pregen_models/dense-192-160-8b.h5
dense-192-160-10b,192,160,10,pregen_models/dense-192-160-10b.h5
dense-192-160-12b,192,160,12,pregen_models/dense-192-160-12b.h5
dense-192-192-2b,192,192,2,pregen_models/dense-192-192-2b.h5
dense-192-192-4b,192,192,4,pregen_models/dense-192-192-4b.h5
dense-192-192-6b,192,192,6,pregen_models/dense-192-192-6b.h5
dense-192-192-8b,192,192,8,pregen_models/dense-192-192-8b.h5
dense-192-192-10b,192,192,10,pregen_models/dense-192-192-10b.h5
dense-192-192-12b,192,192,12,pregen_models/dense-192-192-12b.h5
dense-192-224-2b,192,224,2,pregen_models/dense-192-224-2b.h5
dense-192-224-4b,192,224,4,pregen_models/dense-192-224-4b.h5
dense-192-224-6b,192,224,6,pregen_models/dense-192-224-6b.h5
dense-192-224-8b,192,224,8,pregen_models/dense-192-224-8b.h5
