model_name,d_in,d_out,prec,model_file
dense_256_160_2b,256,160,2,pregen_models/dense_256_160_2b.h5
dense_256_160_4b,256,160,4,pregen_models/dense_256_160_4b.h5
dense_256_160_6b,256,160,6,pregen_models/dense_256_160_6b.h5
dense_256_160_8b,256,160,8,pregen_models/dense_256_160_8b.h5
dense_256_160_10b,256,160,10,pregen_models/dense_256_160_10b.h5
dense_256_160_12b,256,160,12,pregen_models/dense_256_160_12b.h5
dense_256_160_14b,256,160,14,pregen_models/dense_256_160_14b.h5
dense_256_192_2b,256,192,2,pregen_models/dense_256_192_2b.h5
dense_256_192_4b,256,192,4,pregen_models/dense_256_192_4b.h5
dense_256_192_6b,256,192,6,pregen_models/dense_256_192_6b.h5
dense_256_192_8b,256,192,8,pregen_models/dense_256_192_8b.h5
dense_256_192_10b,256,192,10,pregen_models/dense_256_192_10b.h5
dense_256_192_12b,256,192,12,pregen_models/dense_256_192_12b.h5
dense_256_192_14b,256,192,14,pregen_models/dense_256_192_14b.h5
dense_256_224_2b,256,224,2,pregen_models/dense_256_224_2b.h5
dense_256_224_4b,256,224,4,pregen_models/dense_256_224_4b.h5
dense_256_224_6b,256,224,6,pregen_models/dense_256_224_6b.h5
dense_256_224_8b,256,224,8,pregen_models/dense_256_224_8b.h5
dense_256_224_10b,256,224,10,pregen_models/dense_256_224_10b.h5
dense_256_224_12b,256,224,12,pregen_models/dense_256_224_12b.h5
