model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_64_4b,32,64,4,pregen_models/dense_32_64_4b.h5,1024,latency,True,5.0,4.37,2.0,2.0,3.0,3.0,1972.0,27545.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_6b,32,64,6,pregen_models/dense_32_64_6b.h5,1,latency,True,5.0,4.362,1.0,1.0,1.0,1.0,4036.0,46974.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_6b,32,64,6,pregen_models/dense_32_64_6b.h5,512,latency,True,5.0,4.362,2.0,2.0,3.0,3.0,3014.0,46424.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_6b,32,64,6,pregen_models/dense_32_64_6b.h5,1024,latency,True,5.0,4.362,2.0,2.0,3.0,3.0,3014.0,46424.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_8b,32,64,8,pregen_models/dense_32_64_8b.h5,1,latency,True,5.0,4.155,1.0,1.0,1.0,1.0,5092.0,61736.0,0.0,452.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_8b,32,64,8,pregen_models/dense_32_64_8b.h5,512,latency,True,5.0,4.344,123.0,123.0,124.0,124.0,20606.0,61145.0,0.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_8b,32,64,8,pregen_models/dense_32_64_8b.h5,1024,latency,True,5.0,4.344,164.0,164.0,165.0,165.0,20711.0,61182.0,0.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_10b,32,64,10,pregen_models/dense_32_64_10b.h5,1,latency,True,5.0,4.155,1.0,1.0,1.0,1.0,5956.0,59349.0,0.0,1275.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_10b,32,64,10,pregen_models/dense_32_64_10b.h5,512,latency,True,5.0,4.36,323.0,323.0,324.0,324.0,24184.0,58146.0,0.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_10b,32,64,10,pregen_models/dense_32_64_10b.h5,1024,latency,True,5.0,4.36,430.0,430.0,431.0,431.0,24432.0,58112.0,0.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_12b,32,64,12,pregen_models/dense_32_64_12b.h5,1,latency,True,5.0,4.155,1.0,1.0,1.0,1.0,6435.0,53231.0,0.0,1753.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_12b,32,64,12,pregen_models/dense_32_64_12b.h5,512,latency,True,5.0,4.155,440.0,440.0,441.0,441.0,22337.0,53415.0,0.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_12b,32,64,12,pregen_models/dense_32_64_12b.h5,1024,latency,True,5.0,4.155,586.0,586.0,587.0,587.0,22286.0,53122.0,0.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_14b,32,64,14,pregen_models/dense_32_64_14b.h5,1,latency,True,5.0,4.155,1.0,1.0,1.0,1.0,6659.0,49414.0,0.0,1947.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_14b,32,64,14,pregen_models/dense_32_64_14b.h5,512,latency,True,5.0,4.155,488.0,488.0,489.0,489.0,22645.0,51765.0,0.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_14b,32,64,14,pregen_models/dense_32_64_14b.h5,1024,latency,True,5.0,4.155,650.0,650.0,651.0,651.0,22703.0,50825.0,0.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_2b,32,96,2,pregen_models/dense_32_96_2b.h5,1,latency,True,5.0,3.815,1.0,1.0,1.0,1.0,3044.0,18273.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
