model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_64_4b,32,64,4,pregen_models/dense_32_64_4b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,1164.0,8360.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_4b,32,64,4,pregen_models/dense_32_64_4b.h5,1024,resource,True,5.0,3.328,1025.0,1026.0,1024.0,1024.0,1159.0,7759.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_6b,32,64,6,pregen_models/dense_32_64_6b.h5,1,resource,True,5.0,4.336,1.0,1.0,2.0,2.0,3011.0,48193.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_6b,32,64,6,pregen_models/dense_32_64_6b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1197.0,8345.0,2.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_6b,32,64,6,pregen_models/dense_32_64_6b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1168.0,7754.0,2.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_8b,32,64,8,pregen_models/dense_32_64_8b.h5,1,resource,True,5.0,4.155,1.0,1.0,2.0,2.0,9856.0,60823.0,0.0,452.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_8b,32,64,8,pregen_models/dense_32_64_8b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1197.0,8340.0,2.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_8b,32,64,8,pregen_models/dense_32_64_8b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1168.0,7749.0,2.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_10b,32,64,10,pregen_models/dense_32_64_10b.h5,1,resource,True,5.0,4.215,1.0,1.0,2.0,2.0,16909.0,53761.0,0.0,1275.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_10b,32,64,10,pregen_models/dense_32_64_10b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1197.0,8340.0,3.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_10b,32,64,10,pregen_models/dense_32_64_10b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1168.0,7749.0,3.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_12b,32,64,12,pregen_models/dense_32_64_12b.h5,1,resource,True,5.0,4.372,1.0,1.0,2.0,2.0,18288.0,44881.0,0.0,1753.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_12b,32,64,12,pregen_models/dense_32_64_12b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1197.0,8340.0,3.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_12b,32,64,12,pregen_models/dense_32_64_12b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1168.0,7749.0,3.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_14b,32,64,14,pregen_models/dense_32_64_14b.h5,1,resource,True,5.0,4.342,1.0,1.0,2.0,2.0,18403.0,40199.0,0.0,1947.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_14b,32,64,14,pregen_models/dense_32_64_14b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1197.0,8340.0,3.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_64_14b,32,64,14,pregen_models/dense_32_64_14b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1168.0,7749.0,3.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
